Region,Year,Children_6_10
Abruzzo,2024,103148
Abruzzo,2025,100439
Abruzzo,2026,97230
Abruzzo,2027,93950
Abruzzo,2028,90738
Abruzzo,2029,87791
Abruzzo,2030,85132
Abruzzo,2031,82643
Abruzzo,2032,80485
Abruzzo,2033,78534
Abruzzo,2034,77120
Abruzzo,2035,76528
Abruzzo,2036,76394
Abruzzo,2037,76296
Abruzzo,2038,76246
Abruzzo,2039,76245
Abruzzo,2040,76330
Abruzzo,2041,76497
Abruzzo,2042,76744
Abruzzo,2043,77074
Abruzzo,2044,77490
Abruzzo,2045,77828
Abruzzo,2046,78060
Abruzzo,2047,78191
Abruzzo,2048,78182
Abruzzo,2049,78008
Abruzzo,2050,77763
Abruzzo,2051,77448
Abruzzo,2052,77005
Abruzzo,2053,76452
Abruzzo,2054,75777
Abruzzo,2055,74986
Abruzzo,2056,74077
Abruzzo,2057,73102
Abruzzo,2058,72053
Abruzzo,2059,70965
Abruzzo,2060,69840
Abruzzo,2061,68720
Abruzzo,2062,67619
Abruzzo,2063,66565
Abruzzo,2064,65586
Abruzzo,2065,64690
Abruzzo,2066,63895
Abruzzo,2067,63219
Abruzzo,2068,62678
Abruzzo,2069,62264
Abruzzo,2070,61978
Abruzzo,2071,61819
Abruzzo,2072,61757
Abruzzo,2073,61772
Abruzzo,2074,61838
Abruzzo,2075,61931
Abruzzo,2076,62037
Abruzzo,2077,62141
Abruzzo,2078,62231
Abruzzo,2079,62322
Abruzzo,2080,62398
Basilicata,2024,40344
Basilicata,2025,39818
Basilicata,2026,39105
Basilicata,2027,38159
Basilicata,2028,36939
Basilicata,2029,35624
Basilicata,2030,34524
Basilicata,2031,33407
Basilicata,2032,32464
Basilicata,2033,31793
Basilicata,2034,31277
Basilicata,2035,30846
Basilicata,2036,30426
Basilicata,2037,30006
Basilicata,2038,29557
Basilicata,2039,29095
Basilicata,2040,28666
Basilicata,2041,28271
Basilicata,2042,27908
Basilicata,2043,27585
Basilicata,2044,27302
Basilicata,2045,27032
Basilicata,2046,26775
Basilicata,2047,26525
Basilicata,2048,26279
Basilicata,2049,26023
Basilicata,2050,25759
Basilicata,2051,25491
Basilicata,2052,25204
Basilicata,2053,24896
Basilicata,2054,24576
Basilicata,2055,24236
Basilicata,2056,23881
Basilicata,2057,23521
Basilicata,2058,23154
Basilicata,2059,22787
Basilicata,2060,22414
Basilicata,2061,22048
Basilicata,2062,21686
Basilicata,2063,21330
Basilicata,2064,20989
Basilicata,2065,20668
Basilicata,2066,20366
Basilicata,2067,20094
Basilicata,2068,19853
Basilicata,2069,19643
Basilicata,2070,19466
Basilicata,2071,19316
Basilicata,2072,19189
Basilicata,2073,19079
Basilicata,2074,18980
Basilicata,2075,18887
Basilicata,2076,18795
Basilicata,2077,18705
Basilicata,2078,18613
Basilicata,2079,18528
Basilicata,2080,18442
Calabria,2024,160228
Calabria,2025,158415
Calabria,2026,155593
Calabria,2027,151823
Calabria,2028,147262
Calabria,2029,143420
Calabria,2030,140220
Calabria,2031,136831
Calabria,2032,133693
Calabria,2033,131146
Calabria,2034,127694
Calabria,2035,123888
Calabria,2036,120870
Calabria,2037,118227
Calabria,2038,115946
Calabria,2039,113994
Calabria,2040,112412
Calabria,2041,111000
Calabria,2042,109750
Calabria,2043,108646
Calabria,2044,107691
Calabria,2045,106809
Calabria,2046,105964
Calabria,2047,105178
Calabria,2048,104413
Calabria,2049,103648
Calabria,2050,102870
Calabria,2051,102089
Calabria,2052,101224
Calabria,2053,100295
Calabria,2054,99282
Calabria,2055,98185
Calabria,2056,97000
Calabria,2057,95775
Calabria,2058,94490
Calabria,2059,93163
Calabria,2060,91794
Calabria,2061,90414
Calabria,2062,89021
Calabria,2063,87643
Calabria,2064,86301
Calabria,2065,85009
Calabria,2066,83781
Calabria,2067,82635
Calabria,2068,81595
Calabria,2069,80660
Calabria,2070,79831
Calabria,2071,79122
Calabria,2072,78509
Calabria,2073,77973
Calabria,2074,77506
Calabria,2075,77078
Calabria,2076,76684
Calabria,2077,76313
Calabria,2078,75954
Calabria,2079,75635
Calabria,2080,75338
Campania,2024,512806
Campania,2025,503789
Campania,2026,494743
Campania,2027,483654
Campania,2028,470141
Campania,2029,458950
Campania,2030,448635
Campania,2031,437113
Campania,2032,428516
Campania,2033,423166
Campania,2034,414991
Campania,2035,408951
Campania,2036,405179
Campania,2037,400976
Campania,2038,396314
Campania,2039,391850
Campania,2040,387758
Campania,2041,384024
Campania,2042,380609
Campania,2043,377535
Campania,2044,374842
Campania,2045,372257
Campania,2046,369622
Campania,2047,366972
Campania,2048,364144
Campania,2049,361043
Campania,2050,357664
Campania,2051,354055
Campania,2052,350019
Campania,2053,345683
Campania,2054,341034
Campania,2055,336122
Campania,2056,330988
Campania,2057,325829
Campania,2058,320628
Campania,2059,315478
Campania,2060,310389
Campania,2061,305445
Campania,2062,300649
Campania,2063,296034
Campania,2064,291656
Campania,2065,287524
Campania,2066,283680
Campania,2067,280166
Campania,2068,277053
Campania,2069,274299
Campania,2070,271929
Campania,2071,269937
Campania,2072,268228
Campania,2073,266726
Campania,2074,265351
Campania,2075,264042
Campania,2076,262756
Campania,2077,261462
Campania,2078,260125
Campania,2079,258860
Campania,2080,257601
Emilia-Romagna,2024,370802
Emilia-Romagna,2025,363094
Emilia-Romagna,2026,354055
Emilia-Romagna,2027,344303
Emilia-Romagna,2028,336157
Emilia-Romagna,2029,329795
Emilia-Romagna,2030,322788
Emilia-Romagna,2031,317168
Emilia-Romagna,2032,314038
Emilia-Romagna,2033,311550
Emilia-Romagna,2034,310238
Emilia-Romagna,2035,311611
Emilia-Romagna,2036,314938
Emilia-Romagna,2037,318505
Emilia-Romagna,2038,322260
Emilia-Romagna,2039,326185
Emilia-Romagna,2040,330384
Emilia-Romagna,2041,334798
Emilia-Romagna,2042,338882
Emilia-Romagna,2043,342609
Emilia-Romagna,2044,345994
Emilia-Romagna,2045,348770
Emilia-Romagna,2046,350800
Emilia-Romagna,2047,352560
Emilia-Romagna,2048,353900
Emilia-Romagna,2049,354739
Emilia-Romagna,2050,355050
Emilia-Romagna,2051,354846
Emilia-Romagna,2052,353896
Emilia-Romagna,2053,352282
Emilia-Romagna,2054,349975
Emilia-Romagna,2055,347020
Emilia-Romagna,2056,343492
Emilia-Romagna,2057,339623
Emilia-Romagna,2058,335461
Emilia-Romagna,2059,331172
