"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Abruzzo"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;3950;3950;3950;3950;3950;3950;3950;
2024;Maschi;1;4193;4193;4193;4193;4193;4193;4193;
2024;Maschi;2;4256;4256;4256;4256;4256;4256;4256;
2024;Maschi;3;4412;4412;4412;4412;4412;4412;4412;
2024;Maschi;4;4479;4479;4479;4479;4479;4479;4479;
2024;Maschi;5;4656;4656;4656;4656;4656;4656;4656;
2024;Maschi;6;5026;5026;5026;5026;5026;5026;5026;
2024;Maschi;7;5263;5263;5263;5263;5263;5263;5263;
2024;Maschi;8;5367;5367;5367;5367;5367;5367;5367;
2024;Maschi;9;5430;5430;5430;5430;5430;5430;5430;
2024;Maschi;10;5479;5479;5479;5479;5479;5479;5479;
2024;Maschi;11;5761;5761;5761;5761;5761;5761;5761;
2024;Maschi;12;5945;5945;5945;5945;5945;5945;5945;
2024;Maschi;13;5991;5991;5991;5991;5991;5991;5991;
2024;Maschi;14;5962;5962;5962;5962;5962;5962;5962;
2024;Maschi;15;6135;6135;6135;6135;6135;6135;6135;
2024;Maschi;16;6014;6014;6014;6014;6014;6014;6014;
2024;Maschi;17;6049;6049;6049;6049;6049;6049;6049;
2024;Maschi;18;6143;6143;6143;6143;6143;6143;6143;
2024;Maschi;19;6384;6384;6384;6384;6384;6384;6384;
2024;Maschi;20;6228;6228;6228;6228;6228;6228;6228;
2024;Maschi;21;6175;6175;6175;6175;6175;6175;6175;
2024;Maschi;22;6271;6271;6271;6271;6271;6271;6271;
2024;Maschi;23;6564;6564;6564;6564;6564;6564;6564;
2024;Maschi;24;6420;6420;6420;6420;6420;6420;6420;
2024;Maschi;25;6561;6561;6561;6561;6561;6561;6561;
2024;Maschi;26;6495;6495;6495;6495;6495;6495;6495;
2024;Maschi;27;6453;6453;6453;6453;6453;6453;6453;
2024;Maschi;28;6499;6499;6499;6499;6499;6499;6499;
2024;Maschi;29;6515;6515;6515;6515;6515;6515;6515;
2024;Maschi;30;6751;6751;6751;6751;6751;6751;6751;
2024;Maschi;31;6958;6958;6958;6958;6958;6958;6958;
2024;Maschi;32;6899;6899;6899;6899;6899;6899;6899;
2024;Maschi;33;7064;7064;7064;7064;7064;7064;7064;
2024;Maschi;34;7190;7190;7190;7190;7190;7190;7190;
2024;Maschi;35;7262;7262;7262;7262;7262;7262;7262;
2024;Maschi;36;7015;7015;7015;7015;7015;7015;7015;
2024;Maschi;37;7256;7256;7256;7256;7256;7256;7256;
2024;Maschi;38;7516;7516;7516;7516;7516;7516;7516;
2024;Maschi;39;7720;7720;7720;7720;7720;7720;7720;
2024;Maschi;40;7714;7714;7714;7714;7714;7714;7714;
2024;Maschi;41;7909;7909;7909;7909;7909;7909;7909;
2024;Maschi;42;7973;7973;7973;7973;7973;7973;7973;
2024;Maschi;43;8266;8266;8266;8266;8266;8266;8266;
2024;Maschi;44;8564;8564;8564;8564;8564;8564;8564;
2024;Maschi;45;8926;8926;8926;8926;8926;8926;8926;
2024;Maschi;46;8993;8993;8993;8993;8993;8993;8993;
2024;Maschi;47;9283;9283;9283;9283;9283;9283;9283;
2024;Maschi;48;9408;9408;9408;9408;9408;9408;9408;
2024;Maschi;49;9943;9943;9943;9943;9943;9943;9943;
2024;Maschi;50;9667;9667;9667;9667;9667;9667;9667;
2024;Maschi;51;9983;9983;9983;9983;9983;9983;9983;
2024;Maschi;52;9995;9995;9995;9995;9995;9995;9995;
2024;Maschi;53;9873;9873;9873;9873;9873;9873;9873;
2024;Maschi;54;10371;10371;10371;10371;10371;10371;10371;
2024;Maschi;55;10248;10248;10248;10248;10248;10248;10248;
2024;Maschi;56;10206;10206;10206;10206;10206;10206;10206;
2024;Maschi;57;10391;10391;10391;10391;10391;10391;10391;
2024;Maschi;58;10375;10375;10375;10375;10375;10375;10375;
2024;Maschi;59;10489;10489;10489;10489;10489;10489;10489;
2024;Maschi;60;9743;9743;9743;9743;9743;9743;9743;
2024;Maschi;61;9376;9376;9376;9376;9376;9376;9376;
2024;Maschi;62;8951;8951;8951;8951;8951;8951;8951;
2024;Maschi;63;8880;8880;8880;8880;8880;8880;8880;
2024;Maschi;64;8683;8683;8683;8683;8683;8683;8683;
2024;Maschi;65;8333;8333;8333;8333;8333;8333;8333;
2024;Maschi;66;8222;8222;8222;8222;8222;8222;8222;
2024;Maschi;67;8184;8184;8184;8184;8184;8184;8184;
2024;Maschi;68;7936;7936;7936;7936;7936;7936;7936;
2024;Maschi;69;7715;7715;7715;7715;7715;7715;7715;
2024;Maschi;70;7199;7199;7199;7199;7199;7199;7199;
2024;Maschi;71;7106;7106;7106;7106;7106;7106;7106;
2024;Maschi;72;6864;6864;6864;6864;6864;6864;6864;
2024;Maschi;73;7196;7196;7196;7196;7196;7196;7196;
2024;Maschi;74;7175;7175;7175;7175;7175;7175;7175;
2024;Maschi;75;7037;7037;7037;7037;7037;7037;7037;
2024;Maschi;76;6648;6648;6648;6648;6648;6648;6648;
2024;Maschi;77;6341;6341;6341;6341;6341;6341;6341;
2024;Maschi;78;4501;4501;4501;4501;4501;4501;4501;
