"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Basilicata"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;1577;1577;1577;1577;1577;1577;1577;
2024;Maschi;1;1723;1723;1723;1723;1723;1723;1723;
2024;Maschi;2;1737;1737;1737;1737;1737;1737;1737;
2024;Maschi;3;1851;1851;1851;1851;1851;1851;1851;
2024;Maschi;4;1924;1924;1924;1924;1924;1924;1924;
2024;Maschi;5;1884;1884;1884;1884;1884;1884;1884;
2024;Maschi;6;2067;2067;2067;2067;2067;2067;2067;
2024;Maschi;7;2063;2063;2063;2063;2063;2063;2063;
2024;Maschi;8;2080;2080;2080;2080;2080;2080;2080;
2024;Maschi;9;2075;2075;2075;2075;2075;2075;2075;
2024;Maschi;10;2101;2101;2101;2101;2101;2101;2101;
2024;Maschi;11;2332;2332;2332;2332;2332;2332;2332;
2024;Maschi;12;2277;2277;2277;2277;2277;2277;2277;
2024;Maschi;13;2342;2342;2342;2342;2342;2342;2342;
2024;Maschi;14;2488;2488;2488;2488;2488;2488;2488;
2024;Maschi;15;2554;2554;2554;2554;2554;2554;2554;
2024;Maschi;16;2580;2580;2580;2580;2580;2580;2580;
2024;Maschi;17;2675;2675;2675;2675;2675;2675;2675;
2024;Maschi;18;2716;2716;2716;2716;2716;2716;2716;
2024;Maschi;19;2844;2844;2844;2844;2844;2844;2844;
2024;Maschi;20;2924;2924;2924;2924;2924;2924;2924;
2024;Maschi;21;2900;2900;2900;2900;2900;2900;2900;
2024;Maschi;22;2955;2955;2955;2955;2955;2955;2955;
2024;Maschi;23;3073;3073;3073;3073;3073;3073;3073;
2024;Maschi;24;3055;3055;3055;3055;3055;3055;3055;
2024;Maschi;25;3104;3104;3104;3104;3104;3104;3104;
2024;Maschi;26;3000;3000;3000;3000;3000;3000;3000;
2024;Maschi;27;2989;2989;2989;2989;2989;2989;2989;
2024;Maschi;28;2922;2922;2922;2922;2922;2922;2922;
2024;Maschi;29;2932;2932;2932;2932;2932;2932;2932;
2024;Maschi;30;2985;2985;2985;2985;2985;2985;2985;
2024;Maschi;31;3208;3208;3208;3208;3208;3208;3208;
2024;Maschi;32;3051;3051;3051;3051;3051;3051;3051;
2024;Maschi;33;3216;3216;3216;3216;3216;3216;3216;
2024;Maschi;34;3210;3210;3210;3210;3210;3210;3210;
2024;Maschi;35;3170;3170;3170;3170;3170;3170;3170;
2024;Maschi;36;3176;3176;3176;3176;3176;3176;3176;
2024;Maschi;37;3094;3094;3094;3094;3094;3094;3094;
2024;Maschi;38;3214;3214;3214;3214;3214;3214;3214;
2024;Maschi;39;3238;3238;3238;3238;3238;3238;3238;
2024;Maschi;40;3219;3219;3219;3219;3219;3219;3219;
2024;Maschi;41;3220;3220;3220;3220;3220;3220;3220;
2024;Maschi;42;3258;3258;3258;3258;3258;3258;3258;
2024;Maschi;43;3277;3277;3277;3277;3277;3277;3277;
2024;Maschi;44;3428;3428;3428;3428;3428;3428;3428;
2024;Maschi;45;3636;3636;3636;3636;3636;3636;3636;
2024;Maschi;46;3551;3551;3551;3551;3551;3551;3551;
2024;Maschi;47;3945;3945;3945;3945;3945;3945;3945;
2024;Maschi;48;3842;3842;3842;3842;3842;3842;3842;
2024;Maschi;49;4042;4042;4042;4042;4042;4042;4042;
2024;Maschi;50;4006;4006;4006;4006;4006;4006;4006;
2024;Maschi;51;3995;3995;3995;3995;3995;3995;3995;
2024;Maschi;52;4034;4034;4034;4034;4034;4034;4034;
2024;Maschi;53;4086;4086;4086;4086;4086;4086;4086;
2024;Maschi;54;4308;4308;4308;4308;4308;4308;4308;
2024;Maschi;55;4211;4211;4211;4211;4211;4211;4211;
2024;Maschi;56;4332;4332;4332;4332;4332;4332;4332;
2024;Maschi;57;4121;4121;4121;4121;4121;4121;4121;
2024;Maschi;58;4301;4301;4301;4301;4301;4301;4301;
2024;Maschi;59;4451;4451;4451;4451;4451;4451;4451;
2024;Maschi;60;4203;4203;4203;4203;4203;4203;4203;
2024;Maschi;61;4274;4274;4274;4274;4274;4274;4274;
2024;Maschi;62;4016;4016;4016;4016;4016;4016;4016;
2024;Maschi;63;3944;3944;3944;3944;3944;3944;3944;
2024;Maschi;64;3796;3796;3796;3796;3796;3796;3796;
2024;Maschi;65;3697;3697;3697;3697;3697;3697;3697;
2024;Maschi;66;3452;3452;3452;3452;3452;3452;3452;
2024;Maschi;67;3613;3613;3613;3613;3613;3613;3613;
2024;Maschi;68;3540;3540;3540;3540;3540;3540;3540;
2024;Maschi;69;3405;3405;3405;3405;3405;3405;3405;
2024;Maschi;70;3188;3188;3188;3188;3188;3188;3188;
2024;Maschi;71;3025;3025;3025;3025;3025;3025;3025;
2024;Maschi;72;2931;2931;2931;2931;2931;2931;2931;
2024;Maschi;73;3066;3066;3066;3066;3066;3066;3066;
2024;Maschi;74;3057;3057;3057;3057;3057;3057;3057;
2024;Maschi;75;3021;3021;3021;3021;3021;3021;3021;
2024;Maschi;76;2667;2667;2667;2667;2667;2667;2667;
2024;Maschi;77;2365;2365;2365;2365;2365;2365;2365;
2024;Maschi;78;1726;1726;1726;1726;1726;1726;1726;
2024;Maschi;79;1743;1743;1743;1743;1743;1743;1743;
2024;Maschi;80;1670;1670;1670;1670;1670;1670;1670;
2024;Maschi;81;1518;1518;1518;1518;1518;1518;1518;
2024;Maschi;82;1489;1489;1489;1489;1489;1489;1489;
2024;Maschi;83;1703;1703;1703;1703;1703;1703;1703;
2024;Maschi;84;1615;1615;1615;1615;1615;1615;1615;
2024;Maschi;85;1454;1454;1454;1454;1454;1454;1454;
2024;Maschi;86;1270;1270;1270;1270;1270;1270;1270;
2024;Maschi;87;1113;1113;1113;1113;1113;1113;1113;
2024;Maschi;88;930;930;930;930;930;930;930;
2024;Maschi;89;807;807;807;807;807;807;807;
2024;Maschi;90;677;677;677;677;677;677;677;
2024;Maschi;91;558;558;558;558;558;558;558;
2024;Maschi;92;415;415;415;415;415;415;415;
2024;Maschi;93;313;313;313;313;313;313;313;
2024;Maschi;94;240;240;240;240;240;240;240;
2024;Maschi;95;161;161;161;161;161;161;161;
2024;Maschi;96;134;134;134;134;134;134;134;
2024;Maschi;97;72;72;72;72;72;72;72;
2024;Maschi;98;45;45;45;45;45;45;45;
2024;Maschi;99;32;32;32;32;32;32;32;
2024;Maschi;100;23;23;23;23;23;23;23;
2024;Maschi;101;14;14;14;14;14;14;14;
2024;Maschi;102;8;8;8;8;8;8;8;
2024;Maschi;103;4;4;4;4;4;4;4;
2024;Maschi;104;2;2;2;2;2;2;2;
2024;Maschi;105;1;1;1;1;1;1;1;
2024;Maschi;106;0;0;0;0;0;0;0;
2024;Maschi;107;0;0;0;0;0;0;0;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;263568;263568;263568;263568;263568;263568;263568;
2024;Femmine;0;1521;1521;1521;1521;1521;1521;1521;
2024;Femmine;1;1484;1484;1484;1484;1484;1484;1484;
2024;Femmine;2;1605;1605;1605;1605;1605;1605;1605;
2024;Femmine;3;1677;1677;1677;1677;1677;1677;1677;
2024;Femmine;4;1746;1746;1746;1746;1746;1746;1746;
2024;Femmine;5;1841;1841;1841;1841;1841;1841;1841;
2024;Femmine;6;1873;1873;1873;1873;1873;1873;1873;
2024;Femmine;7;1956;1956;1956;1956;1956;1956;1956;
2024;Femmine;8;1985;1985;1985;1985;1985;1985;1985;
2024;Femmine;9;2016;2016;2016;2016;2016;2016;2016;
2024;Femmine;10;1956;1956;1956;1956;1956;1956;1956;
2024;Femmine;11;2111;2111;2111;2111;2111;2111;2111;
2024;Femmine;12;2136;2136;2136;2136;2136;2136;2136;
2024;Femmine;13;2236;2236;2236;2236;2236;2236;2236;
2024;Femmine;14;2279;2279;2279;2279;2279;2279;2279;
2024;Femmine;15;2345;2345;2345;2345;2345;2345;2345;
2024;Femmine;16;2335;2335;2335;2335;2335;2335;2335;
2024;Femmine;17;2399;2399;2399;2399;2399;2399;2399;
2024;Femmine;18;2403;2403;2403;2403;2403;2403;2403;
2024;Femmine;19;2653;2653;2653;2653;2653;2653;2653;
2024;Femmine;20;2533;2533;2533;2533;2533;2533;2533;
2024;Femmine;21;2624;2624;2624;2624;2624;2624;2624;
2024;Femmine;22;2566;2566;2566;2566;2566;2566;2566;
2024;Femmine;23;2648;2648;2648;2648;2648;2648;2648;
2024;Femmine;24;2687;2687;2687;2687;2687;2687;2687;
2024;Femmine;25;2544;2544;2544;2544;2544;2544;2544;
2024;Femmine;26;2592;2592;2592;2592;2592;2592;2592;
2024;Femmine;27;2559;2559;2559;2559;2559;2559;2559;
2024;Femmine;28;2620;2620;2620;2620;2620;2620;2620;
2024;Femmine;29;2688;2688;2688;2688;2688;2688;2688;
2024;Femmine;30;2648;2648;2648;2648;2648;2648;2648;
2024;Femmine;31;2846;2846;2846;2846;2846;2846;2846;
2024;Femmine;32;2826;2826;2826;2826;2826;2826;2826;
2024;Femmine;33;2941;2941;2941;2941;2941;2941;2941;
2024;Femmine;34;2847;2847;2847;2847;2847;2847;2847;
2024;Femmine;35;2892;2892;2892;2892;2892;2892;2892;
2024;Femmine;36;2835;2835;2835;2835;2835;2835;2835;
2024;Femmine;37;2822;2822;2822;2822;2822;2822;2822;
2024;Femmine;38;2969;2969;2969;2969;2969;2969;2969;
2024;Femmine;39;3075;3075;3075;3075;3075;3075;3075;
2024;Femmine;40;3105;3105;3105;3105;3105;3105;3105;
2024;Femmine;41;3247;3247;3247;3247;3247;3247;3247;
2024;Femmine;42;3162;3162;3162;3162;3162;3162;3162;
2024;Femmine;43;3180;3180;3180;3180;3180;3180;3180;
2024;Femmine;44;3255;3255;3255;3255;3255;3255;3255;
2024;Femmine;45;3450;3450;3450;3450;3450;3450;3450;
2024;Femmine;46;3676;3676;3676;3676;3676;3676;3676;
2024;Femmine;47;3825;3825;3825;3825;3825;3825;3825;
2024;Femmine;48;3993;3993;3993;3993;3993;3993;3993;
2024;Femmine;49;3996;3996;3996;3996;3996;3996;3996;
2024;Femmine;50;3999;3999;3999;3999;3999;3999;3999;
2024;Femmine;51;4169;4169;4169;4169;4169;4169;4169;
2024;Femmine;52;4186;4186;4186;4186;4186;4186;4186;
2024;Femmine;53;4286;4286;4286;4286;4286;4286;4286;
2024;Femmine;54;4303;4303;4303;4303;4303;4303;4303;
2024;Femmine;55;4350;4350;4350;4350;4350;4350;4350;
2024;Femmine;56;4529;4529;4529;4529;4529;4529;4529;
2024;Femmine;57;4501;4501;4501;4501;4501;4501;4501;
2024;Femmine;58;4479;4479;4479;4479;4479;4479;4479;
2024;Femmine;59;4647;4647;4647;4647;4647;4647;4647;
2024;Femmine;60;4356;4356;4356;4356;4356;4356;4356;
2024;Femmine;61;4352;4352;4352;4352;4352;4352;4352;
2024;Femmine;62;4343;4343;4343;4343;4343;4343;4343;
2024;Femmine;63;4252;4252;4252;4252;4252;4252;4252;
2024;Femmine;64;4036;4036;4036;4036;4036;4036;4036;
2024;Femmine;65;3886;3886;3886;3886;3886;3886;3886;
2024;Femmine;66;3947;3947;3947;3947;3947;3947;3947;
2024;Femmine;67;3895;3895;3895;3895;3895;3895;3895;
2024;Femmine;68;3631;3631;3631;3631;3631;3631;3631;
2024;Femmine;69;3727;3727;3727;3727;3727;3727;3727;
2024;Femmine;70;3327;3327;3327;3327;3327;3327;3327;
2024;Femmine;71;3361;3361;3361;3361;3361;3361;3361;
2024;Femmine;72;3300;3300;3300;3300;3300;3300;3300;
2024;Femmine;73;3342;3342;3342;3342;3342;3342;3342;
2024;Femmine;74;3316;3316;3316;3316;3316;3316;3316;
2024;Femmine;75;3472;3472;3472;3472;3472;3472;3472;
2024;Femmine;76;3149;3149;3149;3149;3149;3149;3149;
2024;Femmine;77;2780;2780;2780;2780;2780;2780;2780;
2024;Femmine;78;2222;2222;2222;2222;2222;2222;2222;
2024;Femmine;79;2092;2092;2092;2092;2092;2092;2092;
2024;Femmine;80;2043;2043;2043;2043;2043;2043;2043;
2024;Femmine;81;2045;2045;2045;2045;2045;2045;2045;
2024;Femmine;82;1947;1947;1947;1947;1947;1947;1947;
2024;Femmine;83;2227;2227;2227;2227;2227;2227;2227;
2024;Femmine;84;2278;2278;2278;2278;2278;2278;2278;
2024;Femmine;85;2105;2105;2105;2105;2105;2105;2105;
2024;Femmine;86;2014;2014;2014;2014;2014;2014;2014;
2024;Femmine;87;1790;1790;1790;1790;1790;1790;1790;
2024;Femmine;88;1593;1593;1593;1593;1593;1593;1593;
2024;Femmine;89;1476;1476;1476;1476;1476;1476;1476;
2024;Femmine;90;1262;1262;1262;1262;1262;1262;1262;
2024;Femmine;91;979;979;979;979;979;979;979;
2024;Femmine;92;836;836;836;836;836;836;836;
2024;Femmine;93;746;746;746;746;746;746;746;
2024;Femmine;94;557;557;557;557;557;557;557;
2024;Femmine;95;398;398;398;398;398;398;398;
2024;Femmine;96;306;306;306;306;306;306;306;
2024;Femmine;97;221;221;221;221;221;221;221;
2024;Femmine;98;150;150;150;150;150;150;150;
2024;Femmine;99;88;88;88;88;88;88;88;
2024;Femmine;100;64;64;64;64;64;64;64;
2024;Femmine;101;41;41;41;41;41;41;41;
2024;Femmine;102;25;25;25;25;25;25;25;
2024;Femmine;103;15;15;15;15;15;15;15;
2024;Femmine;104;8;8;8;8;8;8;8;
2024;Femmine;105;4;4;4;4;4;4;4;
2024;Femmine;106;2;2;2;2;2;2;2;
2024;Femmine;107;1;1;1;1;1;1;1;
2024;Femmine;108;0;0;0;0;0;0;0;
2024;Femmine;109;0;0;0;0;0;0;0;
2024;Femmine;110 e oltre;0;0;0;0;0;0;0;
2024;Femmine;Totale;269665;269665;269665;269665;269665;269665;269665;
2024;Totale;0;3098;3098;3098;3098;3098;3098;3098;
2024;Totale;1;3207;3207;3207;3207;3207;3207;3207;
2024;Totale;2;3342;3342;3342;3342;3342;3342;3342;
2024;Totale;3;3528;3528;3528;3528;3528;3528;3528;
2024;Totale;4;3670;3670;3670;3670;3670;3670;3670;
2024;Totale;5;3725;3725;3725;3725;3725;3725;3725;
2024;Totale;6;3940;3940;3940;3940;3940;3940;3940;
2024;Totale;7;4019;4019;4019;4019;4019;4019;4019;
2024;Totale;8;4065;4065;4065;4065;4065;4065;4065;
2024;Totale;9;4091;4091;4091;4091;4091;4091;4091;
2024;Totale;10;4057;4057;4057;4057;4057;4057;4057;
2024;Totale;11;4443;4443;4443;4443;4443;4443;4443;
2024;Totale;12;4413;4413;4413;4413;4413;4413;4413;
2024;Totale;13;4578;4578;4578;4578;4578;4578;4578;
2024;Totale;14;4767;4767;4767;4767;4767;4767;4767;
2024;Totale;15;4899;4899;4899;4899;4899;4899;4899;
2024;Totale;16;4915;4915;4915;4915;4915;4915;4915;
2024;Totale;17;5074;5074;5074;5074;5074;5074;5074;
2024;Totale;18;5119;5119;5119;5119;5119;5119;5119;
2024;Totale;19;5497;5497;5497;5497;5497;5497;5497;
2024;Totale;20;5457;5457;5457;5457;5457;5457;5457;
2024;Totale;21;5524;5524;5524;5524;5524;5524;5524;
2024;Totale;22;5521;5521;5521;5521;5521;5521;5521;
2024;Totale;23;5721;5721;5721;5721;5721;5721;5721;
2024;Totale;24;5742;5742;5742;5742;5742;5742;5742;
2024;Totale;25;5648;5648;5648;5648;5648;5648;5648;
2024;Totale;26;5592;5592;5592;5592;5592;5592;5592;
2024;Totale;27;5548;5548;5548;5548;5548;5548;5548;
2024;Totale;28;5542;5542;5542;5542;5542;5542;5542;
2024;Totale;29;5620;5620;5620;5620;5620;5620;5620;
2024;Totale;30;5633;5633;5633;5633;5633;5633;5633;
2024;Totale;31;6054;6054;6054;6054;6054;6054;6054;
2024;Totale;32;5877;5877;5877;5877;5877;5877;5877;
2024;Totale;33;6157;6157;6157;6157;6157;6157;6157;
2024;Totale;34;6057;6057;6057;6057;6057;6057;6057;
2024;Totale;35;6062;6062;6062;6062;6062;6062;6062;
2024;Totale;36;6011;6011;6011;6011;6011;6011;6011;
2024;Totale;37;5916;5916;5916;5916;5916;5916;5916;
