"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Calabria"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;6795;6795;6795;6795;6795;6795;6795;
2024;Maschi;1;6930;6930;6930;6930;6930;6930;6930;
2024;Maschi;2;6773;6773;6773;6773;6773;6773;6773;
2024;Maschi;3;7137;7137;7137;7137;7137;7137;7137;
2024;Maschi;4;7456;7456;7456;7456;7456;7456;7456;
2024;Maschi;5;7784;7784;7784;7784;7784;7784;7784;
2024;Maschi;6;7977;7977;7977;7977;7977;7977;7977;
2024;Maschi;7;8121;8121;8121;8121;8121;8121;8121;
2024;Maschi;8;8290;8290;8290;8290;8290;8290;8290;
2024;Maschi;9;8403;8403;8403;8403;8403;8403;8403;
2024;Maschi;10;8294;8294;8294;8294;8294;8294;8294;
2024;Maschi;11;8719;8719;8719;8719;8719;8719;8719;
2024;Maschi;12;8752;8752;8752;8752;8752;8752;8752;
2024;Maschi;13;8907;8907;8907;8907;8907;8907;8907;
2024;Maschi;14;9178;9178;9178;9178;9178;9178;9178;
2024;Maschi;15;9033;9033;9033;9033;9033;9033;9033;
2024;Maschi;16;9359;9359;9359;9359;9359;9359;9359;
2024;Maschi;17;9746;9746;9746;9746;9746;9746;9746;
2024;Maschi;18;9647;9647;9647;9647;9647;9647;9647;
2024;Maschi;19;10070;10070;10070;10070;10070;10070;10070;
2024;Maschi;20;9792;9792;9792;9792;9792;9792;9792;
2024;Maschi;21;9722;9722;9722;9722;9722;9722;9722;
2024;Maschi;22;9844;9844;9844;9844;9844;9844;9844;
2024;Maschi;23;10128;10128;10128;10128;10128;10128;10128;
2024;Maschi;24;10046;10046;10046;10046;10046;10046;10046;
2024;Maschi;25;10188;10188;10188;10188;10188;10188;10188;
2024;Maschi;26;9804;9804;9804;9804;9804;9804;9804;
2024;Maschi;27;10032;10032;10032;10032;10032;10032;10032;
2024;Maschi;28;9860;9860;9860;9860;9860;9860;9860;
2024;Maschi;29;10151;10151;10151;10151;10151;10151;10151;
2024;Maschi;30;10464;10464;10464;10464;10464;10464;10464;
2024;Maschi;31;10566;10566;10566;10566;10566;10566;10566;
2024;Maschi;32;10625;10625;10625;10625;10625;10625;10625;
2024;Maschi;33;10925;10925;10925;10925;10925;10925;10925;
2024;Maschi;34;11209;11209;11209;11209;11209;11209;11209;
2024;Maschi;35;11263;11263;11263;11263;11263;11263;11263;
2024;Maschi;36;11012;11012;11012;11012;11012;11012;11012;
2024;Maschi;37;11082;11082;11082;11082;11082;11082;11082;
2024;Maschi;38;11204;11204;11204;11204;11204;11204;11204;
2024;Maschi;39;11660;11660;11660;11660;11660;11660;11660;
2024;Maschi;40;11414;11414;11414;11414;11414;11414;11414;
2024;Maschi;41;11607;11607;11607;11607;11607;11607;11607;
2024;Maschi;42;11626;11626;11626;11626;11626;11626;11626;
2024;Maschi;43;11964;11964;11964;11964;11964;11964;11964;
2024;Maschi;44;12119;12119;12119;12119;12119;12119;12119;
2024;Maschi;45;12341;12341;12341;12341;12341;12341;12341;
2024;Maschi;46;12397;12397;12397;12397;12397;12397;12397;
2024;Maschi;47;13063;13063;13063;13063;13063;13063;13063;
2024;Maschi;48;13041;13041;13041;13041;13041;13041;13041;
2024;Maschi;49;13160;13160;13160;13160;13160;13160;13160;
2024;Maschi;50;13106;13106;13106;13106;13106;13106;13106;
2024;Maschi;51;13141;13141;13141;13141;13141;13141;13141;
2024;Maschi;52;13217;13217;13217;13217;13217;13217;13217;
2024;Maschi;53;13096;13096;13096;13096;13096;13096;13096;
2024;Maschi;54;13655;13655;13655;13655;13655;13655;13655;
2024;Maschi;55;13587;13587;13587;13587;13587;13587;13587;
2024;Maschi;56;13723;13723;13723;13723;13723;13723;13723;
2024;Maschi;57;13742;13742;13742;13742;13742;13742;13742;
2024;Maschi;58;13694;13694;13694;13694;13694;13694;13694;
2024;Maschi;59;14259;14259;14259;14259;14259;14259;14259;
2024;Maschi;60;13443;13443;13443;13443;13443;13443;13443;
2024;Maschi;61;13329;13329;13329;13329;13329;13329;13329;
2024;Maschi;62;13151;13151;13151;13151;13151;13151;13151;
2024;Maschi;63;13125;13125;13125;13125;13125;13125;13125;
2024;Maschi;64;12736;12736;12736;12736;12736;12736;12736;
2024;Maschi;65;11753;11753;11753;11753;11753;11753;11753;
2024;Maschi;66;12216;12216;12216;12216;12216;12216;12216;
2024;Maschi;67;11684;11684;11684;11684;11684;11684;11684;
