"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Campania"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;21956;21956;21956;21956;21956;21956;21956;
2024;Maschi;1;22806;22806;22806;22806;22806;22806;22806;
2024;Maschi;2;22302;22302;22302;22302;22302;22302;22302;
2024;Maschi;3;23349;23349;23349;23349;23349;23349;23349;
2024;Maschi;4;24087;24087;24087;24087;24087;24087;24087;
2024;Maschi;5;24865;24865;24865;24865;24865;24865;24865;
2024;Maschi;6;25672;25672;25672;25672;25672;25672;25672;
2024;Maschi;7;25926;25926;25926;25926;25926;25926;25926;
2024;Maschi;8;26234;26234;26234;26234;26234;26234;26234;
2024;Maschi;9;26794;26794;26794;26794;26794;26794;26794;
2024;Maschi;10;26979;26979;26979;26979;26979;26979;26979;
2024;Maschi;11;28543;28543;28543;28543;28543;28543;28543;
2024;Maschi;12;29195;29195;29195;29195;29195;29195;29195;
2024;Maschi;13;30169;30169;30169;30169;30169;30169;30169;
2024;Maschi;14;30592;30592;30592;30592;30592;30592;30592;
2024;Maschi;15;30869;30869;30869;30869;30869;30869;30869;
2024;Maschi;16;31708;31708;31708;31708;31708;31708;31708;
2024;Maschi;17;32373;32373;32373;32373;32373;32373;32373;
2024;Maschi;18;32713;32713;32713;32713;32713;32713;32713;
2024;Maschi;19;33870;33870;33870;33870;33870;33870;33870;
2024;Maschi;20;33296;33296;33296;33296;33296;33296;33296;
2024;Maschi;21;32705;32705;32705;32705;32705;32705;32705;
2024;Maschi;22;33210;33210;33210;33210;33210;33210;33210;
2024;Maschi;23;33506;33506;33506;33506;33506;33506;33506;
2024;Maschi;24;33396;33396;33396;33396;33396;33396;33396;
2024;Maschi;25;33188;33188;33188;33188;33188;33188;33188;
2024;Maschi;26;32593;32593;32593;32593;32593;32593;32593;
2024;Maschi;27;32594;32594;32594;32594;32594;32594;32594;
2024;Maschi;28;31679;31679;31679;31679;31679;31679;31679;
2024;Maschi;29;32234;32234;32234;32234;32234;32234;32234;
2024;Maschi;30;32483;32483;32483;32483;32483;32483;32483;
2024;Maschi;31;33913;33913;33913;33913;33913;33913;33913;
2024;Maschi;32;33659;33659;33659;33659;33659;33659;33659;
2024;Maschi;33;33896;33896;33896;33896;33896;33896;33896;
2024;Maschi;34;33780;33780;33780;33780;33780;33780;33780;
2024;Maschi;35;34451;34451;34451;34451;34451;34451;34451;
2024;Maschi;36;33821;33821;33821;33821;33821;33821;33821;
2024;Maschi;37;33515;33515;33515;33515;33515;33515;33515;
2024;Maschi;38;34737;34737;34737;34737;34737;34737;34737;
2024;Maschi;39;34836;34836;34836;34836;34836;34836;34836;
2024;Maschi;40;35401;35401;35401;35401;35401;35401;35401;
2024;Maschi;41;36663;36663;36663;36663;36663;36663;36663;
2024;Maschi;42;35713;35713;35713;35713;35713;35713;35713;
2024;Maschi;43;36531;36531;36531;36531;36531;36531;36531;
2024;Maschi;44;37058;37058;37058;37058;37058;37058;37058;
2024;Maschi;45;38077;38077;38077;38077;38077;38077;38077;
2024;Maschi;46;38819;38819;38819;38819;38819;38819;38819;
2024;Maschi;47;40130;40130;40130;40130;40130;40130;40130;
2024;Maschi;48;41689;41689;41689;41689;41689;41689;41689;
2024;Maschi;49;42607;42607;42607;42607;42607;42607;42607;
2024;Maschi;50;41928;41928;41928;41928;41928;41928;41928;
2024;Maschi;51;41917;41917;41917;41917;41917;41917;41917;
2024;Maschi;52;41948;41948;41948;41948;41948;41948;41948;
2024;Maschi;53;41288;41288;41288;41288;41288;41288;41288;
2024;Maschi;54;42453;42453;42453;42453;42453;42453;42453;
2024;Maschi;55;42149;42149;42149;42149;42149;42149;42149;
2024;Maschi;56;42442;42442;42442;42442;42442;42442;42442;
2024;Maschi;57;42864;42864;42864;42864;42864;42864;42864;
2024;Maschi;58;42778;42778;42778;42778;42778;42778;42778;
2024;Maschi;59;43451;43451;43451;43451;43451;43451;43451;
2024;Maschi;60;40321;40321;40321;40321;40321;40321;40321;
2024;Maschi;61;39002;39002;39002;39002;39002;39002;39002;
2024;Maschi;62;38119;38119;38119;38119;38119;38119;38119;
2024;Maschi;63;36227;36227;36227;36227;36227;36227;36227;
2024;Maschi;64;35768;35768;35768;35768;35768;35768;35768;
2024;Maschi;65;33572;33572;33572;33572;33572;33572;33572;
2024;Maschi;66;32994;32994;32994;32994;32994;32994;32994;
2024;Maschi;67;31055;31055;31055;31055;31055;31055;31055;
2024;Maschi;68;31517;31517;31517;31517;31517;31517;31517;
2024;Maschi;69;30609;30609;30609;30609;30609;30609;30609;
2024;Maschi;70;28003;28003;28003;28003;28003;28003;28003;
2024;Maschi;71;26663;26663;26663;26663;26663;26663;26663;
2024;Maschi;72;26379;26379;26379;26379;26379;26379;26379;
2024;Maschi;73;26316;26316;26316;26316;26316;26316;26316;
2024;Maschi;74;25696;25696;25696;25696;25696;25696;25696;
2024;Maschi;75;25655;25655;25655;25655;25655;25655;25655;
2024;Maschi;76;24046;24046;24046;24046;24046;24046;24046;
2024;Maschi;77;23601;23601;23601;23601;23601;23601;23601;
2024;Maschi;78;18527;18527;18527;18527;18527;18527;18527;
2024;Maschi;79;15111;15111;15111;15111;15111;15111;15111;
2024;Maschi;80;15413;15413;15413;15413;15413;15413;15413;
2024;Maschi;81;14124;14124;14124;14124;14124;14124;14124;
2024;Maschi;82;12680;12680;12680;12680;12680;12680;12680;
2024;Maschi;83;13054;13054;13054;13054;13054;13054;13054;
2024;Maschi;84;11826;11826;11826;11826;11826;11826;11826;
2024;Maschi;85;9955;9955;9955;9955;9955;9955;9955;
2024;Maschi;86;8644;8644;8644;8644;8644;8644;8644;
2024;Maschi;87;7066;7066;7066;7066;7066;7066;7066;
2024;Maschi;88;6254;6254;6254;6254;6254;6254;6254;
2024;Maschi;89;4963;4963;4963;4963;4963;4963;4963;
2024;Maschi;90;4194;4194;4194;4194;4194;4194;4194;
2024;Maschi;91;3271;3271;3271;3271;3271;3271;3271;
2024;Maschi;92;2543;2543;2543;2543;2543;2543;2543;
2024;Maschi;93;2002;2002;2002;2002;2002;2002;2002;
2024;Maschi;94;1326;1326;1326;1326;1326;1326;1326;
2024;Maschi;95;882;882;882;882;882;882;882;
2024;Maschi;96;565;565;565;565;565;565;565;
2024;Maschi;97;380;380;380;380;380;380;380;
2024;Maschi;98;251;251;251;251;251;251;251;
2024;Maschi;99;171;171;171;171;171;171;171;
2024;Maschi;100;118;118;118;118;118;118;118;
2024;Maschi;101;72;72;72;72;72;72;72;
2024;Maschi;102;42;42;42;42;42;42;42;
2024;Maschi;103;23;23;23;23;23;23;23;
2024;Maschi;104;12;12;12;12;12;12;12;
2024;Maschi;105;6;6;6;6;6;6;6;
2024;Maschi;106;2;2;2;2;2;2;2;
2024;Maschi;107;1;1;1;1;1;1;1;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;2733422;2733422;2733422;2733422;2733422;2733422;2733422;
2024;Femmine;0;20891;20891;20891;20891;20891;20891;20891;
2024;Femmine;1;21639;21639;21639;21639;21639;21639;21639;
2024;Femmine;2;21160;21160;21160;21160;21160;21160;21160;
2024;Femmine;3;22017;22017;22017;22017;22017;22017;22017;
2024;Femmine;4;22998;22998;22998;22998;22998;22998;22998;
2024;Femmine;5;23253;23253;23253;23253;23253;23253;23253;
2024;Femmine;6;24513;24513;24513;24513;24513;24513;24513;
2024;Femmine;7;24496;24496;24496;24496;24496;24496;24496;
2024;Femmine;8;24866;24866;24866;24866;24866;24866;24866;
2024;Femmine;9;25028;25028;25028;25028;25028;25028;25028;
2024;Femmine;10;25895;25895;25895;25895;25895;25895;25895;
2024;Femmine;11;26642;26642;26642;26642;26642;26642;26642;
2024;Femmine;12;27389;27389;27389;27389;27389;27389;27389;
2024;Femmine;13;28065;28065;28065;28065;28065;28065;28065;
2024;Femmine;14;29117;29117;29117;29117;29117;29117;29117;
2024;Femmine;15;29533;29533;29533;29533;29533;29533;29533;
2024;Femmine;16;30153;30153;30153;30153;30153;30153;30153;
2024;Femmine;17;30019;30019;30019;30019;30019;30019;30019;
2024;Femmine;18;30494;30494;30494;30494;30494;30494;30494;
2024;Femmine;19;31396;31396;31396;31396;31396;31396;31396;
2024;Femmine;20;31397;31397;31397;31397;31397;31397;31397;
2024;Femmine;21;30821;30821;30821;30821;30821;30821;30821;
2024;Femmine;22;30825;30825;30825;30825;30825;30825;30825;
2024;Femmine;23;31152;31152;31152;31152;31152;31152;31152;
2024;Femmine;24;30889;30889;30889;30889;30889;30889;30889;
2024;Femmine;25;30651;30651;30651;30651;30651;30651;30651;
2024;Femmine;26;30494;30494;30494;30494;30494;30494;30494;
2024;Femmine;27;30647;30647;30647;30647;30647;30647;30647;
2024;Femmine;28;31032;31032;31032;31032;31032;31032;31032;
2024;Femmine;29;31125;31125;31125;31125;31125;31125;31125;
2024;Femmine;30;31963;31963;31963;31963;31963;31963;31963;
2024;Femmine;31;33724;33724;33724;33724;33724;33724;33724;
2024;Femmine;32;33566;33566;33566;33566;33566;33566;33566;
2024;Femmine;33;33414;33414;33414;33414;33414;33414;33414;
2024;Femmine;34;33509;33509;33509;33509;33509;33509;33509;
2024;Femmine;35;34497;34497;34497;34497;34497;34497;34497;
2024;Femmine;36;33330;33330;33330;33330;33330;33330;33330;
2024;Femmine;37;33269;33269;33269;33269;33269;33269;33269;
2024;Femmine;38;34083;34083;34083;34083;34083;34083;34083;
2024;Femmine;39;35315;35315;35315;35315;35315;35315;35315;
2024;Femmine;40;35652;35652;35652;35652;35652;35652;35652;
2024;Femmine;41;36315;36315;36315;36315;36315;36315;36315;
2024;Femmine;42;36345;36345;36345;36345;36345;36345;36345;
2024;Femmine;43;36626;36626;36626;36626;36626;36626;36626;
2024;Femmine;44;37874;37874;37874;37874;37874;37874;37874;
2024;Femmine;45;38988;38988;38988;38988;38988;38988;38988;
2024;Femmine;46;39756;39756;39756;39756;39756;39756;39756;
2024;Femmine;47;41330;41330;41330;41330;41330;41330;41330;
2024;Femmine;48;42558;42558;42558;42558;42558;42558;42558;
2024;Femmine;49;44452;44452;44452;44452;44452;44452;44452;
2024;Femmine;50;44054;44054;44054;44054;44054;44054;44054;
2024;Femmine;51;44194;44194;44194;44194;44194;44194;44194;
2024;Femmine;52;44701;44701;44701;44701;44701;44701;44701;
2024;Femmine;53;43994;43994;43994;43994;43994;43994;43994;
2024;Femmine;54;44785;44785;44785;44785;44785;44785;44785;
2024;Femmine;55;44888;44888;44888;44888;44888;44888;44888;
2024;Femmine;56;45559;45559;45559;45559;45559;45559;45559;
2024;Femmine;57;45571;45571;45571;45571;45571;45571;45571;
2024;Femmine;58;45427;45427;45427;45427;45427;45427;45427;
2024;Femmine;59;46325;46325;46325;46325;46325;46325;46325;
2024;Femmine;60;43644;43644;43644;43644;43644;43644;43644;
2024;Femmine;61;42643;42643;42643;42643;42643;42643;42643;
2024;Femmine;62;41604;41604;41604;41604;41604;41604;41604;
2024;Femmine;63;39693;39693;39693;39693;39693;39693;39693;
2024;Femmine;64;38801;38801;38801;38801;38801;38801;38801;
2024;Femmine;65;36748;36748;36748;36748;36748;36748;36748;
2024;Femmine;66;36057;36057;36057;36057;36057;36057;36057;
2024;Femmine;67;34527;34527;34527;34527;34527;34527;34527;
2024;Femmine;68;34488;34488;34488;34488;34488;34488;34488;
2024;Femmine;69;34306;34306;34306;34306;34306;34306;34306;
2024;Femmine;70;31037;31037;31037;31037;31037;31037;31037;
