"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Emilia-Romagna"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;14781;14781;14781;14781;14781;14781;14781;
2024;Maschi;1;15348;15348;15348;15348;15348;15348;15348;
2024;Maschi;2;15820;15820;15820;15820;15820;15820;15820;
2024;Maschi;3;15903;15903;15903;15903;15903;15903;15903;
2024;Maschi;4;16360;16360;16360;16360;16360;16360;16360;
2024;Maschi;5;17489;17489;17489;17489;17489;17489;17489;
2024;Maschi;6;18065;18065;18065;18065;18065;18065;18065;
2024;Maschi;7;18607;18607;18607;18607;18607;18607;18607;
2024;Maschi;8;19190;19190;19190;19190;19190;19190;19190;
2024;Maschi;9;19550;19550;19550;19550;19550;19550;19550;
2024;Maschi;10;20011;20011;20011;20011;20011;20011;20011;
2024;Maschi;11;20806;20806;20806;20806;20806;20806;20806;
2024;Maschi;12;21065;21065;21065;21065;21065;21065;21065;
2024;Maschi;13;21936;21936;21936;21936;21936;21936;21936;
2024;Maschi;14;22126;22126;22126;22126;22126;22126;22126;
2024;Maschi;15;22149;22149;22149;22149;22149;22149;22149;
2024;Maschi;16;22161;22161;22161;22161;22161;22161;22161;
2024;Maschi;17;22028;22028;22028;22028;22028;22028;22028;
2024;Maschi;18;22105;22105;22105;22105;22105;22105;22105;
2024;Maschi;19;22178;22178;22178;22178;22178;22178;22178;
2024;Maschi;20;21887;21887;21887;21887;21887;21887;21887;
2024;Maschi;21;22150;22150;22150;22150;22150;22150;22150;
2024;Maschi;22;22241;22241;22241;22241;22241;22241;22241;
2024;Maschi;23;23136;23136;23136;23136;23136;23136;23136;
2024;Maschi;24;23016;23016;23016;23016;23016;23016;23016;
2024;Maschi;25;23743;23743;23743;23743;23743;23743;23743;
2024;Maschi;26;23620;23620;23620;23620;23620;23620;23620;
2024;Maschi;27;23622;23622;23622;23622;23622;23622;23622;
2024;Maschi;28;23776;23776;23776;23776;23776;23776;23776;
2024;Maschi;29;23924;23924;23924;23924;23924;23924;23924;
2024;Maschi;30;24396;24396;24396;24396;24396;24396;24396;
2024;Maschi;31;25323;25323;25323;25323;25323;25323;25323;
2024;Maschi;32;25250;25250;25250;25250;25250;25250;25250;
2024;Maschi;33;25494;25494;25494;25494;25494;25494;25494;
2024;Maschi;34;25025;25025;25025;25025;25025;25025;25025;
2024;Maschi;35;25348;25348;25348;25348;25348;25348;25348;
2024;Maschi;36;24700;24700;24700;24700;24700;24700;24700;
2024;Maschi;37;24920;24920;24920;24920;24920;24920;24920;
2024;Maschi;38;25733;25733;25733;25733;25733;25733;25733;
2024;Maschi;39;26067;26067;26067;26067;26067;26067;26067;
2024;Maschi;40;26564;26564;26564;26564;26564;26564;26564;
2024;Maschi;41;27261;27261;27261;27261;27261;27261;27261;
2024;Maschi;42;27398;27398;27398;27398;27398;27398;27398;
2024;Maschi;43;28487;28487;28487;28487;28487;28487;28487;
2024;Maschi;44;29234;29234;29234;29234;29234;29234;29234;
2024;Maschi;45;31252;31252;31252;31252;31252;31252;31252;
2024;Maschi;46;32400;32400;32400;32400;32400;32400;32400;
2024;Maschi;47;33930;33930;33930;33930;33930;33930;33930;
2024;Maschi;48;35529;35529;35529;35529;35529;35529;35529;
2024;Maschi;49;37216;37216;37216;37216;37216;37216;37216;
2024;Maschi;50;36956;36956;36956;36956;36956;36956;36956;
2024;Maschi;51;37170;37170;37170;37170;37170;37170;37170;
2024;Maschi;52;37274;37274;37274;37274;37274;37274;37274;
2024;Maschi;53;36414;36414;36414;36414;36414;36414;36414;
2024;Maschi;54;36808;36808;36808;36808;36808;36808;36808;
2024;Maschi;55;36588;36588;36588;36588;36588;36588;36588;
2024;Maschi;56;35898;35898;35898;35898;35898;35898;35898;
2024;Maschi;57;36092;36092;36092;36092;36092;36092;36092;
2024;Maschi;58;35464;35464;35464;35464;35464;35464;35464;
2024;Maschi;59;35792;35792;35792;35792;35792;35792;35792;
2024;Maschi;60;33205;33205;33205;33205;33205;33205;33205;
2024;Maschi;61;31644;31644;31644;31644;31644;31644;31644;
2024;Maschi;62;30766;30766;30766;30766;30766;30766;30766;
2024;Maschi;63;29598;29598;29598;29598;29598;29598;29598;
2024;Maschi;64;28749;28749;28749;28749;28749;28749;28749;
