"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Friuli-Venezia Giulia"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;3570;3570;3570;3570;3570;3570;3570;
2024;Maschi;1;3790;3790;3790;3790;3790;3790;3790;
2024;Maschi;2;3787;3787;3787;3787;3787;3787;3787;
2024;Maschi;3;3917;3917;3917;3917;3917;3917;3917;
2024;Maschi;4;4001;4001;4001;4001;4001;4001;4001;
2024;Maschi;5;4211;4211;4211;4211;4211;4211;4211;
2024;Maschi;6;4388;4388;4388;4388;4388;4388;4388;
2024;Maschi;7;4568;4568;4568;4568;4568;4568;4568;
2024;Maschi;8;4579;4579;4579;4579;4579;4579;4579;
2024;Maschi;9;4921;4921;4921;4921;4921;4921;4921;
2024;Maschi;10;4984;4984;4984;4984;4984;4984;4984;
2024;Maschi;11;5138;5138;5138;5138;5138;5138;5138;
2024;Maschi;12;5389;5389;5389;5389;5389;5389;5389;
2024;Maschi;13;5523;5523;5523;5523;5523;5523;5523;
2024;Maschi;14;5578;5578;5578;5578;5578;5578;5578;
2024;Maschi;15;5600;5600;5600;5600;5600;5600;5600;
2024;Maschi;16;5583;5583;5583;5583;5583;5583;5583;
2024;Maschi;17;5596;5596;5596;5596;5596;5596;5596;
2024;Maschi;18;5723;5723;5723;5723;5723;5723;5723;
2024;Maschi;19;5727;5727;5727;5727;5727;5727;5727;
2024;Maschi;20;5828;5828;5828;5828;5828;5828;5828;
2024;Maschi;21;5764;5764;5764;5764;5764;5764;5764;
2024;Maschi;22;5951;5951;5951;5951;5951;5951;5951;
2024;Maschi;23;6083;6083;6083;6083;6083;6083;6083;
2024;Maschi;24;5966;5966;5966;5966;5966;5966;5966;
2024;Maschi;25;6132;6132;6132;6132;6132;6132;6132;
2024;Maschi;26;6076;6076;6076;6076;6076;6076;6076;
2024;Maschi;27;6216;6216;6216;6216;6216;6216;6216;
2024;Maschi;28;5957;5957;5957;5957;5957;5957;5957;
2024;Maschi;29;5951;5951;5951;5951;5951;5951;5951;
2024;Maschi;30;6001;6001;6001;6001;6001;6001;6001;
2024;Maschi;31;6347;6347;6347;6347;6347;6347;6347;
2024;Maschi;32;6227;6227;6227;6227;6227;6227;6227;
2024;Maschi;33;6320;6320;6320;6320;6320;6320;6320;
2024;Maschi;34;6267;6267;6267;6267;6267;6267;6267;
2024;Maschi;35;6337;6337;6337;6337;6337;6337;6337;
2024;Maschi;36;6062;6062;6062;6062;6062;6062;6062;
2024;Maschi;37;6233;6233;6233;6233;6233;6233;6233;
2024;Maschi;38;6350;6350;6350;6350;6350;6350;6350;
2024;Maschi;39;6683;6683;6683;6683;6683;6683;6683;
2024;Maschi;40;6562;6562;6562;6562;6562;6562;6562;
2024;Maschi;41;6912;6912;6912;6912;6912;6912;6912;
2024;Maschi;42;7034;7034;7034;7034;7034;7034;7034;
2024;Maschi;43;7273;7273;7273;7273;7273;7273;7273;
2024;Maschi;44;7494;7494;7494;7494;7494;7494;7494;
2024;Maschi;45;8160;8160;8160;8160;8160;8160;8160;
2024;Maschi;46;8206;8206;8206;8206;8206;8206;8206;
2024;Maschi;47;8579;8579;8579;8579;8579;8579;8579;
2024;Maschi;48;9102;9102;9102;9102;9102;9102;9102;
2024;Maschi;49;9749;9749;9749;9749;9749;9749;9749;
2024;Maschi;50;9534;9534;9534;9534;9534;9534;9534;
2024;Maschi;51;9845;9845;9845;9845;9845;9845;9845;
2024;Maschi;52;9913;9913;9913;9913;9913;9913;9913;
2024;Maschi;53;9817;9817;9817;9817;9817;9817;9817;
2024;Maschi;54;10117;10117;10117;10117;10117;10117;10117;
