"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Lazio"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;17785;17785;17785;17785;17785;17785;17785;
2024;Maschi;1;18973;18973;18973;18973;18973;18973;18973;
2024;Maschi;2;19792;19792;19792;19792;19792;19792;19792;
2024;Maschi;3;20037;20037;20037;20037;20037;20037;20037;
2024;Maschi;4;21236;21236;21236;21236;21236;21236;21236;
2024;Maschi;5;22487;22487;22487;22487;22487;22487;22487;
2024;Maschi;6;23511;23511;23511;23511;23511;23511;23511;
2024;Maschi;7;24540;24540;24540;24540;24540;24540;24540;
2024;Maschi;8;24933;24933;24933;24933;24933;24933;24933;
2024;Maschi;9;26255;26255;26255;26255;26255;26255;26255;
2024;Maschi;10;26451;26451;26451;26451;26451;26451;26451;
2024;Maschi;11;27895;27895;27895;27895;27895;27895;27895;
2024;Maschi;12;28054;28054;28054;28054;28054;28054;28054;
2024;Maschi;13;28746;28746;28746;28746;28746;28746;28746;
2024;Maschi;14;28933;28933;28933;28933;28933;28933;28933;
2024;Maschi;15;28889;28889;28889;28889;28889;28889;28889;
2024;Maschi;16;29268;29268;29268;29268;29268;29268;29268;
2024;Maschi;17;29066;29066;29066;29066;29066;29066;29066;
2024;Maschi;18;28481;28481;28481;28481;28481;28481;28481;
2024;Maschi;19;28861;28861;28861;28861;28861;28861;28861;
2024;Maschi;20;28135;28135;28135;28135;28135;28135;28135;
2024;Maschi;21;27692;27692;27692;27692;27692;27692;27692;
2024;Maschi;22;27965;27965;27965;27965;27965;27965;27965;
2024;Maschi;23;28685;28685;28685;28685;28685;28685;28685;
2024;Maschi;24;28327;28327;28327;28327;28327;28327;28327;
2024;Maschi;25;29094;29094;29094;29094;29094;29094;29094;
2024;Maschi;26;28868;28868;28868;28868;28868;28868;28868;
2024;Maschi;27;29151;29151;29151;29151;29151;29151;29151;
2024;Maschi;28;29708;29708;29708;29708;29708;29708;29708;
2024;Maschi;29;29837;29837;29837;29837;29837;29837;29837;
2024;Maschi;30;29929;29929;29929;29929;29929;29929;29929;
2024;Maschi;31;31577;31577;31577;31577;31577;31577;31577;
2024;Maschi;32;31100;31100;31100;31100;31100;31100;31100;
2024;Maschi;33;32410;32410;32410;32410;32410;32410;32410;
2024;Maschi;34;32187;32187;32187;32187;32187;32187;32187;
2024;Maschi;35;33289;33289;33289;33289;33289;33289;33289;
2024;Maschi;36;32810;32810;32810;32810;32810;32810;32810;
2024;Maschi;37;32908;32908;32908;32908;32908;32908;32908;
2024;Maschi;38;34271;34271;34271;34271;34271;34271;34271;
2024;Maschi;39;35409;35409;35409;35409;35409;35409;35409;
2024;Maschi;40;36099;36099;36099;36099;36099;36099;36099;
2024;Maschi;41;37310;37310;37310;37310;37310;37310;37310;
2024;Maschi;42;37246;37246;37246;37246;37246;37246;37246;
2024;Maschi;43;37870;37870;37870;37870;37870;37870;37870;
2024;Maschi;44;38953;38953;38953;38953;38953;38953;38953;
2024;Maschi;45;40889;40889;40889;40889;40889;40889;40889;
2024;Maschi;46;41582;41582;41582;41582;41582;41582;41582;
2024;Maschi;47;42997;42997;42997;42997;42997;42997;42997;
2024;Maschi;48;45199;45199;45199;45199;45199;45199;45199;
2024;Maschi;49;46679;46679;46679;46679;46679;46679;46679;
2024;Maschi;50;46525;46525;46525;46525;46525;46525;46525;
2024;Maschi;51;46953;46953;46953;46953;46953;46953;46953;
2024;Maschi;52;46835;46835;46835;46835;46835;46835;46835;
2024;Maschi;53;46664;46664;46664;46664;46664;46664;46664;
2024;Maschi;54;47099;47099;47099;47099;47099;47099;47099;
2024;Maschi;55;46346;46346;46346;46346;46346;46346;46346;
2024;Maschi;56;46252;46252;46252;46252;46252;46252;46252;
2024;Maschi;57;46828;46828;46828;46828;46828;46828;46828;
2024;Maschi;58;46540;46540;46540;46540;46540;46540;46540;
2024;Maschi;59;46929;46929;46929;46929;46929;46929;46929;
2024;Maschi;60;43605;43605;43605;43605;43605;43605;43605;
2024;Maschi;61;41541;41541;41541;41541;41541;41541;41541;
2024;Maschi;62;40111;40111;40111;40111;40111;40111;40111;
2024;Maschi;63;38079;38079;38079;38079;38079;38079;38079;
2024;Maschi;64;36455;36455;36455;36455;36455;36455;36455;
2024;Maschi;65;34561;34561;34561;34561;34561;34561;34561;
2024;Maschi;66;33669;33669;33669;33669;33669;33669;33669;
2024;Maschi;67;32846;32846;32846;32846;32846;32846;32846;
2024;Maschi;68;32000;32000;32000;32000;32000;32000;32000;
2024;Maschi;69;30922;30922;30922;30922;30922;30922;30922;
2024;Maschi;70;28876;28876;28876;28876;28876;28876;28876;
2024;Maschi;71;27793;27793;27793;27793;27793;27793;27793;
2024;Maschi;72;27089;27089;27089;27089;27089;27089;27089;
2024;Maschi;73;27507;27507;27507;27507;27507;27507;27507;
2024;Maschi;74;27077;27077;27077;27077;27077;27077;27077;
2024;Maschi;75;27782;27782;27782;27782;27782;27782;27782;
2024;Maschi;76;27223;27223;27223;27223;27223;27223;27223;
2024;Maschi;77;25344;25344;25344;25344;25344;25344;25344;
2024;Maschi;78;19141;19141;19141;19141;19141;19141;19141;
2024;Maschi;79;18734;18734;18734;18734;18734;18734;18734;
2024;Maschi;80;18659;18659;18659;18659;18659;18659;18659;
2024;Maschi;81;17414;17414;17414;17414;17414;17414;17414;
2024;Maschi;82;16885;16885;16885;16885;16885;16885;16885;
2024;Maschi;83;17397;17397;17397;17397;17397;17397;17397;
2024;Maschi;84;15847;15847;15847;15847;15847;15847;15847;
2024;Maschi;85;13974;13974;13974;13974;13974;13974;13974;
2024;Maschi;86;11895;11895;11895;11895;11895;11895;11895;
2024;Maschi;87;9866;9866;9866;9866;9866;9866;9866;
2024;Maschi;88;9008;9008;9008;9008;9008;9008;9008;
2024;Maschi;89;7276;7276;7276;7276;7276;7276;7276;
2024;Maschi;90;5750;5750;5750;5750;5750;5750;5750;
2024;Maschi;91;4574;4574;4574;4574;4574;4574;4574;
2024;Maschi;92;3687;3687;3687;3687;3687;3687;3687;
2024;Maschi;93;2928;2928;2928;2928;2928;2928;2928;
2024;Maschi;94;1969;1969;1969;1969;1969;1969;1969;
2024;Maschi;95;1301;1301;1301;1301;1301;1301;1301;
2024;Maschi;96;910;910;910;910;910;910;910;
2024;Maschi;97;622;622;622;622;622;622;622;
2024;Maschi;98;347;347;347;347;347;347;347;
2024;Maschi;99;274;274;274;274;274;274;274;
2024;Maschi;100;164;164;164;164;164;164;164;
2024;Maschi;101;100;100;100;100;100;100;100;
2024;Maschi;102;58;58;58;58;58;58;58;
2024;Maschi;103;32;32;32;32;32;32;32;
2024;Maschi;104;16;16;16;16;16;16;16;
2024;Maschi;105;8;8;8;8;8;8;8;
2024;Maschi;106;3;3;3;3;3;3;3;
2024;Maschi;107;1;1;1;1;1;1;1;
2024;Maschi;108;1;1;1;1;1;1;1;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;2770662;2770662;2770662;2770662;2770662;2770662;2770662;
2024;Femmine;0;16785;16785;16785;16785;16785;16785;16785;
2024;Femmine;1;17964;17964;17964;17964;17964;17964;17964;
2024;Femmine;2;18836;18836;18836;18836;18836;18836;18836;
2024;Femmine;3;19189;19189;19189;19189;19189;19189;19189;
2024;Femmine;4;19951;19951;19951;19951;19951;19951;19951;
2024;Femmine;5;21312;21312;21312;21312;21312;21312;21312;
2024;Femmine;6;22111;22111;22111;22111;22111;22111;22111;
2024;Femmine;7;23283;23283;23283;23283;23283;23283;23283;
2024;Femmine;8;24066;24066;24066;24066;24066;24066;24066;
2024;Femmine;9;24518;24518;24518;24518;24518;24518;24518;
2024;Femmine;10;24961;24961;24961;24961;24961;24961;24961;
2024;Femmine;11;26487;26487;26487;26487;26487;26487;26487;
2024;Femmine;12;26518;26518;26518;26518;26518;26518;26518;
2024;Femmine;13;27012;27012;27012;27012;27012;27012;27012;
2024;Femmine;14;26982;26982;26982;26982;26982;26982;26982;
2024;Femmine;15;27669;27669;27669;27669;27669;27669;27669;
2024;Femmine;16;27331;27331;27331;27331;27331;27331;27331;
2024;Femmine;17;27357;27357;27357;27357;27357;27357;27357;
2024;Femmine;18;26426;26426;26426;26426;26426;26426;26426;
2024;Femmine;19;26684;26684;26684;26684;26684;26684;26684;
2024;Femmine;20;26114;26114;26114;26114;26114;26114;26114;
2024;Femmine;21;25651;25651;25651;25651;25651;25651;25651;
2024;Femmine;22;25724;25724;25724;25724;25724;25724;25724;
2024;Femmine;23;26038;26038;26038;26038;26038;26038;26038;
2024;Femmine;24;25722;25722;25722;25722;25722;25722;25722;
2024;Femmine;25;26104;26104;26104;26104;26104;26104;26104;
