"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Liguria"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;4337;4337;4337;4337;4337;4337;4337;
2024;Maschi;1;4481;4481;4481;4481;4481;4481;4481;
2024;Maschi;2;4544;4544;4544;4544;4544;4544;4544;
2024;Maschi;3;4680;4680;4680;4680;4680;4680;4680;
2024;Maschi;4;4753;4753;4753;4753;4753;4753;4753;
2024;Maschi;5;4942;4942;4942;4942;4942;4942;4942;
2024;Maschi;6;5359;5359;5359;5359;5359;5359;5359;
2024;Maschi;7;5448;5448;5448;5448;5448;5448;5448;
2024;Maschi;8;5572;5572;5572;5572;5572;5572;5572;
2024;Maschi;9;5934;5934;5934;5934;5934;5934;5934;
2024;Maschi;10;5988;5988;5988;5988;5988;5988;5988;
2024;Maschi;11;6237;6237;6237;6237;6237;6237;6237;
2024;Maschi;12;6179;6179;6179;6179;6179;6179;6179;
2024;Maschi;13;6354;6354;6354;6354;6354;6354;6354;
2024;Maschi;14;6592;6592;6592;6592;6592;6592;6592;
2024;Maschi;15;6777;6777;6777;6777;6777;6777;6777;
2024;Maschi;16;6884;6884;6884;6884;6884;6884;6884;
2024;Maschi;17;6827;6827;6827;6827;6827;6827;6827;
2024;Maschi;18;7027;7027;7027;7027;7027;7027;7027;
2024;Maschi;19;7092;7092;7092;7092;7092;7092;7092;
2024;Maschi;20;7010;7010;7010;7010;7010;7010;7010;
2024;Maschi;21;7108;7108;7108;7108;7108;7108;7108;
2024;Maschi;22;7139;7139;7139;7139;7139;7139;7139;
2024;Maschi;23;7371;7371;7371;7371;7371;7371;7371;
2024;Maschi;24;7541;7541;7541;7541;7541;7541;7541;
2024;Maschi;25;7686;7686;7686;7686;7686;7686;7686;
2024;Maschi;26;7514;7514;7514;7514;7514;7514;7514;
2024;Maschi;27;7797;7797;7797;7797;7797;7797;7797;
2024;Maschi;28;7444;7444;7444;7444;7444;7444;7444;
2024;Maschi;29;7381;7381;7381;7381;7381;7381;7381;
2024;Maschi;30;7546;7546;7546;7546;7546;7546;7546;
2024;Maschi;31;7829;7829;7829;7829;7829;7829;7829;
2024;Maschi;32;7639;7639;7639;7639;7639;7639;7639;
2024;Maschi;33;7749;7749;7749;7749;7749;7749;7749;
2024;Maschi;34;7596;7596;7596;7596;7596;7596;7596;
2024;Maschi;35;7801;7801;7801;7801;7801;7801;7801;
2024;Maschi;36;7833;7833;7833;7833;7833;7833;7833;
2024;Maschi;37;7600;7600;7600;7600;7600;7600;7600;
2024;Maschi;38;7817;7817;7817;7817;7817;7817;7817;
2024;Maschi;39;7852;7852;7852;7852;7852;7852;7852;
2024;Maschi;40;8053;8053;8053;8053;8053;8053;8053;
2024;Maschi;41;8030;8030;8030;8030;8030;8030;8030;
2024;Maschi;42;8193;8193;8193;8193;8193;8193;8193;
2024;Maschi;43;8105;8105;8105;8105;8105;8105;8105;
2024;Maschi;44;8305;8305;8305;8305;8305;8305;8305;
