"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Lombardia"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;33981;33981;33981;33981;33981;33981;33981;
2024;Maschi;1;35366;35366;35366;35366;35366;35366;35366;
2024;Maschi;2;36168;36168;36168;36168;36168;36168;36168;
2024;Maschi;3;36554;36554;36554;36554;36554;36554;36554;
2024;Maschi;4;38537;38537;38537;38537;38537;38537;38537;
2024;Maschi;5;40446;40446;40446;40446;40446;40446;40446;
2024;Maschi;6;42212;42212;42212;42212;42212;42212;42212;
2024;Maschi;7;43225;43225;43225;43225;43225;43225;43225;
2024;Maschi;8;45181;45181;45181;45181;45181;45181;45181;
2024;Maschi;9;45904;45904;45904;45904;45904;45904;45904;
2024;Maschi;10;46934;46934;46934;46934;46934;46934;46934;
2024;Maschi;11;48275;48275;48275;48275;48275;48275;48275;
2024;Maschi;12;49345;49345;49345;49345;49345;49345;49345;
2024;Maschi;13;51022;51022;51022;51022;51022;51022;51022;
2024;Maschi;14;51804;51804;51804;51804;51804;51804;51804;
2024;Maschi;15;52067;52067;52067;52067;52067;52067;52067;
2024;Maschi;16;51537;51537;51537;51537;51537;51537;51537;
2024;Maschi;17;52109;52109;52109;52109;52109;52109;52109;
2024;Maschi;18;51415;51415;51415;51415;51415;51415;51415;
2024;Maschi;19;52222;52222;52222;52222;52222;52222;52222;
2024;Maschi;20;51625;51625;51625;51625;51625;51625;51625;
2024;Maschi;21;51422;51422;51422;51422;51422;51422;51422;
2024;Maschi;22;52145;52145;52145;52145;52145;52145;52145;
2024;Maschi;23;53699;53699;53699;53699;53699;53699;53699;
2024;Maschi;24;53518;53518;53518;53518;53518;53518;53518;
2024;Maschi;25;54795;54795;54795;54795;54795;54795;54795;
2024;Maschi;26;54523;54523;54523;54523;54523;54523;54523;
2024;Maschi;27;54332;54332;54332;54332;54332;54332;54332;
2024;Maschi;28;53991;53991;53991;53991;53991;53991;53991;
2024;Maschi;29;54489;54489;54489;54489;54489;54489;54489;
2024;Maschi;30;55045;55045;55045;55045;55045;55045;55045;
2024;Maschi;31;57050;57050;57050;57050;57050;57050;57050;
2024;Maschi;32;56700;56700;56700;56700;56700;56700;56700;
2024;Maschi;33;57942;57942;57942;57942;57942;57942;57942;
2024;Maschi;34;57733;57733;57733;57733;57733;57733;57733;
2024;Maschi;35;59658;59658;59658;59658;59658;59658;59658;
2024;Maschi;36;57923;57923;57923;57923;57923;57923;57923;
2024;Maschi;37;57885;57885;57885;57885;57885;57885;57885;
2024;Maschi;38;59358;59358;59358;59358;59358;59358;59358;
2024;Maschi;39;60511;60511;60511;60511;60511;60511;60511;
2024;Maschi;40;61632;61632;61632;61632;61632;61632;61632;
2024;Maschi;41;63845;63845;63845;63845;63845;63845;63845;
2024;Maschi;42;63953;63953;63953;63953;63953;63953;63953;
2024;Maschi;43;64983;64983;64983;64983;64983;64983;64983;
2024;Maschi;44;66419;66419;66419;66419;66419;66419;66419;
2024;Maschi;45;70313;70313;70313;70313;70313;70313;70313;
2024;Maschi;46;73160;73160;73160;73160;73160;73160;73160;
2024;Maschi;47;75678;75678;75678;75678;75678;75678;75678;
2024;Maschi;48;80570;80570;80570;80570;80570;80570;80570;
2024;Maschi;49;83107;83107;83107;83107;83107;83107;83107;
2024;Maschi;50;82376;82376;82376;82376;82376;82376;82376;
2024;Maschi;51;83257;83257;83257;83257;83257;83257;83257;
2024;Maschi;52;83486;83486;83486;83486;83486;83486;83486;
2024;Maschi;53;82385;82385;82385;82385;82385;82385;82385;
2024;Maschi;54;83909;83909;83909;83909;83909;83909;83909;
2024;Maschi;55;83534;83534;83534;83534;83534;83534;83534;
2024;Maschi;56;82610;82610;82610;82610;82610;82610;82610;
2024;Maschi;57;84228;84228;84228;84228;84228;84228;84228;
2024;Maschi;58;82871;82871;82871;82871;82871;82871;82871;
2024;Maschi;59;82165;82165;82165;82165;82165;82165;82165;
2024;Maschi;60;75670;75670;75670;75670;75670;75670;75670;
2024;Maschi;61;71136;71136;71136;71136;71136;71136;71136;
2024;Maschi;62;68573;68573;68573;68573;68573;68573;68573;
2024;Maschi;63;65606;65606;65606;65606;65606;65606;65606;
2024;Maschi;64;62801;62801;62801;62801;62801;62801;62801;
2024;Maschi;65;59526;59526;59526;59526;59526;59526;59526;
2024;Maschi;66;57783;57783;57783;57783;57783;57783;57783;
2024;Maschi;67;56456;56456;56456;56456;56456;56456;56456;
2024;Maschi;68;53627;53627;53627;53627;53627;53627;53627;
2024;Maschi;69;52535;52535;52535;52535;52535;52535;52535;
2024;Maschi;70;50349;50349;50349;50349;50349;50349;50349;
2024;Maschi;71;49313;49313;49313;49313;49313;49313;49313;
2024;Maschi;72;48051;48051;48051;48051;48051;48051;48051;
2024;Maschi;73;49600;49600;49600;49600;49600;49600;49600;
2024;Maschi;74;49258;49258;49258;49258;49258;49258;49258;
2024;Maschi;75;50139;50139;50139;50139;50139;50139;50139;
2024;Maschi;76;47472;47472;47472;47472;47472;47472;47472;
2024;Maschi;77;47698;47698;47698;47698;47698;47698;47698;
2024;Maschi;78;34018;34018;34018;34018;34018;34018;34018;
2024;Maschi;79;35056;35056;35056;35056;35056;35056;35056;
2024;Maschi;80;33042;33042;33042;33042;33042;33042;33042;
2024;Maschi;81;32371;32371;32371;32371;32371;32371;32371;
2024;Maschi;82;31245;31245;31245;31245;31245;31245;31245;
2024;Maschi;83;32381;32381;32381;32381;32381;32381;32381;
2024;Maschi;84;29789;29789;29789;29789;29789;29789;29789;
2024;Maschi;85;26512;26512;26512;26512;26512;26512;26512;
2024;Maschi;86;21567;21567;21567;21567;21567;21567;21567;
2024;Maschi;87;17382;17382;17382;17382;17382;17382;17382;
2024;Maschi;88;15430;15430;15430;15430;15430;15430;15430;
2024;Maschi;89;12367;12367;12367;12367;12367;12367;12367;
2024;Maschi;90;9788;9788;9788;9788;9788;9788;9788;
2024;Maschi;91;7833;7833;7833;7833;7833;7833;7833;
2024;Maschi;92;5993;5993;5993;5993;5993;5993;5993;
2024;Maschi;93;4608;4608;4608;4608;4608;4608;4608;
2024;Maschi;94;3098;3098;3098;3098;3098;3098;3098;
2024;Maschi;95;2126;2126;2126;2126;2126;2126;2126;
2024;Maschi;96;1435;1435;1435;1435;1435;1435;1435;
2024;Maschi;97;931;931;931;931;931;931;931;
2024;Maschi;98;581;581;581;581;581;581;581;
2024;Maschi;99;287;287;287;287;287;287;287;
2024;Maschi;100;189;189;189;189;189;189;189;
2024;Maschi;101;115;115;115;115;115;115;115;
2024;Maschi;102;67;67;67;67;67;67;67;
2024;Maschi;103;36;36;36;36;36;36;36;
2024;Maschi;104;19;19;19;19;19;19;19;
2024;Maschi;105;9;9;9;9;9;9;9;
2024;Maschi;106;4;4;4;4;4;4;4;
2024;Maschi;107;2;2;2;2;2;2;2;
2024;Maschi;108;1;1;1;1;1;1;1;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;4927003;4927003;4927003;4927003;4927003;4927003;4927003;
2024;Femmine;0;31897;31897;31897;31897;31897;31897;31897;
2024;Femmine;1;33055;33055;33055;33055;33055;33055;33055;
2024;Femmine;2;34359;34359;34359;34359;34359;34359;34359;
2024;Femmine;3;34624;34624;34624;34624;34624;34624;34624;
2024;Femmine;4;36920;36920;36920;36920;36920;36920;36920;
2024;Femmine;5;38041;38041;38041;38041;38041;38041;38041;
