"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Marche"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;4506;4506;4506;4506;4506;4506;4506;
2024;Maschi;1;4556;4556;4556;4556;4556;4556;4556;
2024;Maschi;2;4776;4776;4776;4776;4776;4776;4776;
2024;Maschi;3;5033;5033;5033;5033;5033;5033;5033;
2024;Maschi;4;5198;5198;5198;5198;5198;5198;5198;
2024;Maschi;5;5337;5337;5337;5337;5337;5337;5337;
2024;Maschi;6;5625;5625;5625;5625;5625;5625;5625;
2024;Maschi;7;6058;6058;6058;6058;6058;6058;6058;
2024;Maschi;8;6126;6126;6126;6126;6126;6126;6126;
2024;Maschi;9;6393;6393;6393;6393;6393;6393;6393;
2024;Maschi;10;6638;6638;6638;6638;6638;6638;6638;
2024;Maschi;11;6648;6648;6648;6648;6648;6648;6648;
2024;Maschi;12;6925;6925;6925;6925;6925;6925;6925;
2024;Maschi;13;7094;7094;7094;7094;7094;7094;7094;
2024;Maschi;14;7292;7292;7292;7292;7292;7292;7292;
2024;Maschi;15;7394;7394;7394;7394;7394;7394;7394;
2024;Maschi;16;7335;7335;7335;7335;7335;7335;7335;
2024;Maschi;17;7212;7212;7212;7212;7212;7212;7212;
2024;Maschi;18;7335;7335;7335;7335;7335;7335;7335;
2024;Maschi;19;7604;7604;7604;7604;7604;7604;7604;
2024;Maschi;20;7359;7359;7359;7359;7359;7359;7359;
2024;Maschi;21;7551;7551;7551;7551;7551;7551;7551;
2024;Maschi;22;7408;7408;7408;7408;7408;7408;7408;
2024;Maschi;23;7902;7902;7902;7902;7902;7902;7902;
2024;Maschi;24;7806;7806;7806;7806;7806;7806;7806;
2024;Maschi;25;8037;8037;8037;8037;8037;8037;8037;
2024;Maschi;26;7791;7791;7791;7791;7791;7791;7791;
2024;Maschi;27;7768;7768;7768;7768;7768;7768;7768;
2024;Maschi;28;7730;7730;7730;7730;7730;7730;7730;
2024;Maschi;29;7578;7578;7578;7578;7578;7578;7578;
2024;Maschi;30;7606;7606;7606;7606;7606;7606;7606;
2024;Maschi;31;7989;7989;7989;7989;7989;7989;7989;
2024;Maschi;32;7888;7888;7888;7888;7888;7888;7888;
2024;Maschi;33;8014;8014;8014;8014;8014;8014;8014;
2024;Maschi;34;7848;7848;7848;7848;7848;7848;7848;
2024;Maschi;35;8001;8001;8001;8001;8001;8001;8001;
2024;Maschi;36;7920;7920;7920;7920;7920;7920;7920;
2024;Maschi;37;8151;8151;8151;8151;8151;8151;8151;
2024;Maschi;38;8196;8196;8196;8196;8196;8196;8196;
2024;Maschi;39;8427;8427;8427;8427;8427;8427;8427;
2024;Maschi;40;8660;8660;8660;8660;8660;8660;8660;
2024;Maschi;41;9054;9054;9054;9054;9054;9054;9054;
2024;Maschi;42;9053;9053;9053;9053;9053;9053;9053;
2024;Maschi;43;9480;9480;9480;9480;9480;9480;9480;
2024;Maschi;44;9683;9683;9683;9683;9683;9683;9683;
2024;Maschi;45;10397;10397;10397;10397;10397;10397;10397;
2024;Maschi;46;10509;10509;10509;10509;10509;10509;10509;
2024;Maschi;47;10970;10970;10970;10970;10970;10970;10970;
2024;Maschi;48;11396;11396;11396;11396;11396;11396;11396;
2024;Maschi;49;11817;11817;11817;11817;11817;11817;11817;
2024;Maschi;50;11519;11519;11519;11519;11519;11519;11519;
2024;Maschi;51;11642;11642;11642;11642;11642;11642;11642;
2024;Maschi;52;11904;11904;11904;11904;11904;11904;11904;
2024;Maschi;53;11614;11614;11614;11614;11614;11614;11614;
2024;Maschi;54;11792;11792;11792;11792;11792;11792;11792;
2024;Maschi;55;11767;11767;11767;11767;11767;11767;11767;
2024;Maschi;56;11666;11666;11666;11666;11666;11666;11666;
2024;Maschi;57;11799;11799;11799;11799;11799;11799;11799;
2024;Maschi;58;11774;11774;11774;11774;11774;11774;11774;
2024;Maschi;59;12107;12107;12107;12107;12107;12107;12107;
2024;Maschi;60;11262;11262;11262;11262;11262;11262;11262;
2024;Maschi;61;10911;10911;10911;10911;10911;10911;10911;
2024;Maschi;62;10844;10844;10844;10844;10844;10844;10844;
2024;Maschi;63;10368;10368;10368;10368;10368;10368;10368;
2024;Maschi;64;9946;9946;9946;9946;9946;9946;9946;
2024;Maschi;65;9657;9657;9657;9657;9657;9657;9657;
2024;Maschi;66;9286;9286;9286;9286;9286;9286;9286;
2024;Maschi;67;9283;9283;9283;9283;9283;9283;9283;
2024;Maschi;68;8827;8827;8827;8827;8827;8827;8827;
2024;Maschi;69;8617;8617;8617;8617;8617;8617;8617;
2024;Maschi;70;8281;8281;8281;8281;8281;8281;8281;
2024;Maschi;71;8277;8277;8277;8277;8277;8277;8277;
2024;Maschi;72;8163;8163;8163;8163;8163;8163;8163;
2024;Maschi;73;8264;8264;8264;8264;8264;8264;8264;
2024;Maschi;74;7895;7895;7895;7895;7895;7895;7895;
2024;Maschi;75;8003;8003;8003;8003;8003;8003;8003;
2024;Maschi;76;7621;7621;7621;7621;7621;7621;7621;
2024;Maschi;77;7288;7288;7288;7288;7288;7288;7288;
2024;Maschi;78;5939;5939;5939;5939;5939;5939;5939;
2024;Maschi;79;5513;5513;5513;5513;5513;5513;5513;
2024;Maschi;80;5660;5660;5660;5660;5660;5660;5660;
2024;Maschi;81;5120;5120;5120;5120;5120;5120;5120;
2024;Maschi;82;4842;4842;4842;4842;4842;4842;4842;
2024;Maschi;83;5234;5234;5234;5234;5234;5234;5234;
2024;Maschi;84;5150;5150;5150;5150;5150;5150;5150;
2024;Maschi;85;4721;4721;4721;4721;4721;4721;4721;
2024;Maschi;86;4024;4024;4024;4024;4024;4024;4024;
2024;Maschi;87;3211;3211;3211;3211;3211;3211;3211;
2024;Maschi;88;2980;2980;2980;2980;2980;2980;2980;
2024;Maschi;89;2490;2490;2490;2490;2490;2490;2490;
2024;Maschi;90;1979;1979;1979;1979;1979;1979;1979;
2024;Maschi;91;1483;1483;1483;1483;1483;1483;1483;
2024;Maschi;92;1239;1239;1239;1239;1239;1239;1239;
2024;Maschi;93;909;909;909;909;909;909;909;
2024;Maschi;94;657;657;657;657;657;657;657;
2024;Maschi;95;501;501;501;501;501;501;501;
2024;Maschi;96;333;333;333;333;333;333;333;
2024;Maschi;97;178;178;178;178;178;178;178;
2024;Maschi;98;125;125;125;125;125;125;125;
2024;Maschi;99;77;77;77;77;77;77;77;
2024;Maschi;100;38;38;38;38;38;38;38;
2024;Maschi;101;24;24;24;24;24;24;24;
2024;Maschi;102;14;14;14;14;14;14;14;
2024;Maschi;103;7;7;7;7;7;7;7;
2024;Maschi;104;4;4;4;4;4;4;4;
2024;Maschi;105;2;2;2;2;2;2;2;
2024;Maschi;106;1;1;1;1;1;1;1;
2024;Maschi;107;0;0;0;0;0;0;0;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;725906;725906;725906;725906;725906;725906;725906;
2024;Femmine;0;4304;4304;4304;4304;4304;4304;4304;
2024;Femmine;1;4332;4332;4332;4332;4332;4332;4332;
2024;Femmine;2;4705;4705;4705;4705;4705;4705;4705;
2024;Femmine;3;4723;4723;4723;4723;4723;4723;4723;
2024;Femmine;4;4785;4785;4785;4785;4785;4785;4785;
2024;Femmine;5;5081;5081;5081;5081;5081;5081;5081;
2024;Femmine;6;5360;5360;5360;5360;5360;5360;5360;
2024;Femmine;7;5625;5625;5625;5625;5625;5625;5625;
2024;Femmine;8;5939;5939;5939;5939;5939;5939;5939;
2024;Femmine;9;5981;5981;5981;5981;5981;5981;5981;
2024;Femmine;10;6121;6121;6121;6121;6121;6121;6121;
2024;Femmine;11;6325;6325;6325;6325;6325;6325;6325;
2024;Femmine;12;6685;6685;6685;6685;6685;6685;6685;
2024;Femmine;13;6686;6686;6686;6686;6686;6686;6686;
2024;Femmine;14;6883;6883;6883;6883;6883;6883;6883;
2024;Femmine;15;6877;6877;6877;6877;6877;6877;6877;
2024;Femmine;16;6826;6826;6826;6826;6826;6826;6826;
2024;Femmine;17;6743;6743;6743;6743;6743;6743;6743;
2024;Femmine;18;6763;6763;6763;6763;6763;6763;6763;
2024;Femmine;19;6697;6697;6697;6697;6697;6697;6697;
2024;Femmine;20;6709;6709;6709;6709;6709;6709;6709;
