"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Molise"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;858;858;858;858;858;858;858;
2024;Maschi;1;863;863;863;863;863;863;863;
2024;Maschi;2;843;843;843;843;843;843;843;
2024;Maschi;3;932;932;932;932;932;932;932;
2024;Maschi;4;982;982;982;982;982;982;982;
2024;Maschi;5;972;972;972;972;972;972;972;
2024;Maschi;6;1075;1075;1075;1075;1075;1075;1075;
2024;Maschi;7;1046;1046;1046;1046;1046;1046;1046;
2024;Maschi;8;1118;1118;1118;1118;1118;1118;1118;
2024;Maschi;9;1163;1163;1163;1163;1163;1163;1163;
2024;Maschi;10;1142;1142;1142;1142;1142;1142;1142;
2024;Maschi;11;1189;1189;1189;1189;1189;1189;1189;
2024;Maschi;12;1173;1173;1173;1173;1173;1173;1173;
2024;Maschi;13;1289;1289;1289;1289;1289;1289;1289;
2024;Maschi;14;1196;1196;1196;1196;1196;1196;1196;
2024;Maschi;15;1322;1322;1322;1322;1322;1322;1322;
2024;Maschi;16;1312;1312;1312;1312;1312;1312;1312;
2024;Maschi;17;1335;1335;1335;1335;1335;1335;1335;
2024;Maschi;18;1431;1431;1431;1431;1431;1431;1431;
2024;Maschi;19;1482;1482;1482;1482;1482;1482;1482;
2024;Maschi;20;1471;1471;1471;1471;1471;1471;1471;
2024;Maschi;21;1486;1486;1486;1486;1486;1486;1486;
2024;Maschi;22;1486;1486;1486;1486;1486;1486;1486;
2024;Maschi;23;1534;1534;1534;1534;1534;1534;1534;
2024;Maschi;24;1671;1671;1671;1671;1671;1671;1671;
2024;Maschi;25;1701;1701;1701;1701;1701;1701;1701;
2024;Maschi;26;1651;1651;1651;1651;1651;1651;1651;
2024;Maschi;27;1558;1558;1558;1558;1558;1558;1558;
2024;Maschi;28;1579;1579;1579;1579;1579;1579;1579;
2024;Maschi;29;1651;1651;1651;1651;1651;1651;1651;
2024;Maschi;30;1662;1662;1662;1662;1662;1662;1662;
2024;Maschi;31;1714;1714;1714;1714;1714;1714;1714;
2024;Maschi;32;1702;1702;1702;1702;1702;1702;1702;
2024;Maschi;33;1684;1684;1684;1684;1684;1684;1684;
2024;Maschi;34;1637;1637;1637;1637;1637;1637;1637;
2024;Maschi;35;1712;1712;1712;1712;1712;1712;1712;
2024;Maschi;36;1726;1726;1726;1726;1726;1726;1726;
2024;Maschi;37;1683;1683;1683;1683;1683;1683;1683;
2024;Maschi;38;1702;1702;1702;1702;1702;1702;1702;
2024;Maschi;39;1728;1728;1728;1728;1728;1728;1728;
2024;Maschi;40;1740;1740;1740;1740;1740;1740;1740;
2024;Maschi;41;1769;1769;1769;1769;1769;1769;1769;
2024;Maschi;42;1773;1773;1773;1773;1773;1773;1773;
2024;Maschi;43;1775;1775;1775;1775;1775;1775;1775;
2024;Maschi;44;1883;1883;1883;1883;1883;1883;1883;
2024;Maschi;45;1912;1912;1912;1912;1912;1912;1912;
2024;Maschi;46;1953;1953;1953;1953;1953;1953;1953;
2024;Maschi;47;2109;2109;2109;2109;2109;2109;2109;
2024;Maschi;48;2212;2212;2212;2212;2212;2212;2212;
2024;Maschi;49;2259;2259;2259;2259;2259;2259;2259;
2024;Maschi;50;2119;2119;2119;2119;2119;2119;2119;
2024;Maschi;51;2173;2173;2173;2173;2173;2173;2173;
2024;Maschi;52;2173;2173;2173;2173;2173;2173;2173;
2024;Maschi;53;2185;2185;2185;2185;2185;2185;2185;
2024;Maschi;54;2255;2255;2255;2255;2255;2255;2255;
2024;Maschi;55;2286;2286;2286;2286;2286;2286;2286;
2024;Maschi;56;2300;2300;2300;2300;2300;2300;2300;
2024;Maschi;57;2357;2357;2357;2357;2357;2357;2357;
2024;Maschi;58;2400;2400;2400;2400;2400;2400;2400;
2024;Maschi;59;2475;2475;2475;2475;2475;2475;2475;
2024;Maschi;60;2305;2305;2305;2305;2305;2305;2305;
2024;Maschi;61;2190;2190;2190;2190;2190;2190;2190;
2024;Maschi;62;2231;2231;2231;2231;2231;2231;2231;
2024;Maschi;63;2226;2226;2226;2226;2226;2226;2226;
2024;Maschi;64;2080;2080;2080;2080;2080;2080;2080;
2024;Maschi;65;1917;1917;1917;1917;1917;1917;1917;
2024;Maschi;66;1992;1992;1992;1992;1992;1992;1992;
2024;Maschi;67;2010;2010;2010;2010;2010;2010;2010;
2024;Maschi;68;1921;1921;1921;1921;1921;1921;1921;
2024;Maschi;69;1902;1902;1902;1902;1902;1902;1902;
2024;Maschi;70;1754;1754;1754;1754;1754;1754;1754;
2024;Maschi;71;1790;1790;1790;1790;1790;1790;1790;
2024;Maschi;72;1656;1656;1656;1656;1656;1656;1656;
2024;Maschi;73;1726;1726;1726;1726;1726;1726;1726;
2024;Maschi;74;1792;1792;1792;1792;1792;1792;1792;
2024;Maschi;75;1700;1700;1700;1700;1700;1700;1700;
2024;Maschi;76;1564;1564;1564;1564;1564;1564;1564;
2024;Maschi;77;1499;1499;1499;1499;1499;1499;1499;
2024;Maschi;78;1085;1085;1085;1085;1085;1085;1085;
2024;Maschi;79;1028;1028;1028;1028;1028;1028;1028;
2024;Maschi;80;924;924;924;924;924;924;924;
2024;Maschi;81;891;891;891;891;891;891;891;
2024;Maschi;82;891;891;891;891;891;891;891;
2024;Maschi;83;983;983;983;983;983;983;983;
2024;Maschi;84;949;949;949;949;949;949;949;
2024;Maschi;85;798;798;798;798;798;798;798;
2024;Maschi;86;709;709;709;709;709;709;709;
2024;Maschi;87;630;630;630;630;630;630;630;
2024;Maschi;88;554;554;554;554;554;554;554;
2024;Maschi;89;494;494;494;494;494;494;494;
2024;Maschi;90;389;389;389;389;389;389;389;
2024;Maschi;91;292;292;292;292;292;292;292;
2024;Maschi;92;238;238;238;238;238;238;238;
2024;Maschi;93;193;193;193;193;193;193;193;
2024;Maschi;94;147;147;147;147;147;147;147;
2024;Maschi;95;95;95;95;95;95;95;95;
2024;Maschi;96;65;65;65;65;65;65;65;
2024;Maschi;97;46;46;46;46;46;46;46;
2024;Maschi;98;26;26;26;26;26;26;26;
2024;Maschi;99;16;16;16;16;16;16;16;
2024;Maschi;100;16;16;16;16;16;16;16;
2024;Maschi;101;10;10;10;10;10;10;10;
2024;Maschi;102;6;6;6;6;6;6;6;
2024;Maschi;103;3;3;3;3;3;3;3;
2024;Maschi;104;2;2;2;2;2;2;2;
2024;Maschi;105;1;1;1;1;1;1;1;
2024;Maschi;106;0;0;0;0;0;0;0;
2024;Maschi;107;0;0;0;0;0;0;0;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;143304;143304;143304;143304;143304;143304;143304;
2024;Femmine;0;789;789;789;789;789;789;789;
2024;Femmine;1;814;814;814;814;814;814;814;
2024;Femmine;2;832;832;832;832;832;832;832;
2024;Femmine;3;804;804;804;804;804;804;804;
2024;Femmine;4;940;940;940;940;940;940;940;
2024;Femmine;5;952;952;952;952;952;952;952;
2024;Femmine;6;1007;1007;1007;1007;1007;1007;1007;
2024;Femmine;7;1014;1014;1014;1014;1014;1014;1014;
2024;Femmine;8;1018;1018;1018;1018;1018;1018;1018;
2024;Femmine;9;1008;1008;1008;1008;1008;1008;1008;
2024;Femmine;10;1078;1078;1078;1078;1078;1078;1078;
2024;Femmine;11;1074;1074;1074;1074;1074;1074;1074;
2024;Femmine;12;1160;1160;1160;1160;1160;1160;1160;
2024;Femmine;13;1172;1172;1172;1172;1172;1172;1172;
2024;Femmine;14;1111;1111;1111;1111;1111;1111;1111;
2024;Femmine;15;1170;1170;1170;1170;1170;1170;1170;
2024;Femmine;16;1230;1230;1230;1230;1230;1230;1230;
2024;Femmine;17;1203;1203;1203;1203;1203;1203;1203;
2024;Femmine;18;1234;1234;1234;1234;1234;1234;1234;
2024;Femmine;19;1207;1207;1207;1207;1207;1207;1207;
2024;Femmine;20;1261;1261;1261;1261;1261;1261;1261;
2024;Femmine;21;1322;1322;1322;1322;1322;1322;1322;
2024;Femmine;22;1322;1322;1322;1322;1322;1322;1322;
2024;Femmine;23;1377;1377;1377;1377;1377;1377;1377;
2024;Femmine;24;1395;1395;1395;1395;1395;1395;1395;
2024;Femmine;25;1372;1372;1372;1372;1372;1372;1372;
2024;Femmine;26;1346;1346;1346;1346;1346;1346;1346;
2024;Femmine;27;1397;1397;1397;1397;1397;1397;1397;
2024;Femmine;28;1424;1424;1424;1424;1424;1424;1424;
2024;Femmine;29;1405;1405;1405;1405;1405;1405;1405;
2024;Femmine;30;1460;1460;1460;1460;1460;1460;1460;
2024;Femmine;31;1549;1549;1549;1549;1549;1549;1549;
2024;Femmine;32;1442;1442;1442;1442;1442;1442;1442;
2024;Femmine;33;1519;1519;1519;1519;1519;1519;1519;
2024;Femmine;34;1494;1494;1494;1494;1494;1494;1494;
2024;Femmine;35;1549;1549;1549;1549;1549;1549;1549;
2024;Femmine;36;1489;1489;1489;1489;1489;1489;1489;
2024;Femmine;37;1489;1489;1489;1489;1489;1489;1489;
2024;Femmine;38;1624;1624;1624;1624;1624;1624;1624;
2024;Femmine;39;1582;1582;1582;1582;1582;1582;1582;
2024;Femmine;40;1587;1587;1587;1587;1587;1587;1587;
2024;Femmine;41;1706;1706;1706;1706;1706;1706;1706;
2024;Femmine;42;1732;1732;1732;1732;1732;1732;1732;
2024;Femmine;43;1730;1730;1730;1730;1730;1730;1730;
2024;Femmine;44;1824;1824;1824;1824;1824;1824;1824;
2024;Femmine;45;1895;1895;1895;1895;1895;1895;1895;
2024;Femmine;46;1923;1923;1923;1923;1923;1923;1923;
2024;Femmine;47;1909;1909;1909;1909;1909;1909;1909;
2024;Femmine;48;2113;2113;2113;2113;2113;2113;2113;
2024;Femmine;49;2205;2205;2205;2205;2205;2205;2205;
2024;Femmine;50;2189;2189;2189;2189;2189;2189;2189;
2024;Femmine;51;2217;2217;2217;2217;2217;2217;2217;
2024;Femmine;52;2207;2207;2207;2207;2207;2207;2207;
2024;Femmine;53;2233;2233;2233;2233;2233;2233;2233;
2024;Femmine;54;2366;2366;2366;2366;2366;2366;2366;
2024;Femmine;55;2376;2376;2376;2376;2376;2376;2376;
2024;Femmine;56;2450;2450;2450;2450;2450;2450;2450;
2024;Femmine;57;2477;2477;2477;2477;2477;2477;2477;
2024;Femmine;58;2406;2406;2406;2406;2406;2406;2406;
2024;Femmine;59;2510;2510;2510;2510;2510;2510;2510;
2024;Femmine;60;2284;2284;2284;2284;2284;2284;2284;
2024;Femmine;61;2305;2305;2305;2305;2305;2305;2305;
2024;Femmine;62;2221;2221;2221;2221;2221;2221;2221;
2024;Femmine;63;2326;2326;2326;2326;2326;2326;2326;
2024;Femmine;64;2262;2262;2262;2262;2262;2262;2262;
2024;Femmine;65;2170;2170;2170;2170;2170;2170;2170;
2024;Femmine;66;2078;2078;2078;2078;2078;2078;2078;
2024;Femmine;67;2040;2040;2040;2040;2040;2040;2040;
2024;Femmine;68;2053;2053;2053;2053;2053;2053;2053;
2024;Femmine;69;2084;2084;2084;2084;2084;2084;2084;
2024;Femmine;70;1871;1871;1871;1871;1871;1871;1871;
2024;Femmine;71;1962;1962;1962;1962;1962;1962;1962;
2024;Femmine;72;1778;1778;1778;1778;1778;1778;1778;
2024;Femmine;73;1893;1893;1893;1893;1893;1893;1893;
2024;Femmine;74;1976;1976;1976;1976;1976;1976;1976;
2024;Femmine;75;1881;1881;1881;1881;1881;1881;1881;
2024;Femmine;76;1786;1786;1786;1786;1786;1786;1786;
2024;Femmine;77;1608;1608;1608;1608;1608;1608;1608;
2024;Femmine;78;1281;1281;1281;1281;1281;1281;1281;
2024;Femmine;79;1243;1243;1243;1243;1243;1243;1243;
2024;Femmine;80;1162;1162;1162;1162;1162;1162;1162;
2024;Femmine;81;1096;1096;1096;1096;1096;1096;1096;
2024;Femmine;82;1258;1258;1258;1258;1258;1258;1258;
2024;Femmine;83;1365;1365;1365;1365;1365;1365;1365;
2024;Femmine;84;1430;1430;1430;1430;1430;1430;1430;
2024;Femmine;85;1089;1089;1089;1089;1089;1089;1089;
2024;Femmine;86;1122;1122;1122;1122;1122;1122;1122;
2024;Femmine;87;1086;1086;1086;1086;1086;1086;1086;
2024;Femmine;88;943;943;943;943;943;943;943;
2024;Femmine;89;878;878;878;878;878;878;878;
2024;Femmine;90;767;767;767;767;767;767;767;
2024;Femmine;91;626;626;626;626;626;626;626;
2024;Femmine;92;541;541;541;541;541;541;541;
2024;Femmine;93;453;453;453;453;453;453;453;
2024;Femmine;94;349;349;349;349;349;349;349;
2024;Femmine;95;261;261;261;261;261;261;261;
2024;Femmine;96;220;220;220;220;220;220;220;
2024;Femmine;97;161;161;161;161;161;161;161;
2024;Femmine;98;95;95;95;95;95;95;95;
2024;Femmine;99;82;82;82;82;82;82;82;
2024;Femmine;100;57;57;57;57;57;57;57;
2024;Femmine;101;37;37;37;37;37;37;37;
2024;Femmine;102;23;23;23;23;23;23;23;
2024;Femmine;103;13;13;13;13;13;13;13;
2024;Femmine;104;7;7;7;7;7;7;7;
2024;Femmine;105;4;4;4;4;4;4;4;
2024;Femmine;106;2;2;2;2;2;2;2;
2024;Femmine;107;1;1;1;1;1;1;1;
2024;Femmine;108;0;0;0;0;0;0;0;
2024;Femmine;109;0;0;0;0;0;0;0;
2024;Femmine;110 e oltre;0;0;0;0;0;0;0;
2024;Femmine;Totale;145920;145920;145920;145920;145920;145920;145920;
2024;Totale;0;1647;1647;1647;1647;1647;1647;1647;
2024;Totale;1;1677;1677;1677;1677;1677;1677;1677;
2024;Totale;2;1675;1675;1675;1675;1675;1675;1675;
2024;Totale;3;1736;1736;1736;1736;1736;1736;1736;
2024;Totale;4;1922;1922;1922;1922;1922;1922;1922;
2024;Totale;5;1924;1924;1924;1924;1924;1924;1924;
2024;Totale;6;2082;2082;2082;2082;2082;2082;2082;
2024;Totale;7;2060;2060;2060;2060;2060;2060;2060;
2024;Totale;8;2136;2136;2136;2136;2136;2136;2136;
2024;Totale;9;2171;2171;2171;2171;2171;2171;2171;
2024;Totale;10;2220;2220;2220;2220;2220;2220;2220;
2024;Totale;11;2263;2263;2263;2263;2263;2263;2263;
2024;Totale;12;2333;2333;2333;2333;2333;2333;2333;
2024;Totale;13;2461;2461;2461;2461;2461;2461;2461;
2024;Totale;14;2307;2307;2307;2307;2307;2307;2307;
2024;Totale;15;2492;2492;2492;2492;2492;2492;2492;
2024;Totale;16;2542;2542;2542;2542;2542;2542;2542;
2024;Totale;17;2538;2538;2538;2538;2538;2538;2538;
2024;Totale;18;2665;2665;2665;2665;2665;2665;2665;
2024;Totale;19;2689;2689;2689;2689;2689;2689;2689;
2024;Totale;20;2732;2732;2732;2732;2732;2732;2732;
2024;Totale;21;2808;2808;2808;2808;2808;2808;2808;
2024;Totale;22;2808;2808;2808;2808;2808;2808;2808;
2024;Totale;23;2911;2911;2911;2911;2911;2911;2911;
2024;Totale;24;3066;3066;3066;3066;3066;3066;3066;
2024;Totale;25;3073;3073;3073;3073;3073;3073;3073;
2024;Totale;26;2997;2997;2997;2997;2997;2997;2997;
2024;Totale;27;2955;2955;2955;2955;2955;2955;2955;
2024;Totale;28;3003;3003;3003;3003;3003;3003;3003;
2024;Totale;29;3056;3056;3056;3056;3056;3056;3056;
2024;Totale;30;3122;3122;3122;3122;3122;3122;3122;
2024;Totale;31;3263;3263;3263;3263;3263;3263;3263;
2024;Totale;32;3144;3144;3144;3144;3144;3144;3144;
2024;Totale;33;3203;3203;3203;3203;3203;3203;3203;
2024;Totale;34;3131;3131;3131;3131;3131;3131;3131;
2024;Totale;35;3261;3261;3261;3261;3261;3261;3261;
2024;Totale;36;3215;3215;3215;3215;3215;3215;3215;
2024;Totale;37;3172;3172;3172;3172;3172;3172;3172;
2024;Totale;38;3326;3326;3326;3326;3326;3326;3326;
2024;Totale;39;3310;3310;3310;3310;3310;3310;3310;
2024;Totale;40;3327;3327;3327;3327;3327;3327;3327;
2024;Totale;41;3475;3475;3475;3475;3475;3475;3475;
2024;Totale;42;3505;3505;3505;3505;3505;3505;3505;
2024;Totale;43;3505;3505;3505;3505;3505;3505;3505;
2024;Totale;44;3707;3707;3707;3707;3707;3707;3707;
2024;Totale;45;3807;3807;3807;3807;3807;3807;3807;
2024;Totale;46;3876;3876;3876;3876;3876;3876;3876;
2024;Totale;47;4018;4018;4018;4018;4018;4018;4018;
2024;Totale;48;4325;4325;4325;4325;4325;4325;4325;
2024;Totale;49;4464;4464;4464;4464;4464;4464;4464;
2024;Totale;50;4308;4308;4308;4308;4308;4308;4308;
2024;Totale;51;4390;4390;4390;4390;4390;4390;4390;
2024;Totale;52;4380;4380;4380;4380;4380;4380;4380;
2024;Totale;53;4418;4418;4418;4418;4418;4418;4418;
2024;Totale;54;4621;4621;4621;4621;4621;4621;4621;
2024;Totale;55;4662;4662;4662;4662;4662;4662;4662;
2024;Totale;56;4750;4750;4750;4750;4750;4750;4750;
2024;Totale;57;4834;4834;4834;4834;4834;4834;4834;
2024;Totale;58;4806;4806;4806;4806;4806;4806;4806;
2024;Totale;59;4985;4985;4985;4985;4985;4985;4985;
2024;Totale;60;4589;4589;4589;4589;4589;4589;4589;
2024;Totale;61;4495;4495;4495;4495;4495;4495;4495;
2024;Totale;62;4452;4452;4452;4452;4452;4452;4452;
2024;Totale;63;4552;4552;4552;4552;4552;4552;4552;
2024;Totale;64;4342;4342;4342;4342;4342;4342;4342;
2024;Totale;65;4087;4087;4087;4087;4087;4087;4087;
2024;Totale;66;4070;4070;4070;4070;4070;4070;4070;
2024;Totale;67;4050;4050;4050;4050;4050;4050;4050;
2024;Totale;68;3974;3974;3974;3974;3974;3974;3974;
2024;Totale;69;3986;3986;3986;3986;3986;3986;3986;
2024;Totale;70;3625;3625;3625;3625;3625;3625;3625;
2024;Totale;71;3752;3752;3752;3752;3752;3752;3752;
2024;Totale;72;3434;3434;3434;3434;3434;3434;3434;
2024;Totale;73;3619;3619;3619;3619;3619;3619;3619;
2024;Totale;74;3768;3768;3768;3768;3768;3768;3768;
2024;Totale;75;3581;3581;3581;3581;3581;3581;3581;
2024;Totale;76;3350;3350;3350;3350;3350;3350;3350;
2024;Totale;77;3107;3107;3107;3107;3107;3107;3107;
2024;Totale;78;2366;2366;2366;2366;2366;2366;2366;
2024;Totale;79;2271;2271;2271;2271;2271;2271;2271;
2024;Totale;80;2086;2086;2086;2086;2086;2086;2086;
2024;Totale;81;1987;1987;1987;1987;1987;1987;1987;
2024;Totale;82;2149;2149;2149;2149;2149;2149;2149;
2024;Totale;83;2348;2348;2348;2348;2348;2348;2348;
2024;Totale;84;2379;2379;2379;2379;2379;2379;2379;
2024;Totale;85;1887;1887;1887;1887;1887;1887;1887;
2024;Totale;86;1831;1831;1831;1831;1831;1831;1831;
2024;Totale;87;1716;1716;1716;1716;1716;1716;1716;
2024;Totale;88;1497;1497;1497;1497;1497;1497;1497;
2024;Totale;89;1372;1372;1372;1372;1372;1372;1372;
2024;Totale;90;1156;1156;1156;1156;1156;1156;1156;
2024;Totale;91;918;918;918;918;918;918;918;
2024;Totale;92;779;779;779;779;779;779;779;
2024;Totale;93;646;646;646;646;646;646;646;
2024;Totale;94;496;496;496;496;496;496;496;
2024;Totale;95;356;356;356;356;356;356;356;
2024;Totale;96;285;285;285;285;285;285;285;
2024;Totale;97;207;207;207;207;207;207;207;
2024;Totale;98;121;121;121;121;121;121;121;
2024;Totale;99;98;98;98;98;98;98;98;
2024;Totale;100;73;73;73;73;73;73;73;
2024;Totale;101;47;47;47;47;47;47;47;
2024;Totale;102;28;28;28;28;28;28;28;
2024;Totale;103;16;16;16;16;16;16;16;
2024;Totale;104;9;9;9;9;9;9;9;
2024;Totale;105;5;5;5;5;5;5;5;
2024;Totale;106;2;2;2;2;2;2;2;
2024;Totale;107;1;1;1;1;1;1;1;
2024;Totale;108;0;0;0;0;0;0;0;
2024;Totale;109;0;0;0;0;0;0;0;
2024;Totale;110 e oltre;0;0;0;0;0;0;0;
2024;Totale;Totale;289224;289224;289224;289224;289224;289224;289224;
2025;Maschi;0;785;790;797;805;813;820;825;
2025;Maschi;1;862;863;864;865;866;868;868;
2025;Maschi;2;868;869;869;870;871;872;872;
2025;Maschi;3;849;849;850;851;851;852;852;
2025;Maschi;4;937;938;938;939;939;940;940;
2025;Maschi;5;987;988;988;989;990;990;991;
2025;Maschi;6;979;979;979;980;981;981;981;
2025;Maschi;7;1081;1081;1082;1083;1083;1084;1084;
2025;Maschi;8;1053;1053;1054;1054;1055;1055;1056;
2025;Maschi;9;1125;1125;1126;1126;1127;1127;1127;
2025;Maschi;10;1170;1170;1171;1171;1172;1172;1172;
2025;Maschi;11;1150;1150;1150;1151;1151;1152;1152;
2025;Maschi;12;1197;1197;1198;1198;1199;1199;1199;
2025;Maschi;13;1182;1182;1183;1183;1184;1184;1184;
2025;Maschi;14;1298;1299;1299;1300;1300;1301;1301;
2025;Maschi;15;1208;1209;1209;1210;1211;1211;1212;
2025;Maschi;16;1337;1338;1339;1340;1340;1341;1342;
2025;Maschi;17;1334;1334;1335;1337;1338;1339;1339;
2025;Maschi;18;1365;1365;1366;1368;1369;1370;1371;
2025;Maschi;19;1467;1468;1469;1471;1473;1474;1475;
2025;Maschi;20;1525;1525;1527;1529;1531;1532;1533;
2025;Maschi;21;1518;1519;1521;1523;1525;1526;1528;
2025;Maschi;22;1533;1535;1537;1539;1542;1544;1545;
2025;Maschi;23;1531;1533;1535;1538;1541;1543;1545;
2025;Maschi;24;1574;1575;1578;1581;1584;1587;1589;
2025;Maschi;25;1700;1702;1705;1709;1712;1716;1717;
2025;Maschi;26;1722;1724;1727;1731;1735;1739;1741;
2025;Maschi;27;1667;1669;1673;1676;1680;1684;1686;
2025;Maschi;28;1572;1574;1577;1581;1585;1589;1591;
2025;Maschi;29;1589;1590;1594;1597;1600;1604;1605;
