"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Piemonte"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;12987;12987;12987;12987;12987;12987;12987;
2024;Maschi;1;13367;13367;13367;13367;13367;13367;13367;
2024;Maschi;2;14029;14029;14029;14029;14029;14029;14029;
2024;Maschi;3;14420;14420;14420;14420;14420;14420;14420;
2024;Maschi;4;14771;14771;14771;14771;14771;14771;14771;
2024;Maschi;5;15184;15184;15184;15184;15184;15184;15184;
2024;Maschi;6;16023;16023;16023;16023;16023;16023;16023;
2024;Maschi;7;16908;16908;16908;16908;16908;16908;16908;
2024;Maschi;8;17569;17569;17569;17569;17569;17569;17569;
2024;Maschi;9;17802;17802;17802;17802;17802;17802;17802;
2024;Maschi;10;18474;18474;18474;18474;18474;18474;18474;
2024;Maschi;11;19132;19132;19132;19132;19132;19132;19132;
2024;Maschi;12;19498;19498;19498;19498;19498;19498;19498;
2024;Maschi;13;19784;19784;19784;19784;19784;19784;19784;
2024;Maschi;14;20261;20261;20261;20261;20261;20261;20261;
2024;Maschi;15;20468;20468;20468;20468;20468;20468;20468;
2024;Maschi;16;20452;20452;20452;20452;20452;20452;20452;
2024;Maschi;17;20347;20347;20347;20347;20347;20347;20347;
2024;Maschi;18;20508;20508;20508;20508;20508;20508;20508;
2024;Maschi;19;20923;20923;20923;20923;20923;20923;20923;
2024;Maschi;20;20947;20947;20947;20947;20947;20947;20947;
2024;Maschi;21;20507;20507;20507;20507;20507;20507;20507;
2024;Maschi;22;20755;20755;20755;20755;20755;20755;20755;
2024;Maschi;23;22065;22065;22065;22065;22065;22065;22065;
