"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Provincia autonoma di Bolzano"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;2423;2423;2423;2423;2423;2423;2423;
2024;Maschi;1;2475;2475;2475;2475;2475;2475;2475;
2024;Maschi;2;2678;2678;2678;2678;2678;2678;2678;
2024;Maschi;3;2656;2656;2656;2656;2656;2656;2656;
2024;Maschi;4;2775;2775;2775;2775;2775;2775;2775;
2024;Maschi;5;2832;2832;2832;2832;2832;2832;2832;
2024;Maschi;6;2828;2828;2828;2828;2828;2828;2828;
2024;Maschi;7;2825;2825;2825;2825;2825;2825;2825;
2024;Maschi;8;2850;2850;2850;2850;2850;2850;2850;
2024;Maschi;9;2925;2925;2925;2925;2925;2925;2925;
2024;Maschi;10;2884;2884;2884;2884;2884;2884;2884;
2024;Maschi;11;2953;2953;2953;2953;2953;2953;2953;
2024;Maschi;12;2896;2896;2896;2896;2896;2896;2896;
2024;Maschi;13;2922;2922;2922;2922;2922;2922;2922;
2024;Maschi;14;2926;2926;2926;2926;2926;2926;2926;
2024;Maschi;15;2984;2984;2984;2984;2984;2984;2984;
2024;Maschi;16;3098;3098;3098;3098;3098;3098;3098;
2024;Maschi;17;2986;2986;2986;2986;2986;2986;2986;
2024;Maschi;18;3120;3120;3120;3120;3120;3120;3120;
2024;Maschi;19;3115;3115;3115;3115;3115;3115;3115;
2024;Maschi;20;3087;3087;3087;3087;3087;3087;3087;
2024;Maschi;21;3009;3009;3009;3009;3009;3009;3009;
2024;Maschi;22;3187;3187;3187;3187;3187;3187;3187;
2024;Maschi;23;3173;3173;3173;3173;3173;3173;3173;
2024;Maschi;24;3194;3194;3194;3194;3194;3194;3194;
2024;Maschi;25;3225;3225;3225;3225;3225;3225;3225;
2024;Maschi;26;3323;3323;3323;3323;3323;3323;3323;
2024;Maschi;27;3214;3214;3214;3214;3214;3214;3214;
2024;Maschi;28;3101;3101;3101;3101;3101;3101;3101;
2024;Maschi;29;3150;3150;3150;3150;3150;3150;3150;
2024;Maschi;30;3078;3078;3078;3078;3078;3078;3078;
2024;Maschi;31;3210;3210;3210;3210;3210;3210;3210;
2024;Maschi;32;3241;3241;3241;3241;3241;3241;3241;
2024;Maschi;33;3319;3319;3319;3319;3319;3319;3319;
2024;Maschi;34;3276;3276;3276;3276;3276;3276;3276;
2024;Maschi;35;3246;3246;3246;3246;3246;3246;3246;
2024;Maschi;36;3117;3117;3117;3117;3117;3117;3117;
2024;Maschi;37;3166;3166;3166;3166;3166;3166;3166;
2024;Maschi;38;3225;3225;3225;3225;3225;3225;3225;
2024;Maschi;39;3190;3190;3190;3190;3190;3190;3190;
2024;Maschi;40;3254;3254;3254;3254;3254;3254;3254;
2024;Maschi;41;3410;3410;3410;3410;3410;3410;3410;
2024;Maschi;42;3462;3462;3462;3462;3462;3462;3462;
2024;Maschi;43;3474;3474;3474;3474;3474;3474;3474;
2024;Maschi;44;3269;3269;3269;3269;3269;3269;3269;
2024;Maschi;45;3416;3416;3416;3416;3416;3416;3416;
2024;Maschi;46;3413;3413;3413;3413;3413;3413;3413;
2024;Maschi;47;3461;3461;3461;3461;3461;3461;3461;
2024;Maschi;48;3769;3769;3769;3769;3769;3769;3769;
2024;Maschi;49;3978;3978;3978;3978;3978;3978;3978;
2024;Maschi;50;3937;3937;3937;3937;3937;3937;3937;
2024;Maschi;51;4161;4161;4161;4161;4161;4161;4161;
2024;Maschi;52;4284;4284;4284;4284;4284;4284;4284;
2024;Maschi;53;4178;4178;4178;4178;4178;4178;4178;
2024;Maschi;54;4576;4576;4576;4576;4576;4576;4576;
2024;Maschi;55;4367;4367;4367;4367;4367;4367;4367;
2024;Maschi;56;4252;4252;4252;4252;4252;4252;4252;
2024;Maschi;57;4391;4391;4391;4391;4391;4391;4391;
2024;Maschi;58;4463;4463;4463;4463;4463;4463;4463;
2024;Maschi;59;4388;4388;4388;4388;4388;4388;4388;
2024;Maschi;60;4077;4077;4077;4077;4077;4077;4077;
2024;Maschi;61;3814;3814;3814;3814;3814;3814;3814;
2024;Maschi;62;3629;3629;3629;3629;3629;3629;3629;
2024;Maschi;63;3572;3572;3572;3572;3572;3572;3572;
2024;Maschi;64;3439;3439;3439;3439;3439;3439;3439;
2024;Maschi;65;3104;3104;3104;3104;3104;3104;3104;
2024;Maschi;66;2856;2856;2856;2856;2856;2856;2856;
2024;Maschi;67;2789;2789;2789;2789;2789;2789;2789;
2024;Maschi;68;2653;2653;2653;2653;2653;2653;2653;
2024;Maschi;69;2482;2482;2482;2482;2482;2482;2482;
2024;Maschi;70;2395;2395;2395;2395;2395;2395;2395;
2024;Maschi;71;2269;2269;2269;2269;2269;2269;2269;
2024;Maschi;72;2252;2252;2252;2252;2252;2252;2252;
2024;Maschi;73;2181;2181;2181;2181;2181;2181;2181;
2024;Maschi;74;2132;2132;2132;2132;2132;2132;2132;
2024;Maschi;75;2166;2166;2166;2166;2166;2166;2166;
2024;Maschi;76;2002;2002;2002;2002;2002;2002;2002;
2024;Maschi;77;2115;2115;2115;2115;2115;2115;2115;
2024;Maschi;78;1534;1534;1534;1534;1534;1534;1534;
2024;Maschi;79;1757;1757;1757;1757;1757;1757;1757;
2024;Maschi;80;1904;1904;1904;1904;1904;1904;1904;
2024;Maschi;81;1771;1771;1771;1771;1771;1771;1771;
2024;Maschi;82;1734;1734;1734;1734;1734;1734;1734;
2024;Maschi;83;1453;1453;1453;1453;1453;1453;1453;
2024;Maschi;84;1390;1390;1390;1390;1390;1390;1390;
2024;Maschi;85;1174;1174;1174;1174;1174;1174;1174;
2024;Maschi;86;1019;1019;1019;1019;1019;1019;1019;
2024;Maschi;87;801;801;801;801;801;801;801;
2024;Maschi;88;668;668;668;668;668;668;668;
2024;Maschi;89;633;633;633;633;633;633;633;
2024;Maschi;90;537;537;537;537;537;537;537;
2024;Maschi;91;438;438;438;438;438;438;438;
2024;Maschi;92;337;337;337;337;337;337;337;
2024;Maschi;93;266;266;266;266;266;266;266;
2024;Maschi;94;154;154;154;154;154;154;154;
2024;Maschi;95;132;132;132;132;132;132;132;
2024;Maschi;96;90;90;90;90;90;90;90;
2024;Maschi;97;42;42;42;42;42;42;42;
2024;Maschi;98;38;38;38;38;38;38;38;
2024;Maschi;99;20;20;20;20;20;20;20;
2024;Maschi;100;9;9;9;9;9;9;9;
2024;Maschi;101;6;6;6;6;6;6;6;
2024;Maschi;102;3;3;3;3;3;3;3;
2024;Maschi;103;2;2;2;2;2;2;2;
2024;Maschi;104;1;1;1;1;1;1;1;
2024;Maschi;105;0;0;0;0;0;0;0;
2024;Maschi;106;0;0;0;0;0;0;0;
2024;Maschi;107;0;0;0;0;0;0;0;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;266626;266626;266626;266626;266626;266626;266626;
2024;Femmine;0;2273;2273;2273;2273;2273;2273;2273;
2024;Femmine;1;2488;2488;2488;2488;2488;2488;2488;
2024;Femmine;2;2551;2551;2551;2551;2551;2551;2551;
2024;Femmine;3;2577;2577;2577;2577;2577;2577;2577;
2024;Femmine;4;2577;2577;2577;2577;2577;2577;2577;
2024;Femmine;5;2611;2611;2611;2611;2611;2611;2611;
2024;Femmine;6;2687;2687;2687;2687;2687;2687;2687;
2024;Femmine;7;2764;2764;2764;2764;2764;2764;2764;
2024;Femmine;8;2758;2758;2758;2758;2758;2758;2758;
2024;Femmine;9;2805;2805;2805;2805;2805;2805;2805;
