"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Provincia autonoma di Trento"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;1984;1984;1984;1984;1984;1984;1984;
2024;Maschi;1;2158;2158;2158;2158;2158;2158;2158;
2024;Maschi;2;2174;2174;2174;2174;2174;2174;2174;
2024;Maschi;3;2164;2164;2164;2164;2164;2164;2164;
2024;Maschi;4;2289;2289;2289;2289;2289;2289;2289;
2024;Maschi;5;2242;2242;2242;2242;2242;2242;2242;
2024;Maschi;6;2400;2400;2400;2400;2400;2400;2400;
2024;Maschi;7;2479;2479;2479;2479;2479;2479;2479;
2024;Maschi;8;2541;2541;2541;2541;2541;2541;2541;
2024;Maschi;9;2603;2603;2603;2603;2603;2603;2603;
2024;Maschi;10;2713;2713;2713;2713;2713;2713;2713;
2024;Maschi;11;2778;2778;2778;2778;2778;2778;2778;
2024;Maschi;12;2774;2774;2774;2774;2774;2774;2774;
2024;Maschi;13;2916;2916;2916;2916;2916;2916;2916;
2024;Maschi;14;2894;2894;2894;2894;2894;2894;2894;
2024;Maschi;15;2908;2908;2908;2908;2908;2908;2908;
2024;Maschi;16;2819;2819;2819;2819;2819;2819;2819;
2024;Maschi;17;2926;2926;2926;2926;2926;2926;2926;
2024;Maschi;18;3025;3025;3025;3025;3025;3025;3025;
2024;Maschi;19;3045;3045;3045;3045;3045;3045;3045;
2024;Maschi;20;2943;2943;2943;2943;2943;2943;2943;
2024;Maschi;21;2965;2965;2965;2965;2965;2965;2965;
2024;Maschi;22;3045;3045;3045;3045;3045;3045;3045;
2024;Maschi;23;3071;3071;3071;3071;3071;3071;3071;
2024;Maschi;24;3065;3065;3065;3065;3065;3065;3065;
2024;Maschi;25;3135;3135;3135;3135;3135;3135;3135;
2024;Maschi;26;3082;3082;3082;3082;3082;3082;3082;
2024;Maschi;27;3157;3157;3157;3157;3157;3157;3157;
2024;Maschi;28;3088;3088;3088;3088;3088;3088;3088;
2024;Maschi;29;3099;3099;3099;3099;3099;3099;3099;
2024;Maschi;30;3162;3162;3162;3162;3162;3162;3162;
2024;Maschi;31;3237;3237;3237;3237;3237;3237;3237;
2024;Maschi;32;3178;3178;3178;3178;3178;3178;3178;
2024;Maschi;33;3208;3208;3208;3208;3208;3208;3208;
2024;Maschi;34;3037;3037;3037;3037;3037;3037;3037;
2024;Maschi;35;3147;3147;3147;3147;3147;3147;3147;
2024;Maschi;36;3051;3051;3051;3051;3051;3051;3051;
2024;Maschi;37;3048;3048;3048;3048;3048;3048;3048;
2024;Maschi;38;3103;3103;3103;3103;3103;3103;3103;
2024;Maschi;39;3171;3171;3171;3171;3171;3171;3171;
2024;Maschi;40;3217;3217;3217;3217;3217;3217;3217;
2024;Maschi;41;3261;3261;3261;3261;3261;3261;3261;
2024;Maschi;42;3203;3203;3203;3203;3203;3203;3203;
2024;Maschi;43;3223;3223;3223;3223;3223;3223;3223;
2024;Maschi;44;3272;3272;3272;3272;3272;3272;3272;
2024;Maschi;45;3565;3565;3565;3565;3565;3565;3565;
2024;Maschi;46;3676;3676;3676;3676;3676;3676;3676;
2024;Maschi;47;3774;3774;3774;3774;3774;3774;3774;
2024;Maschi;48;3854;3854;3854;3854;3854;3854;3854;
2024;Maschi;49;4226;4226;4226;4226;4226;4226;4226;
2024;Maschi;50;4112;4112;4112;4112;4112;4112;4112;
2024;Maschi;51;4109;4109;4109;4109;4109;4109;4109;
2024;Maschi;52;4230;4230;4230;4230;4230;4230;4230;
2024;Maschi;53;4088;4088;4088;4088;4088;4088;4088;
2024;Maschi;54;4382;4382;4382;4382;4382;4382;4382;
2024;Maschi;55;4361;4361;4361;4361;4361;4361;4361;
2024;Maschi;56;4316;4316;4316;4316;4316;4316;4316;
2024;Maschi;57;4381;4381;4381;4381;4381;4381;4381;
2024;Maschi;58;4519;4519;4519;4519;4519;4519;4519;
2024;Maschi;59;4436;4436;4436;4436;4436;4436;4436;
2024;Maschi;60;4177;4177;4177;4177;4177;4177;4177;
2024;Maschi;61;3863;3863;3863;3863;3863;3863;3863;
2024;Maschi;62;3923;3923;3923;3923;3923;3923;3923;
2024;Maschi;63;3786;3786;3786;3786;3786;3786;3786;
2024;Maschi;64;3654;3654;3654;3654;3654;3654;3654;
2024;Maschi;65;3381;3381;3381;3381;3381;3381;3381;
2024;Maschi;66;3330;3330;3330;3330;3330;3330;3330;
2024;Maschi;67;3353;3353;3353;3353;3353;3353;3353;
2024;Maschi;68;3163;3163;3163;3163;3163;3163;3163;
2024;Maschi;69;3064;3064;3064;3064;3064;3064;3064;
2024;Maschi;70;2981;2981;2981;2981;2981;2981;2981;
2024;Maschi;71;2920;2920;2920;2920;2920;2920;2920;
2024;Maschi;72;2820;2820;2820;2820;2820;2820;2820;
2024;Maschi;73;2866;2866;2866;2866;2866;2866;2866;
2024;Maschi;74;2741;2741;2741;2741;2741;2741;2741;
2024;Maschi;75;2741;2741;2741;2741;2741;2741;2741;
2024;Maschi;76;2558;2558;2558;2558;2558;2558;2558;
2024;Maschi;77;2623;2623;2623;2623;2623;2623;2623;
2024;Maschi;78;1817;1817;1817;1817;1817;1817;1817;
2024;Maschi;79;1961;1961;1961;1961;1961;1961;1961;
2024;Maschi;80;1885;1885;1885;1885;1885;1885;1885;
2024;Maschi;81;1860;1860;1860;1860;1860;1860;1860;
2024;Maschi;82;1699;1699;1699;1699;1699;1699;1699;
2024;Maschi;83;1623;1623;1623;1623;1623;1623;1623;
2024;Maschi;84;1495;1495;1495;1495;1495;1495;1495;
2024;Maschi;85;1311;1311;1311;1311;1311;1311;1311;
2024;Maschi;86;1096;1096;1096;1096;1096;1096;1096;
2024;Maschi;87;962;962;962;962;962;962;962;
2024;Maschi;88;811;811;811;811;811;811;811;
2024;Maschi;89;626;626;626;626;626;626;626;
2024;Maschi;90;509;509;509;509;509;509;509;
2024;Maschi;91;440;440;440;440;440;440;440;
2024;Maschi;92;351;351;351;351;351;351;351;
2024;Maschi;93;272;272;272;272;272;272;272;
2024;Maschi;94;190;190;190;190;190;190;190;
2024;Maschi;95;150;150;150;150;150;150;150;
2024;Maschi;96;97;97;97;97;97;97;97;
2024;Maschi;97;61;61;61;61;61;61;61;
2024;Maschi;98;27;27;27;27;27;27;27;
2024;Maschi;99;26;26;26;26;26;26;26;
2024;Maschi;100;15;15;15;15;15;15;15;
2024;Maschi;101;9;9;9;9;9;9;9;
2024;Maschi;102;5;5;5;5;5;5;5;
2024;Maschi;103;3;3;3;3;3;3;3;
2024;Maschi;104;1;1;1;1;1;1;1;
2024;Maschi;105;1;1;1;1;1;1;1;
