"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Puglia"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;13112;13112;13112;13112;13112;13112;13112;
2024;Maschi;1;13702;13702;13702;13702;13702;13702;13702;
2024;Maschi;2;13752;13752;13752;13752;13752;13752;13752;
2024;Maschi;3;13904;13904;13904;13904;13904;13904;13904;
2024;Maschi;4;14405;14405;14405;14405;14405;14405;14405;
2024;Maschi;5;15250;15250;15250;15250;15250;15250;15250;
2024;Maschi;6;15573;15573;15573;15573;15573;15573;15573;
2024;Maschi;7;16217;16217;16217;16217;16217;16217;16217;
2024;Maschi;8;16251;16251;16251;16251;16251;16251;16251;
2024;Maschi;9;17173;17173;17173;17173;17173;17173;17173;
2024;Maschi;10;17326;17326;17326;17326;17326;17326;17326;
2024;Maschi;11;18107;18107;18107;18107;18107;18107;18107;
2024;Maschi;12;18585;18585;18585;18585;18585;18585;18585;
2024;Maschi;13;19199;19199;19199;19199;19199;19199;19199;
2024;Maschi;14;19378;19378;19378;19378;19378;19378;19378;
2024;Maschi;15;19696;19696;19696;19696;19696;19696;19696;
2024;Maschi;16;20000;20000;20000;20000;20000;20000;20000;
2024;Maschi;17;20098;20098;20098;20098;20098;20098;20098;
2024;Maschi;18;20843;20843;20843;20843;20843;20843;20843;
2024;Maschi;19;21296;21296;21296;21296;21296;21296;21296;
2024;Maschi;20;21127;21127;21127;21127;21127;21127;21127;
2024;Maschi;21;20946;20946;20946;20946;20946;20946;20946;
2024;Maschi;22;21617;21617;21617;21617;21617;21617;21617;
2024;Maschi;23;21978;21978;21978;21978;21978;21978;21978;
2024;Maschi;24;22090;22090;22090;22090;22090;22090;22090;
2024;Maschi;25;21894;21894;21894;21894;21894;21894;21894;
2024;Maschi;26;21345;21345;21345;21345;21345;21345;21345;
2024;Maschi;27;21110;21110;21110;21110;21110;21110;21110;
2024;Maschi;28;20788;20788;20788;20788;20788;20788;20788;
2024;Maschi;29;20810;20810;20810;20810;20810;20810;20810;
2024;Maschi;30;21325;21325;21325;21325;21325;21325;21325;
2024;Maschi;31;22148;22148;22148;22148;22148;22148;22148;
2024;Maschi;32;21802;21802;21802;21802;21802;21802;21802;
2024;Maschi;33;22041;22041;22041;22041;22041;22041;22041;
2024;Maschi;34;21541;21541;21541;21541;21541;21541;21541;
2024;Maschi;35;22477;22477;22477;22477;22477;22477;22477;
2024;Maschi;36;22176;22176;22176;22176;22176;22176;22176;
2024;Maschi;37;22263;22263;22263;22263;22263;22263;22263;
2024;Maschi;38;21977;21977;21977;21977;21977;21977;21977;
2024;Maschi;39;22599;22599;22599;22599;22599;22599;22599;
2024;Maschi;40;23065;23065;23065;23065;23065;23065;23065;
2024;Maschi;41;23599;23599;23599;23599;23599;23599;23599;
2024;Maschi;42;23870;23870;23870;23870;23870;23870;23870;
2024;Maschi;43;24907;24907;24907;24907;24907;24907;24907;
2024;Maschi;44;26182;26182;26182;26182;26182;26182;26182;
2024;Maschi;45;27041;27041;27041;27041;27041;27041;27041;
2024;Maschi;46;28205;28205;28205;28205;28205;28205;28205;
2024;Maschi;47;29086;29086;29086;29086;29086;29086;29086;
2024;Maschi;48;29940;29940;29940;29940;29940;29940;29940;
2024;Maschi;49;30390;30390;30390;30390;30390;30390;30390;
2024;Maschi;50;29466;29466;29466;29466;29466;29466;29466;
2024;Maschi;51;29172;29172;29172;29172;29172;29172;29172;
2024;Maschi;52;29759;29759;29759;29759;29759;29759;29759;
2024;Maschi;53;29443;29443;29443;29443;29443;29443;29443;
2024;Maschi;54;29745;29745;29745;29745;29745;29745;29745;
2024;Maschi;55;29840;29840;29840;29840;29840;29840;29840;
2024;Maschi;56;30440;30440;30440;30440;30440;30440;30440;
2024;Maschi;57;30569;30569;30569;30569;30569;30569;30569;
2024;Maschi;58;30231;30231;30231;30231;30231;30231;30231;
2024;Maschi;59;30696;30696;30696;30696;30696;30696;30696;
2024;Maschi;60;28273;28273;28273;28273;28273;28273;28273;
2024;Maschi;61;27525;27525;27525;27525;27525;27525;27525;
2024;Maschi;62;27110;27110;27110;27110;27110;27110;27110;
2024;Maschi;63;26473;26473;26473;26473;26473;26473;26473;
2024;Maschi;64;25521;25521;25521;25521;25521;25521;25521;
2024;Maschi;65;23758;23758;23758;23758;23758;23758;23758;
2024;Maschi;66;24169;24169;24169;24169;24169;24169;24169;
2024;Maschi;67;23380;23380;23380;23380;23380;23380;23380;
2024;Maschi;68;23022;23022;23022;23022;23022;23022;23022;
2024;Maschi;69;22281;22281;22281;22281;22281;22281;22281;
2024;Maschi;70;21260;21260;21260;21260;21260;21260;21260;
2024;Maschi;71;20168;20168;20168;20168;20168;20168;20168;
2024;Maschi;72;20653;20653;20653;20653;20653;20653;20653;
2024;Maschi;73;20993;20993;20993;20993;20993;20993;20993;
2024;Maschi;74;20630;20630;20630;20630;20630;20630;20630;
2024;Maschi;75;21361;21361;21361;21361;21361;21361;21361;
2024;Maschi;76;19625;19625;19625;19625;19625;19625;19625;
2024;Maschi;77;18658;18658;18658;18658;18658;18658;18658;
2024;Maschi;78;15477;15477;15477;15477;15477;15477;15477;
2024;Maschi;79;13284;13284;13284;13284;13284;13284;13284;
2024;Maschi;80;12866;12866;12866;12866;12866;12866;12866;
2024;Maschi;81;12655;12655;12655;12655;12655;12655;12655;
2024;Maschi;82;11558;11558;11558;11558;11558;11558;11558;
2024;Maschi;83;11775;11775;11775;11775;11775;11775;11775;
2024;Maschi;84;10848;10848;10848;10848;10848;10848;10848;
2024;Maschi;85;9413;9413;9413;9413;9413;9413;9413;
2024;Maschi;86;8035;8035;8035;8035;8035;8035;8035;
