"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Sardegna"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;3739;3739;3739;3739;3739;3739;3739;
2024;Maschi;1;4041;4041;4041;4041;4041;4041;4041;
2024;Maschi;2;4253;4253;4253;4253;4253;4253;4253;
2024;Maschi;3;4363;4363;4363;4363;4363;4363;4363;
2024;Maschi;4;4574;4574;4574;4574;4574;4574;4574;
2024;Maschi;5;4902;4902;4902;4902;4902;4902;4902;
2024;Maschi;6;5287;5287;5287;5287;5287;5287;5287;
2024;Maschi;7;5491;5491;5491;5491;5491;5491;5491;
2024;Maschi;8;5857;5857;5857;5857;5857;5857;5857;
2024;Maschi;9;5953;5953;5953;5953;5953;5953;5953;
2024;Maschi;10;6093;6093;6093;6093;6093;6093;6093;
2024;Maschi;11;6448;6448;6448;6448;6448;6448;6448;
2024;Maschi;12;6721;6721;6721;6721;6721;6721;6721;
2024;Maschi;13;6989;6989;6989;6989;6989;6989;6989;
2024;Maschi;14;7068;7068;7068;7068;7068;7068;7068;
2024;Maschi;15;7004;7004;7004;7004;7004;7004;7004;
2024;Maschi;16;6947;6947;6947;6947;6947;6947;6947;
2024;Maschi;17;7078;7078;7078;7078;7078;7078;7078;
2024;Maschi;18;7208;7208;7208;7208;7208;7208;7208;
2024;Maschi;19;7100;7100;7100;7100;7100;7100;7100;
2024;Maschi;20;7267;7267;7267;7267;7267;7267;7267;
2024;Maschi;21;7017;7017;7017;7017;7017;7017;7017;
2024;Maschi;22;7178;7178;7178;7178;7178;7178;7178;
2024;Maschi;23;7520;7520;7520;7520;7520;7520;7520;
2024;Maschi;24;7448;7448;7448;7448;7448;7448;7448;
2024;Maschi;25;7306;7306;7306;7306;7306;7306;7306;
2024;Maschi;26;7350;7350;7350;7350;7350;7350;7350;
2024;Maschi;27;7401;7401;7401;7401;7401;7401;7401;
2024;Maschi;28;7597;7597;7597;7597;7597;7597;7597;
2024;Maschi;29;7617;7617;7617;7617;7617;7617;7617;
