"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Sicilia"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;18132;18132;18132;18132;18132;18132;18132;
2024;Maschi;1;19259;19259;19259;19259;19259;19259;19259;
2024;Maschi;2;19249;19249;19249;19249;19249;19249;19249;
2024;Maschi;3;19590;19590;19590;19590;19590;19590;19590;
2024;Maschi;4;20159;20159;20159;20159;20159;20159;20159;
2024;Maschi;5;20914;20914;20914;20914;20914;20914;20914;
2024;Maschi;6;21406;21406;21406;21406;21406;21406;21406;
2024;Maschi;7;21252;21252;21252;21252;21252;21252;21252;
2024;Maschi;8;22046;22046;22046;22046;22046;22046;22046;
2024;Maschi;9;22585;22585;22585;22585;22585;22585;22585;
2024;Maschi;10;22184;22184;22184;22184;22184;22184;22184;
2024;Maschi;11;23211;23211;23211;23211;23211;23211;23211;
2024;Maschi;12;23456;23456;23456;23456;23456;23456;23456;
2024;Maschi;13;24138;24138;24138;24138;24138;24138;24138;
2024;Maschi;14;24824;24824;24824;24824;24824;24824;24824;
2024;Maschi;15;25286;25286;25286;25286;25286;25286;25286;
2024;Maschi;16;25259;25259;25259;25259;25259;25259;25259;
2024;Maschi;17;26502;26502;26502;26502;26502;26502;26502;
2024;Maschi;18;27084;27084;27084;27084;27084;27084;27084;
2024;Maschi;19;27752;27752;27752;27752;27752;27752;27752;
2024;Maschi;20;26568;26568;26568;26568;26568;26568;26568;
2024;Maschi;21;26203;26203;26203;26203;26203;26203;26203;
2024;Maschi;22;26616;26616;26616;26616;26616;26616;26616;
2024;Maschi;23;27281;27281;27281;27281;27281;27281;27281;
2024;Maschi;24;27058;27058;27058;27058;27058;27058;27058;
2024;Maschi;25;26528;26528;26528;26528;26528;26528;26528;
2024;Maschi;26;26300;26300;26300;26300;26300;26300;26300;
2024;Maschi;27;26032;26032;26032;26032;26032;26032;26032;
2024;Maschi;28;25918;25918;25918;25918;25918;25918;25918;
2024;Maschi;29;26425;26425;26425;26425;26425;26425;26425;
2024;Maschi;30;26949;26949;26949;26949;26949;26949;26949;
2024;Maschi;31;28060;28060;28060;28060;28060;28060;28060;
2024;Maschi;32;27756;27756;27756;27756;27756;27756;27756;
2024;Maschi;33;28150;28150;28150;28150;28150;28150;28150;
2024;Maschi;34;28116;28116;28116;28116;28116;28116;28116;
2024;Maschi;35;28804;28804;28804;28804;28804;28804;28804;
2024;Maschi;36;28072;28072;28072;28072;28072;28072;28072;
2024;Maschi;37;28401;28401;28401;28401;28401;28401;28401;
2024;Maschi;38;28448;28448;28448;28448;28448;28448;28448;
2024;Maschi;39;29065;29065;29065;29065;29065;29065;29065;
2024;Maschi;40;28870;28870;28870;28870;28870;28870;28870;
2024;Maschi;41;29907;29907;29907;29907;29907;29907;29907;
2024;Maschi;42;29885;29885;29885;29885;29885;29885;29885;
2024;Maschi;43;30988;30988;30988;30988;30988;30988;30988;
2024;Maschi;44;31190;31190;31190;31190;31190;31190;31190;
2024;Maschi;45;32186;32186;32186;32186;32186;32186;32186;
2024;Maschi;46;32461;32461;32461;32461;32461;32461;32461;
2024;Maschi;47;34105;34105;34105;34105;34105;34105;34105;
2024;Maschi;48;35051;35051;35051;35051;35051;35051;35051;
2024;Maschi;49;35970;35970;35970;35970;35970;35970;35970;
2024;Maschi;50;35271;35271;35271;35271;35271;35271;35271;
2024;Maschi;51;35511;35511;35511;35511;35511;35511;35511;
2024;Maschi;52;35854;35854;35854;35854;35854;35854;35854;
2024;Maschi;53;35233;35233;35233;35233;35233;35233;35233;
2024;Maschi;54;36676;36676;36676;36676;36676;36676;36676;
2024;Maschi;55;36085;36085;36085;36085;36085;36085;36085;
2024;Maschi;56;36424;36424;36424;36424;36424;36424;36424;
2024;Maschi;57;35966;35966;35966;35966;35966;35966;35966;
2024;Maschi;58;35448;35448;35448;35448;35448;35448;35448;
2024;Maschi;59;36523;36523;36523;36523;36523;36523;36523;
2024;Maschi;60;34359;34359;34359;34359;34359;34359;34359;
2024;Maschi;61;33918;33918;33918;33918;33918;33918;33918;
2024;Maschi;62;32812;32812;32812;32812;32812;32812;32812;
2024;Maschi;63;32709;32709;32709;32709;32709;32709;32709;
2024;Maschi;64;31109;31109;31109;31109;31109;31109;31109;
2024;Maschi;65;29861;29861;29861;29861;29861;29861;29861;
2024;Maschi;66;29548;29548;29548;29548;29548;29548;29548;
2024;Maschi;67;28671;28671;28671;28671;28671;28671;28671;
2024;Maschi;68;28605;28605;28605;28605;28605;28605;28605;
2024;Maschi;69;27831;27831;27831;27831;27831;27831;27831;
2024;Maschi;70;25522;25522;25522;25522;25522;25522;25522;
2024;Maschi;71;24783;24783;24783;24783;24783;24783;24783;
2024;Maschi;72;24380;24380;24380;24380;24380;24380;24380;
2024;Maschi;73;24561;24561;24561;24561;24561;24561;24561;
2024;Maschi;74;24240;24240;24240;24240;24240;24240;24240;
2024;Maschi;75;24598;24598;24598;24598;24598;24598;24598;
2024;Maschi;76;23622;23622;23622;23622;23622;23622;23622;
2024;Maschi;77;20835;20835;20835;20835;20835;20835;20835;
2024;Maschi;78;17218;17218;17218;17218;17218;17218;17218;
2024;Maschi;79;15735;15735;15735;15735;15735;15735;15735;
2024;Maschi;80;14278;14278;14278;14278;14278;14278;14278;
2024;Maschi;81;13530;13530;13530;13530;13530;13530;13530;
2024;Maschi;82;12833;12833;12833;12833;12833;12833;12833;
2024;Maschi;83;13597;13597;13597;13597;13597;13597;13597;
2024;Maschi;84;12343;12343;12343;12343;12343;12343;12343;
2024;Maschi;85;10741;10741;10741;10741;10741;10741;10741;
2024;Maschi;86;8759;8759;8759;8759;8759;8759;8759;
2024;Maschi;87;7705;7705;7705;7705;7705;7705;7705;
2024;Maschi;88;6640;6640;6640;6640;6640;6640;6640;
2024;Maschi;89;5840;5840;5840;5840;5840;5840;5840;
2024;Maschi;90;4761;4761;4761;4761;4761;4761;4761;
2024;Maschi;91;3556;3556;3556;3556;3556;3556;3556;
2024;Maschi;92;2751;2751;2751;2751;2751;2751;2751;
2024;Maschi;93;2231;2231;2231;2231;2231;2231;2231;
