"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Toscana"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;10763;10763;10763;10763;10763;10763;10763;
2024;Maschi;1;11250;11250;11250;11250;11250;11250;11250;
2024;Maschi;2;11825;11825;11825;11825;11825;11825;11825;
2024;Maschi;3;11899;11899;11899;11899;11899;11899;11899;
2024;Maschi;4;12234;12234;12234;12234;12234;12234;12234;
2024;Maschi;5;13020;13020;13020;13020;13020;13020;13020;
2024;Maschi;6;13855;13855;13855;13855;13855;13855;13855;
2024;Maschi;7;14262;14262;14262;14262;14262;14262;14262;
2024;Maschi;8;14737;14737;14737;14737;14737;14737;14737;
2024;Maschi;9;15335;15335;15335;15335;15335;15335;15335;
2024;Maschi;10;15564;15564;15564;15564;15564;15564;15564;
2024;Maschi;11;16444;16444;16444;16444;16444;16444;16444;
2024;Maschi;12;16667;16667;16667;16667;16667;16667;16667;
2024;Maschi;13;17240;17240;17240;17240;17240;17240;17240;
2024;Maschi;14;17374;17374;17374;17374;17374;17374;17374;
2024;Maschi;15;18155;18155;18155;18155;18155;18155;18155;
2024;Maschi;16;17964;17964;17964;17964;17964;17964;17964;
2024;Maschi;17;17864;17864;17864;17864;17864;17864;17864;
2024;Maschi;18;18130;18130;18130;18130;18130;18130;18130;
2024;Maschi;19;18272;18272;18272;18272;18272;18272;18272;
2024;Maschi;20;17829;17829;17829;17829;17829;17829;17829;
2024;Maschi;21;17876;17876;17876;17876;17876;17876;17876;
2024;Maschi;22;17762;17762;17762;17762;17762;17762;17762;
2024;Maschi;23;18345;18345;18345;18345;18345;18345;18345;
2024;Maschi;24;18073;18073;18073;18073;18073;18073;18073;
2024;Maschi;25;18611;18611;18611;18611;18611;18611;18611;
2024;Maschi;26;18380;18380;18380;18380;18380;18380;18380;
2024;Maschi;27;18180;18180;18180;18180;18180;18180;18180;
2024;Maschi;28;17996;17996;17996;17996;17996;17996;17996;
2024;Maschi;29;17967;17967;17967;17967;17967;17967;17967;
2024;Maschi;30;18350;18350;18350;18350;18350;18350;18350;
2024;Maschi;31;19047;19047;19047;19047;19047;19047;19047;
2024;Maschi;32;18908;18908;18908;18908;18908;18908;18908;
2024;Maschi;33;19956;19956;19956;19956;19956;19956;19956;
2024;Maschi;34;19347;19347;19347;19347;19347;19347;19347;
2024;Maschi;35;20071;20071;20071;20071;20071;20071;20071;
2024;Maschi;36;19550;19550;19550;19550;19550;19550;19550;
2024;Maschi;37;19156;19156;19156;19156;19156;19156;19156;
2024;Maschi;38;20200;20200;20200;20200;20200;20200;20200;
2024;Maschi;39;20599;20599;20599;20599;20599;20599;20599;
2024;Maschi;40;21047;21047;21047;21047;21047;21047;21047;
2024;Maschi;41;21920;21920;21920;21920;21920;21920;21920;
2024;Maschi;42;22026;22026;22026;22026;22026;22026;22026;
2024;Maschi;43;22734;22734;22734;22734;22734;22734;22734;
2024;Maschi;44;23465;23465;23465;23465;23465;23465;23465;
2024;Maschi;45;24926;24926;24926;24926;24926;24926;24926;
2024;Maschi;46;25851;25851;25851;25851;25851;25851;25851;
2024;Maschi;47;26827;26827;26827;26827;26827;26827;26827;
2024;Maschi;48;28251;28251;28251;28251;28251;28251;28251;
2024;Maschi;49;29488;29488;29488;29488;29488;29488;29488;
2024;Maschi;50;29589;29589;29589;29589;29589;29589;29589;
2024;Maschi;51;30127;30127;30127;30127;30127;30127;30127;
2024;Maschi;52;29961;29961;29961;29961;29961;29961;29961;
2024;Maschi;53;29823;29823;29823;29823;29823;29823;29823;
2024;Maschi;54;30319;30319;30319;30319;30319;30319;30319;
2024;Maschi;55;29495;29495;29495;29495;29495;29495;29495;
