"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Trentino-Alto Adige"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;4407;4407;4407;4407;4407;4407;4407;
2024;Maschi;1;4633;4633;4633;4633;4633;4633;4633;
2024;Maschi;2;4852;4852;4852;4852;4852;4852;4852;
2024;Maschi;3;4820;4820;4820;4820;4820;4820;4820;
2024;Maschi;4;5064;5064;5064;5064;5064;5064;5064;
2024;Maschi;5;5074;5074;5074;5074;5074;5074;5074;
2024;Maschi;6;5228;5228;5228;5228;5228;5228;5228;
2024;Maschi;7;5304;5304;5304;5304;5304;5304;5304;
2024;Maschi;8;5391;5391;5391;5391;5391;5391;5391;
2024;Maschi;9;5528;5528;5528;5528;5528;5528;5528;
2024;Maschi;10;5597;5597;5597;5597;5597;5597;5597;
2024;Maschi;11;5731;5731;5731;5731;5731;5731;5731;
2024;Maschi;12;5670;5670;5670;5670;5670;5670;5670;
2024;Maschi;13;5838;5838;5838;5838;5838;5838;5838;
2024;Maschi;14;5820;5820;5820;5820;5820;5820;5820;
2024;Maschi;15;5892;5892;5892;5892;5892;5892;5892;
2024;Maschi;16;5917;5917;5917;5917;5917;5917;5917;
2024;Maschi;17;5912;5912;5912;5912;5912;5912;5912;
2024;Maschi;18;6145;6145;6145;6145;6145;6145;6145;
2024;Maschi;19;6160;6160;6160;6160;6160;6160;6160;
2024;Maschi;20;6030;6030;6030;6030;6030;6030;6030;
2024;Maschi;21;5974;5974;5974;5974;5974;5974;5974;
2024;Maschi;22;6232;6232;6232;6232;6232;6232;6232;
2024;Maschi;23;6244;6244;6244;6244;6244;6244;6244;
2024;Maschi;24;6259;6259;6259;6259;6259;6259;6259;
2024;Maschi;25;6360;6360;6360;6360;6360;6360;6360;
2024;Maschi;26;6405;6405;6405;6405;6405;6405;6405;
2024;Maschi;27;6371;6371;6371;6371;6371;6371;6371;
2024;Maschi;28;6189;6189;6189;6189;6189;6189;6189;
2024;Maschi;29;6249;6249;6249;6249;6249;6249;6249;
2024;Maschi;30;6240;6240;6240;6240;6240;6240;6240;
2024;Maschi;31;6447;6447;6447;6447;6447;6447;6447;
2024;Maschi;32;6419;6419;6419;6419;6419;6419;6419;
