"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Umbria"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;2442;2442;2442;2442;2442;2442;2442;
2024;Maschi;1;2537;2537;2537;2537;2537;2537;2537;
2024;Maschi;2;2699;2699;2699;2699;2699;2699;2699;
2024;Maschi;3;2785;2785;2785;2785;2785;2785;2785;
2024;Maschi;4;2903;2903;2903;2903;2903;2903;2903;
2024;Maschi;5;3074;3074;3074;3074;3074;3074;3074;
2024;Maschi;6;3199;3199;3199;3199;3199;3199;3199;
2024;Maschi;7;3362;3362;3362;3362;3362;3362;3362;
2024;Maschi;8;3380;3380;3380;3380;3380;3380;3380;
2024;Maschi;9;3603;3603;3603;3603;3603;3603;3603;
2024;Maschi;10;3746;3746;3746;3746;3746;3746;3746;
2024;Maschi;11;3844;3844;3844;3844;3844;3844;3844;
2024;Maschi;12;3907;3907;3907;3907;3907;3907;3907;
2024;Maschi;13;4058;4058;4058;4058;4058;4058;4058;
2024;Maschi;14;4080;4080;4080;4080;4080;4080;4080;
2024;Maschi;15;4167;4167;4167;4167;4167;4167;4167;
2024;Maschi;16;4281;4281;4281;4281;4281;4281;4281;
2024;Maschi;17;4225;4225;4225;4225;4225;4225;4225;
2024;Maschi;18;4238;4238;4238;4238;4238;4238;4238;
2024;Maschi;19;4152;4152;4152;4152;4152;4152;4152;
2024;Maschi;20;4221;4221;4221;4221;4221;4221;4221;
2024;Maschi;21;4083;4083;4083;4083;4083;4083;4083;
2024;Maschi;22;4174;4174;4174;4174;4174;4174;4174;
2024;Maschi;23;4181;4181;4181;4181;4181;4181;4181;
2024;Maschi;24;4359;4359;4359;4359;4359;4359;4359;
2024;Maschi;25;4333;4333;4333;4333;4333;4333;4333;
2024;Maschi;26;4222;4222;4222;4222;4222;4222;4222;
2024;Maschi;27;4223;4223;4223;4223;4223;4223;4223;
2024;Maschi;28;4176;4176;4176;4176;4176;4176;4176;
2024;Maschi;29;4067;4067;4067;4067;4067;4067;4067;
2024;Maschi;30;4269;4269;4269;4269;4269;4269;4269;
2024;Maschi;31;4425;4425;4425;4425;4425;4425;4425;
2024;Maschi;32;4344;4344;4344;4344;4344;4344;4344;
2024;Maschi;33;4410;4410;4410;4410;4410;4410;4410;
2024;Maschi;34;4482;4482;4482;4482;4482;4482;4482;
2024;Maschi;35;4640;4640;4640;4640;4640;4640;4640;
2024;Maschi;36;4494;4494;4494;4494;4494;4494;4494;
2024;Maschi;37;4479;4479;4479;4479;4479;4479;4479;
2024;Maschi;38;4674;4674;4674;4674;4674;4674;4674;
2024;Maschi;39;4720;4720;4720;4720;4720;4720;4720;
2024;Maschi;40;5145;5145;5145;5145;5145;5145;5145;
2024;Maschi;41;5090;5090;5090;5090;5090;5090;5090;
2024;Maschi;42;5129;5129;5129;5129;5129;5129;5129;
2024;Maschi;43;5283;5283;5283;5283;5283;5283;5283;
2024;Maschi;44;5477;5477;5477;5477;5477;5477;5477;
2024;Maschi;45;5652;5652;5652;5652;5652;5652;5652;
2024;Maschi;46;5962;5962;5962;5962;5962;5962;5962;
2024;Maschi;47;6155;6155;6155;6155;6155;6155;6155;
2024;Maschi;48;6336;6336;6336;6336;6336;6336;6336;
2024;Maschi;49;6674;6674;6674;6674;6674;6674;6674;
2024;Maschi;50;6651;6651;6651;6651;6651;6651;6651;
2024;Maschi;51;6489;6489;6489;6489;6489;6489;6489;
2024;Maschi;52;6587;6587;6587;6587;6587;6587;6587;
2024;Maschi;53;6609;6609;6609;6609;6609;6609;6609;
2024;Maschi;54;6663;6663;6663;6663;6663;6663;6663;
2024;Maschi;55;6582;6582;6582;6582;6582;6582;6582;
2024;Maschi;56;6526;6526;6526;6526;6526;6526;6526;
2024;Maschi;57;6617;6617;6617;6617;6617;6617;6617;
2024;Maschi;58;6881;6881;6881;6881;6881;6881;6881;
2024;Maschi;59;6900;6900;6900;6900;6900;6900;6900;
2024;Maschi;60;6222;6222;6222;6222;6222;6222;6222;
2024;Maschi;61;6143;6143;6143;6143;6143;6143;6143;
2024;Maschi;62;6183;6183;6183;6183;6183;6183;6183;
2024;Maschi;63;6018;6018;6018;6018;6018;6018;6018;
2024;Maschi;64;5767;5767;5767;5767;5767;5767;5767;
2024;Maschi;65;5416;5416;5416;5416;5416;5416;5416;
2024;Maschi;66;5261;5261;5261;5261;5261;5261;5261;
2024;Maschi;67;5334;5334;5334;5334;5334;5334;5334;
2024;Maschi;68;5162;5162;5162;5162;5162;5162;5162;
2024;Maschi;69;4934;4934;4934;4934;4934;4934;4934;
2024;Maschi;70;4873;4873;4873;4873;4873;4873;4873;
2024;Maschi;71;4564;4564;4564;4564;4564;4564;4564;
2024;Maschi;72;4746;4746;4746;4746;4746;4746;4746;
2024;Maschi;73;4784;4784;4784;4784;4784;4784;4784;
2024;Maschi;74;4901;4901;4901;4901;4901;4901;4901;
2024;Maschi;75;5164;5164;5164;5164;5164;5164;5164;
2024;Maschi;76;4697;4697;4697;4697;4697;4697;4697;
2024;Maschi;77;4348;4348;4348;4348;4348;4348;4348;
2024;Maschi;78;3427;3427;3427;3427;3427;3427;3427;
2024;Maschi;79;3443;3443;3443;3443;3443;3443;3443;
2024;Maschi;80;3581;3581;3581;3581;3581;3581;3581;
2024;Maschi;81;3145;3145;3145;3145;3145;3145;3145;
2024;Maschi;82;3139;3139;3139;3139;3139;3139;3139;
2024;Maschi;83;3272;3272;3272;3272;3272;3272;3272;
2024;Maschi;84;2905;2905;2905;2905;2905;2905;2905;
2024;Maschi;85;2856;2856;2856;2856;2856;2856;2856;
2024;Maschi;86;2204;2204;2204;2204;2204;2204;2204;
2024;Maschi;87;1863;1863;1863;1863;1863;1863;1863;
2024;Maschi;88;1708;1708;1708;1708;1708;1708;1708;
2024;Maschi;89;1478;1478;1478;1478;1478;1478;1478;
2024;Maschi;90;1244;1244;1244;1244;1244;1244;1244;
2024;Maschi;91;894;894;894;894;894;894;894;
2024;Maschi;92;764;764;764;764;764;764;764;
2024;Maschi;93;612;612;612;612;612;612;612;
2024;Maschi;94;397;397;397;397;397;397;397;
2024;Maschi;95;269;269;269;269;269;269;269;
2024;Maschi;96;206;206;206;206;206;206;206;
2024;Maschi;97;133;133;133;133;133;133;133;
2024;Maschi;98;74;74;74;74;74;74;74;
2024;Maschi;99;73;73;73;73;73;73;73;
2024;Maschi;100;21;21;21;21;21;21;21;
2024;Maschi;101;13;13;13;13;13;13;13;
2024;Maschi;102;7;7;7;7;7;7;7;
2024;Maschi;103;4;4;4;4;4;4;4;
2024;Maschi;104;2;2;2;2;2;2;2;
2024;Maschi;105;1;1;1;1;1;1;1;
2024;Maschi;106;0;0;0;0;0;0;0;
2024;Maschi;107;0;0;0;0;0;0;0;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;413318;413318;413318;413318;413318;413318;413318;
2024;Femmine;0;2314;2314;2314;2314;2314;2314;2314;
2024;Femmine;1;2440;2440;2440;2440;2440;2440;2440;
2024;Femmine;2;2633;2633;2633;2633;2633;2633;2633;
2024;Femmine;3;2605;2605;2605;2605;2605;2605;2605;
2024;Femmine;4;2840;2840;2840;2840;2840;2840;2840;
2024;Femmine;5;2843;2843;2843;2843;2843;2843;2843;
2024;Femmine;6;2996;2996;2996;2996;2996;2996;2996;
2024;Femmine;7;3212;3212;3212;3212;3212;3212;3212;
2024;Femmine;8;3204;3204;3204;3204;3204;3204;3204;
2024;Femmine;9;3447;3447;3447;3447;3447;3447;3447;
2024;Femmine;10;3526;3526;3526;3526;3526;3526;3526;
2024;Femmine;11;3795;3795;3795;3795;3795;3795;3795;
2024;Femmine;12;3754;3754;3754;3754;3754;3754;3754;
2024;Femmine;13;3814;3814;3814;3814;3814;3814;3814;
2024;Femmine;14;3755;3755;3755;3755;3755;3755;3755;
2024;Femmine;15;4078;4078;4078;4078;4078;4078;4078;
2024;Femmine;16;3969;3969;3969;3969;3969;3969;3969;
2024;Femmine;17;3919;3919;3919;3919;3919;3919;3919;
2024;Femmine;18;3900;3900;3900;3900;3900;3900;3900;
2024;Femmine;19;3875;3875;3875;3875;3875;3875;3875;
2024;Femmine;20;3706;3706;3706;3706;3706;3706;3706;
2024;Femmine;21;3839;3839;3839;3839;3839;3839;3839;
2024;Femmine;22;3790;3790;3790;3790;3790;3790;3790;
2024;Femmine;23;3879;3879;3879;3879;3879;3879;3879;
2024;Femmine;24;3702;3702;3702;3702;3702;3702;3702;
2024;Femmine;25;3761;3761;3761;3761;3761;3761;3761;
2024;Femmine;26;3792;3792;3792;3792;3792;3792;3792;
2024;Femmine;27;3745;3745;3745;3745;3745;3745;3745;
2024;Femmine;28;3772;3772;3772;3772;3772;3772;3772;
2024;Femmine;29;3821;3821;3821;3821;3821;3821;3821;
2024;Femmine;30;3925;3925;3925;3925;3925;3925;3925;
2024;Femmine;31;4122;4122;4122;4122;4122;4122;4122;
2024;Femmine;32;4083;4083;4083;4083;4083;4083;4083;
2024;Femmine;33;4294;4294;4294;4294;4294;4294;4294;
2024;Femmine;34;4347;4347;4347;4347;4347;4347;4347;
2024;Femmine;35;4620;4620;4620;4620;4620;4620;4620;
2024;Femmine;36;4456;4456;4456;4456;4456;4456;4456;
2024;Femmine;37;4650;4650;4650;4650;4650;4650;4650;
2024;Femmine;38;4817;4817;4817;4817;4817;4817;4817;
2024;Femmine;39;4843;4843;4843;4843;4843;4843;4843;
2024;Femmine;40;5230;5230;5230;5230;5230;5230;5230;
2024;Femmine;41;5094;5094;5094;5094;5094;5094;5094;
2024;Femmine;42;5349;5349;5349;5349;5349;5349;5349;
2024;Femmine;43;5326;5326;5326;5326;5326;5326;5326;
2024;Femmine;44;5566;5566;5566;5566;5566;5566;5566;
2024;Femmine;45;5941;5941;5941;5941;5941;5941;5941;
2024;Femmine;46;6143;6143;6143;6143;6143;6143;6143;
2024;Femmine;47;6356;6356;6356;6356;6356;6356;6356;
2024;Femmine;48;6694;6694;6694;6694;6694;6694;6694;
2024;Femmine;49;7004;7004;7004;7004;7004;7004;7004;
2024;Femmine;50;6857;6857;6857;6857;6857;6857;6857;
2024;Femmine;51;6908;6908;6908;6908;6908;6908;6908;
2024;Femmine;52;7044;7044;7044;7044;7044;7044;7044;
2024;Femmine;53;6785;6785;6785;6785;6785;6785;6785;
2024;Femmine;54;7082;7082;7082;7082;7082;7082;7082;
2024;Femmine;55;7205;7205;7205;7205;7205;7205;7205;
2024;Femmine;56;7047;7047;7047;7047;7047;7047;7047;
2024;Femmine;57;6999;6999;6999;6999;6999;6999;6999;
2024;Femmine;58;7223;7223;7223;7223;7223;7223;7223;
2024;Femmine;59;7272;7272;7272;7272;7272;7272;7272;
2024;Femmine;60;6948;6948;6948;6948;6948;6948;6948;
2024;Femmine;61;6716;6716;6716;6716;6716;6716;6716;
2024;Femmine;62;6553;6553;6553;6553;6553;6553;6553;
2024;Femmine;63;6560;6560;6560;6560;6560;6560;6560;
2024;Femmine;64;6210;6210;6210;6210;6210;6210;6210;
2024;Femmine;65;5851;5851;5851;5851;5851;5851;5851;
2024;Femmine;66;5715;5715;5715;5715;5715;5715;5715;
2024;Femmine;67;5842;5842;5842;5842;5842;5842;5842;
2024;Femmine;68;5691;5691;5691;5691;5691;5691;5691;
2024;Femmine;69;5639;5639;5639;5639;5639;5639;5639;
2024;Femmine;70;5442;5442;5442;5442;5442;5442;5442;
2024;Femmine;71;5168;5168;5168;5168;5168;5168;5168;
2024;Femmine;72;5340;5340;5340;5340;5340;5340;5340;
2024;Femmine;73;5373;5373;5373;5373;5373;5373;5373;
2024;Femmine;74;5521;5521;5521;5521;5521;5521;5521;
2024;Femmine;75;5787;5787;5787;5787;5787;5787;5787;
2024;Femmine;76;5375;5375;5375;5375;5375;5375;5375;
2024;Femmine;77;5206;5206;5206;5206;5206;5206;5206;
2024;Femmine;78;4135;4135;4135;4135;4135;4135;4135;
2024;Femmine;79;4374;4374;4374;4374;4374;4374;4374;
2024;Femmine;80;4460;4460;4460;4460;4460;4460;4460;
2024;Femmine;81;4028;4028;4028;4028;4028;4028;4028;
2024;Femmine;82;3999;3999;3999;3999;3999;3999;3999;
2024;Femmine;83;4332;4332;4332;4332;4332;4332;4332;
2024;Femmine;84;4233;4233;4233;4233;4233;4233;4233;
2024;Femmine;85;4042;4042;4042;4042;4042;4042;4042;
2024;Femmine;86;3537;3537;3537;3537;3537;3537;3537;
2024;Femmine;87;3090;3090;3090;3090;3090;3090;3090;
2024;Femmine;88;2853;2853;2853;2853;2853;2853;2853;
2024;Femmine;89;2632;2632;2632;2632;2632;2632;2632;
2024;Femmine;90;2225;2225;2225;2225;2225;2225;2225;
2024;Femmine;91;1875;1875;1875;1875;1875;1875;1875;
2024;Femmine;92;1669;1669;1669;1669;1669;1669;1669;
2024;Femmine;93;1429;1429;1429;1429;1429;1429;1429;
2024;Femmine;94;1092;1092;1092;1092;1092;1092;1092;
2024;Femmine;95;810;810;810;810;810;810;810;
2024;Femmine;96;657;657;657;657;657;657;657;
2024;Femmine;97;471;471;471;471;471;471;471;
2024;Femmine;98;354;354;354;354;354;354;354;
2024;Femmine;99;209;209;209;209;209;209;209;
2024;Femmine;100;118;118;118;118;118;118;118;
2024;Femmine;101;76;76;76;76;76;76;76;
2024;Femmine;102;47;47;47;47;47;47;47;
2024;Femmine;103;27;27;27;27;27;27;27;
2024;Femmine;104;15;15;15;15;15;15;15;
2024;Femmine;105;8;8;8;8;8;8;8;
2024;Femmine;106;4;4;4;4;4;4;4;
2024;Femmine;107;2;2;2;2;2;2;2;
2024;Femmine;108;1;1;1;1;1;1;1;
2024;Femmine;109;0;0;0;0;0;0;0;
2024;Femmine;110 e oltre;0;0;0;0;0;0;0;
2024;Femmine;Totale;439750;439750;439750;439750;439750;439750;439750;
2024;Totale;0;4756;4756;4756;4756;4756;4756;4756;
2024;Totale;1;4977;4977;4977;4977;4977;4977;4977;
2024;Totale;2;5332;5332;5332;5332;5332;5332;5332;
2024;Totale;3;5390;5390;5390;5390;5390;5390;5390;
2024;Totale;4;5743;5743;5743;5743;5743;5743;5743;
2024;Totale;5;5917;5917;5917;5917;5917;5917;5917;
2024;Totale;6;6195;6195;6195;6195;6195;6195;6195;
2024;Totale;7;6574;6574;6574;6574;6574;6574;6574;
2024;Totale;8;6584;6584;6584;6584;6584;6584;6584;
2024;Totale;9;7050;7050;7050;7050;7050;7050;7050;
2024;Totale;10;7272;7272;7272;7272;7272;7272;7272;
2024;Totale;11;7639;7639;7639;7639;7639;7639;7639;
2024;Totale;12;7661;7661;7661;7661;7661;7661;7661;
2024;Totale;13;7872;7872;7872;7872;7872;7872;7872;
2024;Totale;14;7835;7835;7835;7835;7835;7835;7835;
2024;Totale;15;8245;8245;8245;8245;8245;8245;8245;
2024;Totale;16;8250;8250;8250;8250;8250;8250;8250;
2024;Totale;17;8144;8144;8144;8144;8144;8144;8144;
2024;Totale;18;8138;8138;8138;8138;8138;8138;8138;
2024;Totale;19;8027;8027;8027;8027;8027;8027;8027;
2024;Totale;20;7927;7927;7927;7927;7927;7927;7927;
2024;Totale;21;7922;7922;7922;7922;7922;7922;7922;
2024;Totale;22;7964;7964;7964;7964;7964;7964;7964;
2024;Totale;23;8060;8060;8060;8060;8060;8060;8060;
2024;Totale;24;8061;8061;8061;8061;8061;8061;8061;
2024;Totale;25;8094;8094;8094;8094;8094;8094;8094;
2024;Totale;26;8014;8014;8014;8014;8014;8014;8014;
2024;Totale;27;7968;7968;7968;7968;7968;7968;7968;
2024;Totale;28;7948;7948;7948;7948;7948;7948;7948;
2024;Totale;29;7888;7888;7888;7888;7888;7888;7888;
2024;Totale;30;8194;8194;8194;8194;8194;8194;8194;
2024;Totale;31;8547;8547;8547;8547;8547;8547;8547;
2024;Totale;32;8427;8427;8427;8427;8427;8427;8427;
2024;Totale;33;8704;8704;8704;8704;8704;8704;8704;
2024;Totale;34;8829;8829;8829;8829;8829;8829;8829;
2024;Totale;35;9260;9260;9260;9260;9260;9260;9260;
2024;Totale;36;8950;8950;8950;8950;8950;8950;8950;
2024;Totale;37;9129;9129;9129;9129;9129;9129;9129;
2024;Totale;38;9491;9491;9491;9491;9491;9491;9491;
2024;Totale;39;9563;9563;9563;9563;9563;9563;9563;
2024;Totale;40;10375;10375;10375;10375;10375;10375;10375;
2024;Totale;41;10184;10184;10184;10184;10184;10184;10184;
2024;Totale;42;10478;10478;10478;10478;10478;10478;10478;
2024;Totale;43;10609;10609;10609;10609;10609;10609;10609;
2024;Totale;44;11043;11043;11043;11043;11043;11043;11043;
2024;Totale;45;11593;11593;11593;11593;11593;11593;11593;
2024;Totale;46;12105;12105;12105;12105;12105;12105;12105;
2024;Totale;47;12511;12511;12511;12511;12511;12511;12511;
2024;Totale;48;13030;13030;13030;13030;13030;13030;13030;
2024;Totale;49;13678;13678;13678;13678;13678;13678;13678;
2024;Totale;50;13508;13508;13508;13508;13508;13508;13508;
2024;Totale;51;13397;13397;13397;13397;13397;13397;13397;
2024;Totale;52;13631;13631;13631;13631;13631;13631;13631;
2024;Totale;53;13394;13394;13394;13394;13394;13394;13394;
2024;Totale;54;13745;13745;13745;13745;13745;13745;13745;
2024;Totale;55;13787;13787;13787;13787;13787;13787;13787;
2024;Totale;56;13573;13573;13573;13573;13573;13573;13573;
2024;Totale;57;13616;13616;13616;13616;13616;13616;13616;
2024;Totale;58;14104;14104;14104;14104;14104;14104;14104;
2024;Totale;59;14172;14172;14172;14172;14172;14172;14172;
2024;Totale;60;13170;13170;13170;13170;13170;13170;13170;
2024;Totale;61;12859;12859;12859;12859;12859;12859;12859;
2024;Totale;62;12736;12736;12736;12736;12736;12736;12736;
2024;Totale;63;12578;12578;12578;12578;12578;12578;12578;
2024;Totale;64;11977;11977;11977;11977;11977;11977;11977;
2024;Totale;65;11267;11267;11267;11267;11267;11267;11267;
2024;Totale;66;10976;10976;10976;10976;10976;10976;10976;
2024;Totale;67;11176;11176;11176;11176;11176;11176;11176;
2024;Totale;68;10853;10853;10853;10853;10853;10853;10853;
2024;Totale;69;10573;10573;10573;10573;10573;10573;10573;
2024;Totale;70;10315;10315;10315;10315;10315;10315;10315;
2024;Totale;71;9732;9732;9732;9732;9732;9732;9732;
2024;Totale;72;10086;10086;10086;10086;10086;10086;10086;
2024;Totale;73;10157;10157;10157;10157;10157;10157;10157;
2024;Totale;74;10422;10422;10422;10422;10422;10422;10422;
2024;Totale;75;10951;10951;10951;10951;10951;10951;10951;
2024;Totale;76;10072;10072;10072;10072;10072;10072;10072;
2024;Totale;77;9554;9554;9554;9554;9554;9554;9554;
2024;Totale;78;7562;7562;7562;7562;7562;7562;7562;
2024;Totale;79;7817;7817;7817;7817;7817;7817;7817;
2024;Totale;80;8041;8041;8041;8041;8041;8041;8041;
