"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Veneto"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;0;15643;15643;15643;15643;15643;15643;15643;
2024;Maschi;1;16515;16515;16515;16515;16515;16515;16515;
2024;Maschi;2;17071;17071;17071;17071;17071;17071;17071;
2024;Maschi;3;17487;17487;17487;17487;17487;17487;17487;
2024;Maschi;4;17762;17762;17762;17762;17762;17762;17762;
2024;Maschi;5;18771;18771;18771;18771;18771;18771;18771;
2024;Maschi;6;19583;19583;19583;19583;19583;19583;19583;
2024;Maschi;7;20121;20121;20121;20121;20121;20121;20121;
2024;Maschi;8;20596;20596;20596;20596;20596;20596;20596;
2024;Maschi;9;21182;21182;21182;21182;21182;21182;21182;
2024;Maschi;10;21829;21829;21829;21829;21829;21829;21829;
2024;Maschi;11;22840;22840;22840;22840;22840;22840;22840;
2024;Maschi;12;23106;23106;23106;23106;23106;23106;23106;
2024;Maschi;13;24003;24003;24003;24003;24003;24003;24003;
2024;Maschi;14;24372;24372;24372;24372;24372;24372;24372;
2024;Maschi;15;24792;24792;24792;24792;24792;24792;24792;
2024;Maschi;16;24481;24481;24481;24481;24481;24481;24481;
2024;Maschi;17;24588;24588;24588;24588;24588;24588;24588;
2024;Maschi;18;24831;24831;24831;24831;24831;24831;24831;
2024;Maschi;19;25365;25365;25365;25365;25365;25365;25365;
2024;Maschi;20;24823;24823;24823;24823;24823;24823;24823;
2024;Maschi;21;24769;24769;24769;24769;24769;24769;24769;
2024;Maschi;22;24982;24982;24982;24982;24982;24982;24982;
2024;Maschi;23;25971;25971;25971;25971;25971;25971;25971;
2024;Maschi;24;25758;25758;25758;25758;25758;25758;25758;
2024;Maschi;25;26382;26382;26382;26382;26382;26382;26382;
2024;Maschi;26;26065;26065;26065;26065;26065;26065;26065;
2024;Maschi;27;25940;25940;25940;25940;25940;25940;25940;
2024;Maschi;28;25773;25773;25773;25773;25773;25773;25773;
2024;Maschi;29;25444;25444;25444;25444;25444;25444;25444;
2024;Maschi;30;25293;25293;25293;25293;25293;25293;25293;
2024;Maschi;31;26502;26502;26502;26502;26502;26502;26502;
2024;Maschi;32;26004;26004;26004;26004;26004;26004;26004;
2024;Maschi;33;26754;26754;26754;26754;26754;26754;26754;
2024;Maschi;34;26116;26116;26116;26116;26116;26116;26116;
2024;Maschi;35;26753;26753;26753;26753;26753;26753;26753;
2024;Maschi;36;25989;25989;25989;25989;25989;25989;25989;
2024;Maschi;37;25800;25800;25800;25800;25800;25800;25800;
2024;Maschi;38;27052;27052;27052;27052;27052;27052;27052;
2024;Maschi;39;27031;27031;27031;27031;27031;27031;27031;
2024;Maschi;40;27852;27852;27852;27852;27852;27852;27852;
2024;Maschi;41;28408;28408;28408;28408;28408;28408;28408;
2024;Maschi;42;29162;29162;29162;29162;29162;29162;29162;
2024;Maschi;43;30344;30344;30344;30344;30344;30344;30344;
2024;Maschi;44;31150;31150;31150;31150;31150;31150;31150;
2024;Maschi;45;33233;33233;33233;33233;33233;33233;33233;
2024;Maschi;46;34141;34141;34141;34141;34141;34141;34141;
2024;Maschi;47;36001;36001;36001;36001;36001;36001;36001;
2024;Maschi;48;37694;37694;37694;37694;37694;37694;37694;
2024;Maschi;49;39971;39971;39971;39971;39971;39971;39971;
2024;Maschi;50;39778;39778;39778;39778;39778;39778;39778;
2024;Maschi;51;40544;40544;40544;40544;40544;40544;40544;
2024;Maschi;52;40740;40740;40740;40740;40740;40740;40740;
2024;Maschi;53;40809;40809;40809;40809;40809;40809;40809;
2024;Maschi;54;41819;41819;41819;41819;41819;41819;41819;
2024;Maschi;55;40880;40880;40880;40880;40880;40880;40880;
2024;Maschi;56;41301;41301;41301;41301;41301;41301;41301;
2024;Maschi;57;41488;41488;41488;41488;41488;41488;41488;
2024;Maschi;58;41495;41495;41495;41495;41495;41495;41495;
2024;Maschi;59;41282;41282;41282;41282;41282;41282;41282;
2024;Maschi;60;38722;38722;38722;38722;38722;38722;38722;
2024;Maschi;61;37036;37036;37036;37036;37036;37036;37036;
2024;Maschi;62;35888;35888;35888;35888;35888;35888;35888;
2024;Maschi;63;33805;33805;33805;33805;33805;33805;33805;
2024;Maschi;64;33241;33241;33241;33241;33241;33241;33241;
2024;Maschi;65;30877;30877;30877;30877;30877;30877;30877;
2024;Maschi;66;30023;30023;30023;30023;30023;30023;30023;
2024;Maschi;67;29096;29096;29096;29096;29096;29096;29096;
2024;Maschi;68;27774;27774;27774;27774;27774;27774;27774;
2024;Maschi;69;27303;27303;27303;27303;27303;27303;27303;
2024;Maschi;70;26192;26192;26192;26192;26192;26192;26192;
2024;Maschi;71;25321;25321;25321;25321;25321;25321;25321;
2024;Maschi;72;24873;24873;24873;24873;24873;24873;24873;
2024;Maschi;73;25183;25183;25183;25183;25183;25183;25183;
2024;Maschi;74;24768;24768;24768;24768;24768;24768;24768;
2024;Maschi;75;24881;24881;24881;24881;24881;24881;24881;
2024;Maschi;76;23685;23685;23685;23685;23685;23685;23685;
2024;Maschi;77;25113;25113;25113;25113;25113;25113;25113;
2024;Maschi;78;16512;16512;16512;16512;16512;16512;16512;
2024;Maschi;79;18651;18651;18651;18651;18651;18651;18651;
2024;Maschi;80;18160;18160;18160;18160;18160;18160;18160;
2024;Maschi;81;16869;16869;16869;16869;16869;16869;16869;
2024;Maschi;82;16114;16114;16114;16114;16114;16114;16114;
2024;Maschi;83;16006;16006;16006;16006;16006;16006;16006;
2024;Maschi;84;14944;14944;14944;14944;14944;14944;14944;
2024;Maschi;85;12747;12747;12747;12747;12747;12747;12747;
2024;Maschi;86;10687;10687;10687;10687;10687;10687;10687;
2024;Maschi;87;8590;8590;8590;8590;8590;8590;8590;
2024;Maschi;88;7738;7738;7738;7738;7738;7738;7738;
2024;Maschi;89;6523;6523;6523;6523;6523;6523;6523;
2024;Maschi;90;4831;4831;4831;4831;4831;4831;4831;
2024;Maschi;91;3867;3867;3867;3867;3867;3867;3867;
2024;Maschi;92;3036;3036;3036;3036;3036;3036;3036;
2024;Maschi;93;2274;2274;2274;2274;2274;2274;2274;
2024;Maschi;94;1577;1577;1577;1577;1577;1577;1577;
2024;Maschi;95;1122;1122;1122;1122;1122;1122;1122;
2024;Maschi;96;812;812;812;812;812;812;812;
2024;Maschi;97;495;495;495;495;495;495;495;
2024;Maschi;98;290;290;290;290;290;290;290;
2024;Maschi;99;191;191;191;191;191;191;191;
2024;Maschi;100;92;92;92;92;92;92;92;
2024;Maschi;101;56;56;56;56;56;56;56;
2024;Maschi;102;32;32;32;32;32;32;32;
2024;Maschi;103;18;18;18;18;18;18;18;
2024;Maschi;104;9;9;9;9;9;9;9;
2024;Maschi;105;4;4;4;4;4;4;4;
2024;Maschi;106;2;2;2;2;2;2;2;
2024;Maschi;107;1;1;1;1;1;1;1;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;2388262;2388262;2388262;2388262;2388262;2388262;2388262;
2024;Femmine;0;14846;14846;14846;14846;14846;14846;14846;
2024;Femmine;1;15601;15601;15601;15601;15601;15601;15601;
2024;Femmine;2;16291;16291;16291;16291;16291;16291;16291;
2024;Femmine;3;16031;16031;16031;16031;16031;16031;16031;
2024;Femmine;4;16704;16704;16704;16704;16704;16704;16704;
2024;Femmine;5;17702;17702;17702;17702;17702;17702;17702;
2024;Femmine;6;18360;18360;18360;18360;18360;18360;18360;
2024;Femmine;7;18938;18938;18938;18938;18938;18938;18938;
2024;Femmine;8;19610;19610;19610;19610;19610;19610;19610;
2024;Femmine;9;20262;20262;20262;20262;20262;20262;20262;
2024;Femmine;10;20582;20582;20582;20582;20582;20582;20582;
2024;Femmine;11;21541;21541;21541;21541;21541;21541;21541;
2024;Femmine;12;22025;22025;22025;22025;22025;22025;22025;
2024;Femmine;13;22488;22488;22488;22488;22488;22488;22488;
2024;Femmine;14;22853;22853;22853;22853;22853;22853;22853;
2024;Femmine;15;23411;23411;23411;23411;23411;23411;23411;
2024;Femmine;16;23205;23205;23205;23205;23205;23205;23205;
2024;Femmine;17;23152;23152;23152;23152;23152;23152;23152;
2024;Femmine;18;22895;22895;22895;22895;22895;22895;22895;
2024;Femmine;19;23255;23255;23255;23255;23255;23255;23255;
2024;Femmine;20;22924;22924;22924;22924;22924;22924;22924;
2024;Femmine;21;22581;22581;22581;22581;22581;22581;22581;
2024;Femmine;22;22560;22560;22560;22560;22560;22560;22560;
2024;Femmine;23;23773;23773;23773;23773;23773;23773;23773;
2024;Femmine;24;23680;23680;23680;23680;23680;23680;23680;
2024;Femmine;25;23722;23722;23722;23722;23722;23722;23722;
2024;Femmine;26;23739;23739;23739;23739;23739;23739;23739;
2024;Femmine;27;23474;23474;23474;23474;23474;23474;23474;
2024;Femmine;28;23107;23107;23107;23107;23107;23107;23107;
2024;Femmine;29;23493;23493;23493;23493;23493;23493;23493;
2024;Femmine;30;24058;24058;24058;24058;24058;24058;24058;
2024;Femmine;31;24685;24685;24685;24685;24685;24685;24685;
2024;Femmine;32;24918;24918;24918;24918;24918;24918;24918;
2024;Femmine;33;25094;25094;25094;25094;25094;25094;25094;
2024;Femmine;34;25320;25320;25320;25320;25320;25320;25320;
2024;Femmine;35;26024;26024;26024;26024;26024;26024;26024;
2024;Femmine;36;25064;25064;25064;25064;25064;25064;25064;
2024;Femmine;37;25758;25758;25758;25758;25758;25758;25758;
2024;Femmine;38;26914;26914;26914;26914;26914;26914;26914;
2024;Femmine;39;26991;26991;26991;26991;26991;26991;26991;
2024;Femmine;40;27206;27206;27206;27206;27206;27206;27206;
2024;Femmine;41;28511;28511;28511;28511;28511;28511;28511;
2024;Femmine;42;28863;28863;28863;28863;28863;28863;28863;
2024;Femmine;43;29254;29254;29254;29254;29254;29254;29254;
2024;Femmine;44;30911;30911;30911;30911;30911;30911;30911;
2024;Femmine;45;32971;32971;32971;32971;32971;32971;32971;
2024;Femmine;46;34347;34347;34347;34347;34347;34347;34347;
2024;Femmine;47;35553;35553;35553;35553;35553;35553;35553;
2024;Femmine;48;37294;37294;37294;37294;37294;37294;37294;
2024;Femmine;49;39582;39582;39582;39582;39582;39582;39582;
2024;Femmine;50;39373;39373;39373;39373;39373;39373;39373;
2024;Femmine;51;39637;39637;39637;39637;39637;39637;39637;
2024;Femmine;52;40522;40522;40522;40522;40522;40522;40522;
2024;Femmine;53;40282;40282;40282;40282;40282;40282;40282;
2024;Femmine;54;41328;41328;41328;41328;41328;41328;41328;
2024;Femmine;55;41111;41111;41111;41111;41111;41111;41111;
2024;Femmine;56;41232;41232;41232;41232;41232;41232;41232;
2024;Femmine;57;41646;41646;41646;41646;41646;41646;41646;
2024;Femmine;58;41518;41518;41518;41518;41518;41518;41518;
2024;Femmine;59;42204;42204;42204;42204;42204;42204;42204;
2024;Femmine;60;39356;39356;39356;39356;39356;39356;39356;
2024;Femmine;61;37793;37793;37793;37793;37793;37793;37793;
2024;Femmine;62;37067;37067;37067;37067;37067;37067;37067;
2024;Femmine;63;34922;34922;34922;34922;34922;34922;34922;
2024;Femmine;64;34547;34547;34547;34547;34547;34547;34547;
2024;Femmine;65;32549;32549;32549;32549;32549;32549;32549;
2024;Femmine;66;31632;31632;31632;31632;31632;31632;31632;
