region,schools_2022,schools_2050,schools_2080,change_2050,pct_change_2050,change_2080,pct_change_2080
Sardegna,490.0,569.0058300329395,413.45655175510655,79.00583003293946,16.12363878223254,-76.54344824489345,-15.62111188671295
Basilicata,191.0,226.30869925720282,162.0243422377163,35.30869925720282,18.486229977593098,-28.975657762283703,-15.170501446221834
Calabria,808.0,1002.5659771878029,734.2404548398434,194.5659771878029,24.079947671757786,-73.75954516015656,-9.128656579227297
Puglia,756.0,941.6014889299333,669.3442687772184,185.60148892993334,24.55046149866843,-86.65573122278158,-11.462398309891745
Campania,1751.0,2215.5352309884133,1595.6990109092508,464.53523098841333,26.529710507619264,-155.30098909074923,-8.86927407714159
Sicilia,1451.0,1921.1147665621847,1405.1174679883604,470.11476656218474,32.39936365004719,-45.88253201163957,-3.1621317719944564
Molise,112.0,158.32366270015225,121.69877658617797,46.323662700152255,41.36041312513594,9.69877658617797,8.659621951944617
Abruzzo,401.0,587.3793155814282,471.32048060967236,186.37931558142816,46.47863231457061,70.32048060967236,17.53627945378363
Valle d Aosta-Vallee d Aoste,82.0,122.78710079650861,102.81243880311888,40.78710079650861,49.740366825010504,20.81243880311888,25.38102293063278
Piemonte,1332.0,2134.464185886768,1856.2568212392862,802.4641858867681,60.245059000508114,524.2568212392862,39.358620213159625
Liguria,456.0,795.5340872107532,687.2413667494719,339.5340872107532,74.45922965148097,231.24136674947192,50.71082604155086
Lombardia,2399.0,4223.663541214684,3874.5310029149177,1824.6635412146843,76.05933894183761,1475.5310029149177,61.50608599061766
