ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
ITF1,2015,57043.0,434.0,Abruzzo,,left_only,,57043.0,131.43548387096774,131.43548387096774,131.43548387096774,131.43548387096774,434.0,434.0,434.0
ITF1,2016,56566.0,429.0,Abruzzo,,left_only,,56566.0,131.85547785547786,131.85547785547786,131.85547785547786,131.85547785547786,429.0,429.0,429.0
ITF1,2017,56401.0,419.0,Abruzzo,,left_only,,56401.0,134.60859188544154,134.60859188544154,134.60859188544154,134.60859188544154,419.0,419.0,419.0
ITF1,2018,55946.0,418.0,Abruzzo,,left_only,,55946.0,133.8421052631579,133.8421052631579,133.8421052631579,133.8421052631579,418.0,418.0,418.0
ITF1,2019,55242.0,410.0,Abruzzo,,left_only,,55242.0,134.73658536585367,134.73658536585367,134.73658536585367,134.73658536585367,410.0,410.0,410.0
ITF1,2020,54233.0,408.0,Abruzzo,,left_only,,54233.0,132.92401960784315,132.92401960784315,132.92401960784315,132.92401960784315,408.0,408.0,408.0
ITF1,2021,53145.0,404.0,Abruzzo,,left_only,,53145.0,131.5470297029703,131.5470297029703,131.5470297029703,131.5470297029703,404.0,404.0,404.0
ITF1,2022,52154.0,401.0,Abruzzo,,left_only,,52154.0,130.05985037406484,130.05985037406484,130.05985037406484,130.05985037406484,401.0,401.0,401.0
,2024,,,Abruzzo,103148.0,right_only,BSL,103148.0,,132.38974873166052,130.05985037406484,134.73658536585367,779.1237689337237,765.5530212519459,793.0810292595007
,2025,,,Abruzzo,100439.0,right_only,BSL,100439.0,,132.38974873166052,130.05985037406484,134.73658536585367,758.6614595332364,745.4471235654031,772.252157073283
,2026,,,Abruzzo,97230.0,right_only,BSL,97230.0,,132.38974873166052,130.05985037406484,134.73658536585367,734.4224226686504,721.6302813077006,747.5789009471948
,2027,,,Abruzzo,93950.0,right_only,BSL,93950.0,,132.38974873166052,130.05985037406484,134.73658536585367,709.6470905041623,697.2864849208935,722.3597423016452
,2028,,,Abruzzo,90738.0,right_only,BSL,90738.0,,132.38974873166052,130.05985037406484,134.73658536585367,685.3853932747917,673.447376995764,697.6634198719178
,2029,,,Abruzzo,87791.0,right_only,BSL,87791.0,,132.38974873166052,130.05985037406484,134.73658536585367,663.1253616013935,651.5750696933492,675.0046209303217
,2030,,,Abruzzo,85132.0,right_only,BSL,85132.0,,132.38974873166052,130.05985037406484,134.73658536585367,643.0407249473161,631.8402664639224,654.560187138091
,2031,,,Abruzzo,82643.0,right_only,BSL,82643.0,,132.38974873166052,130.05985037406484,134.73658536585367,624.2401756310323,613.3671843886897,635.4228438854162
,2032,,,Abruzzo,80485.0,right_only,BSL,80485.0,,132.38974873166052,130.05985037406484,134.73658536585367,607.9398198959819,597.3507476195648,618.8304828009357
,2033,,,Abruzzo,78534.0,right_only,BSL,78534.0,,132.38974873166052,130.05985037406484,134.73658536585367,593.2030293310685,582.8706419028999,603.8296966675615
,2034,,,Abruzzo,77120.0,right_only,BSL,77120.0,,132.38974873166052,130.05985037406484,134.73658536585367,582.5224440625971,572.3760906556605,592.957778885608
,2035,,,Abruzzo,76528.0,right_only,BSL,76528.0,,132.38974873166052,130.05985037406484,134.73658536585367,578.0507987451041,567.9823322834075,588.4060283008015
,2036,,,Abruzzo,76394.0,right_only,BSL,76394.0,,132.38974873166052,130.05985037406484,134.73658536585367,577.0386357847257,566.9877991383368,587.3757334049162
,2037,,,Abruzzo,76296.0,right_only,BSL,76296.0,,132.38974873166052,130.05985037406484,134.73658536585367,576.2983972017623,566.2604540023895,586.6222341527016
,2038,,,Abruzzo,76246.0,right_only,BSL,76246.0,,132.38974873166052,130.05985037406484,134.73658536585367,575.9207244553525,565.8893595452735,586.2377957587146
,2039,,,Abruzzo,76245.0,right_only,BSL,76245.0,,132.38974873166052,130.05985037406484,134.73658536585367,575.9131710004242,565.8819376561312,586.2301069908349
,2040,,,Abruzzo,76330.0,right_only,BSL,76330.0,,132.38974873166052,130.05985037406484,134.73658536585367,576.555214669321,566.5127982332283,586.8836522606128
,2041,,,Abruzzo,76497.0,right_only,BSL,76497.0,,132.38974873166052,130.05985037406484,134.73658536585367,577.8166416423301,567.7522537199956,588.1676764965296
,2042,,,Abruzzo,76744.0,right_only,BSL,76744.0,,132.38974873166052,130.05985037406484,134.73658536585367,579.6823450095948,569.5854603381484,590.0668021628255
,2043,,,Abruzzo,77074.0,right_only,BSL,77074.0,,132.38974873166052,130.05985037406484,134.73658536585367,582.1749851359,572.0346837551139,592.6040955631399
,2044,,,Abruzzo,77490.0,right_only,BSL,77490.0,,132.38974873166052,130.05985037406484,134.73658536585367,585.3172223860302,575.1221896383187,595.8026230011121
,2045,,,Abruzzo,77828.0,right_only,BSL,77828.0,,132.38974873166052,130.05985037406484,134.73658536585367,587.870290151761,577.6307881684226,598.4014265444645
,2046,,,Abruzzo,78060.0,right_only,BSL,78060.0,,132.38974873166052,130.05985037406484,134.73658536585367,589.6226916951028,579.3526664494406,600.1852206925644
,2047,,,Abruzzo,78191.0,right_only,BSL,78191.0,,132.38974873166052,130.05985037406484,134.73658536585367,590.6121942906967,580.3249339270844,601.1924492848103
,2048,,,Abruzzo,78182.0,right_only,BSL,78182.0,,132.38974873166052,130.05985037406484,134.73658536585367,590.544213196343,580.2581369248036,601.1232503738927
,2049,,,Abruzzo,78008.0,right_only,BSL,78008.0,,132.38974873166052,130.05985037406484,134.73658536585367,589.2299120388366,578.96672821404,599.7854047628178
,2050,,,Abruzzo,77763.0,right_only,BSL,77763.0,,132.38974873166052,130.05985037406484,134.73658536585367,587.3793155814282,577.1483653741718,597.9016566322813
,2051,,,Abruzzo,77448.0,right_only,BSL,77448.0,,132.38974873166052,130.05985037406484,134.73658536585367,584.9999772790459,574.8104702943413,595.4796947501629
,2052,,,Abruzzo,77005.0,right_only,BSL,77005.0,,132.38974873166052,130.05985037406484,134.73658536585367,581.6537967458544,571.5225734042938,592.0735705794378
